Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,102553,University of Alaska Anchorage,15040,0,0,2,0,0,0,0,0,0,3,6,1,0
2002,102553,University of Alaska Anchorage,15843,0,0,1,0,0,0,0,0,0,0,8,3,2
2003,102553,University of Alaska Anchorage,16607,0,0,3,0,0,0,0,0,0,1,2,6,4
2004,102553,University of Alaska Anchorage,16261,0,0,0,0,0,0,0,0,1,2,3,3,1
2005,102553,University of Alaska Anchorage,16412,0,0,0,0,0,0,0,0,1,5,9,1,0
2006,102553,University of Alaska Anchorage,16163,0,0,1,0,0,0,0,0,5,8,9,2,0
2007,102553,University of Alaska Anchorage,16463,0,0,1,0,0,0,0,0,1,2,3,4,1
2008,102553,University of Alaska Anchorage,16649,0,0,0,0,0,0,0,0,0,2,2,3,0
2009,102553,University of Alaska Anchorage,17276,0,0,1,0,0,0,0,0,0,1,8,5,0
2010,102553,University of Alaska Anchorage,18154,0,0,1,0,0,0,0,0,0,1,2,1,0
2011,102553,University of Alaska Anchorage,18128,0,0,5,0,0,0,0,0,1,2,1,1,0
2012,102553,University of Alaska Anchorage,17497,0,0,3,0,0,0,0,0,0,4,1,0,0
2013,102553,University of Alaska Anchorage,17363,0,0,7,0,0,0,0,0,0,0,3,4,1
2014,102553,University of Alaska Anchorage,17151,0,0,0,4,1,0,0,0,1,0,4,1,1
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0,0,0,0,0,0,0,0,0,0,0
