Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,102553,University of Alaska Anchorage,15040,0,11,41
2002,102553,University of Alaska Anchorage,15843,0,25,34
2003,102553,University of Alaska Anchorage,16607,1,21,31
2004,102553,University of Alaska Anchorage,16261,2,16,67
2005,102553,University of Alaska Anchorage,16412,0,20,63
2006,102553,University of Alaska Anchorage,16163,1,15,50
2007,102553,University of Alaska Anchorage,16463,2,10,40
2008,102553,University of Alaska Anchorage,16649,0,18,21
2009,102553,University of Alaska Anchorage,17276,0,18,37
2010,102553,University of Alaska Anchorage,18154,0,2,76
2011,102553,University of Alaska Anchorage,18128,0,1,77
2012,102553,University of Alaska Anchorage,17497,0,3,104
2013,102553,University of Alaska Anchorage,17363,0,7,105
2014,102553,University of Alaska Anchorage,17151,0,5,104
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
