Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,102553,University of Alaska Anchorage,17151,0,6,6
2002,102553,University of Alaska Anchorage,17151,0,6,6
2003,102553,University of Alaska Anchorage,17151,0,6,6
2004,102553,University of Alaska Anchorage,17151,0,6,6
2005,102553,University of Alaska Anchorage,17151,0,6,6
2006,102553,University of Alaska Anchorage,17151,0,6,6
2007,102553,University of Alaska Anchorage,17151,0,6,6
2008,102553,University of Alaska Anchorage,17151,0,6,6
2009,102553,University of Alaska Anchorage,17151,0,6,6
2010,102553,University of Alaska Anchorage,17151,0,6,6
2011,102553,University of Alaska Anchorage,17151,0,6,6
2012,102553,University of Alaska Anchorage,17151,0,6,6
2013,102553,University of Alaska Anchorage,17151,0,6,6
2014,102553,University of Alaska Anchorage,17151,0,6,6
2001,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2002,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2003,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2004,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2005,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2006,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2007,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2008,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
