Survey year,Unitid,Institution name,Institution Size,CO,DA,HC,VW,total
2001,102553,University of Alaska Anchorage,15040,12,52,0,12,76
2002,102553,University of Alaska Anchorage,15843,14,59,0,12,85
2003,102553,University of Alaska Anchorage,16607,16,53,0,12,81
2004,102553,University of Alaska Anchorage,16261,10,85,0,12,107
2005,102553,University of Alaska Anchorage,16412,16,83,0,12,111
2006,102553,University of Alaska Anchorage,16163,25,66,0,12,103
2007,102553,University of Alaska Anchorage,16463,12,52,0,12,76
2008,102553,University of Alaska Anchorage,16649,7,39,0,12,58
2009,102553,University of Alaska Anchorage,17276,15,55,0,12,82
2010,102553,University of Alaska Anchorage,18154,5,78,0,12,95
2011,102553,University of Alaska Anchorage,18128,10,78,0,12,100
2012,102553,University of Alaska Anchorage,17497,8,107,4,12,131
2013,102553,University of Alaska Anchorage,17363,15,112,2,12,141
2014,102553,University of Alaska Anchorage,17151,12,109,0,12,133
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0,0,0
