Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,100663,University of Alabama at Birmingham,14695,0,0,0,0,0,0,0,0,1,0,6,18,0
2002,100663,University of Alabama at Birmingham,15579,0,0,0,0,0,0,0,0,2,4,13,35,0
2003,100663,University of Alabama at Birmingham,16357,0,0,3,0,0,0,0,0,4,2,7,36,0
2004,100663,University of Alabama at Birmingham,16693,0,0,0,0,0,0,0,0,5,0,8,25,1
2005,100663,University of Alabama at Birmingham,16572,0,0,1,0,0,0,0,0,5,0,11,8,0
2006,100663,University of Alabama at Birmingham,16561,0,0,1,0,0,0,0,0,6,0,6,13,0
2007,100663,University of Alabama at Birmingham,16246,0,0,0,0,0,0,0,0,3,3,2,9,1
2008,100663,University of Alabama at Birmingham,16149,0,0,0,0,0,0,0,0,5,0,4,4,0
2009,100663,University of Alabama at Birmingham,16874,0,0,2,0,0,0,0,0,2,0,22,10,0
2010,100663,University of Alabama at Birmingham,17543,1,0,1,0,0,0,0,0,2,0,21,1,1
2011,100663,University of Alabama at Birmingham,17575,0,0,2,0,0,0,0,0,2,0,11,5,4
2012,100663,University of Alabama at Birmingham,17999,0,0,2,0,0,0,0,0,1,0,5,6,1
2013,100663,University of Alabama at Birmingham,18568,0,0,2,0,0,0,0,0,2,0,1,4,0
2014,100663,University of Alabama at Birmingham,18698,0,0,0,7,4,0,0,0,2,2,6,7,0
2001,100751,The University of Alabama,19130,0,0,1,0,0,0,0,0,1,3,18,8,0
2002,100751,The University of Alabama,19584,0,0,1,0,0,0,0,0,5,1,22,10,2
2003,100751,The University of Alabama,20290,0,0,6,0,0,0,0,0,1,5,14,10,1
2004,100751,The University of Alabama,20929,0,0,2,0,0,0,0,0,1,2,83,8,0
2005,100751,The University of Alabama,21793,0,0,6,0,0,0,0,0,1,4,111,4,1
2006,100751,The University of Alabama,23838,0,0,3,0,0,0,0,0,5,4,89,4,3
2007,100751,The University of Alabama,25544,0,1,2,0,0,0,0,0,2,0,151,3,2
2008,100751,The University of Alabama,27014,0,0,3,0,0,0,0,0,6,5,97,5,0
2009,100751,The University of Alabama,28699,0,0,1,0,0,0,0,0,7,2,51,3,0
2010,100751,The University of Alabama,30127,0,0,9,0,0,0,0,0,7,3,46,4,1
2011,100751,The University of Alabama,31647,0,0,3,0,0,0,0,0,5,3,68,2,1
2012,100751,The University of Alabama,33503,0,0,7,0,0,0,0,0,3,7,43,5,4
2013,100751,The University of Alabama,34752,0,0,9,0,0,0,0,0,4,1,26,4,3
2014,100751,The University of Alabama,36047,0,0,0,14,3,0,0,0,4,5,41,5,1
2001,100858,Auburn University,22469,0,0,2,0,0,2,0,0,2,1,19,6,0
2002,100858,Auburn University,23276,0,0,0,0,0,1,0,0,1,2,25,11,0
2003,100858,Auburn University,23152,0,0,1,0,0,0,0,0,0,5,42,4,0
2004,100858,Auburn University,22928,0,0,0,0,0,0,0,0,1,1,38,3,0
2005,100858,Auburn University,23333,0,0,0,0,0,0,0,0,3,7,57,2,0
2006,100858,Auburn University,23547,0,0,1,0,0,0,0,0,1,0,51,8,0
2007,100858,Auburn University,24137,0,0,3,0,0,0,0,0,0,1,42,6,0
2008,100858,Auburn University,24530,0,0,1,0,0,0,0,0,2,0,37,2,0
2009,100858,Auburn University,24602,0,0,1,0,0,0,0,0,1,2,30,3,0
2010,100858,Auburn University,25078,0,0,1,0,0,0,0,0,0,1,5,5,0
2011,100858,Auburn University,25469,0,0,1,0,0,0,0,0,2,0,22,3,0
2012,100858,Auburn University,25134,0,0,9,0,0,0,0,0,1,7,36,5,1
2013,100858,Auburn University,24864,0,0,12,0,0,0,0,0,0,7,33,5,1
2014,100858,Auburn University,25912,0,0,0,2,3,0,0,0,1,4,21,8,0
2001,102094,University of South Alabama,12122,0,0,1,0,0,0,0,0,0,0,7,2,1
2002,102094,University of South Alabama,12323,0,0,5,0,0,0,0,0,0,0,18,2,2
2003,102094,University of South Alabama,13096,0,0,5,0,0,0,0,0,0,0,13,7,0
2004,102094,University of South Alabama,13340,0,0,2,0,0,0,0,0,2,2,23,9,0
2005,102094,University of South Alabama,13122,0,0,1,0,0,0,0,0,4,5,22,4,0
2006,102094,University of South Alabama,13090,0,0,2,0,0,0,0,0,1,3,24,3,0
2007,102094,University of South Alabama,13779,0,0,3,0,0,0,0,0,0,7,36,7,0
2008,102094,University of South Alabama,14064,0,0,4,0,0,0,0,0,5,3,27,4,1
2009,102094,University of South Alabama,14522,0,0,2,0,0,0,0,0,5,3,31,9,0
