Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,100663,University of Alabama at Birmingham,14695,0,0,0
2002,100663,University of Alabama at Birmingham,15579,0,0,0
2003,100663,University of Alabama at Birmingham,16357,2,7,8
2004,100663,University of Alabama at Birmingham,16693,0,21,11
2005,100663,University of Alabama at Birmingham,16572,0,3,10
2006,100663,University of Alabama at Birmingham,16561,0,2,30
2007,100663,University of Alabama at Birmingham,16246,0,2,40
2008,100663,University of Alabama at Birmingham,16149,0,11,20
2009,100663,University of Alabama at Birmingham,16874,0,18,60
2010,100663,University of Alabama at Birmingham,17543,0,9,141
2011,100663,University of Alabama at Birmingham,17575,2,43,127
2012,100663,University of Alabama at Birmingham,17999,1,48,90
2013,100663,University of Alabama at Birmingham,18568,0,44,136
2014,100663,University of Alabama at Birmingham,18698,0,22,79
2001,100751,The University of Alabama,19130,1,35,179
2002,100751,The University of Alabama,19584,5,18,181
2003,100751,The University of Alabama,20290,1,29,202
2004,100751,The University of Alabama,20929,1,7,185
2005,100751,The University of Alabama,21793,1,10,151
2006,100751,The University of Alabama,23838,0,22,102
2007,100751,The University of Alabama,25544,0,48,270
2008,100751,The University of Alabama,27014,0,42,325
2009,100751,The University of Alabama,28699,1,65,442
2010,100751,The University of Alabama,30127,0,142,518
2011,100751,The University of Alabama,31647,1,90,583
2012,100751,The University of Alabama,33503,7,96,1050
2013,100751,The University of Alabama,34752,0,91,1010
2014,100751,The University of Alabama,36047,0,70,1222
2001,100858,Auburn University,22469,0,0,0
2002,100858,Auburn University,23276,0,0,0
2003,100858,Auburn University,23152,0,0,0
2004,100858,Auburn University,22928,0,0,0
2005,100858,Auburn University,23333,0,0,0
2006,100858,Auburn University,23547,1,1,130
2007,100858,Auburn University,24137,1,9,172
2008,100858,Auburn University,24530,3,7,96
2009,100858,Auburn University,24602,1,16,104
2010,100858,Auburn University,25078,0,6,228
2011,100858,Auburn University,25469,3,6,228
2012,100858,Auburn University,25134,0,9,295
2013,100858,Auburn University,24864,0,14,359
2014,100858,Auburn University,25912,0,18,240
2001,102094,University of South Alabama,12122,0,3,3
2002,102094,University of South Alabama,12323,0,1,4
2003,102094,University of South Alabama,13096,0,4,6
2004,102094,University of South Alabama,13340,1,16,3
2005,102094,University of South Alabama,13122,1,8,2
2006,102094,University of South Alabama,13090,0,7,1
2007,102094,University of South Alabama,13779,1,12,5
2008,102094,University of South Alabama,14064,0,5,19
2009,102094,University of South Alabama,14522,0,13,18
2010,102094,University of South Alabama,14776,1,26,29
2011,102094,University of South Alabama,14769,1,32,107
2012,102094,University of South Alabama,14636,3,38,92
2013,102094,University of South Alabama,15065,0,21,35
2014,102094,University of South Alabama,15805,0,30,52
2001,102368,Troy University,13660,0,7,6
2002,102368,Troy University,16513,2,6,8
2003,102368,Troy University,17613,0,3,15
2004,102368,Troy University,20855,0,2,23
2005,102368,Troy University,26880,0,4,12
2006,102368,Troy University,27938,0,2,18
2007,102368,Troy University,28955,0,2,11
2008,102368,Troy University,28303,0,6,18
2009,102368,Troy University,29328,1,15,14
2010,102368,Troy University,28322,1,11,21
2011,102368,Troy University,26172,1,20,17
2012,102368,Troy University,22554,4,12,30
2013,102368,Troy University,20573,3,22,33
2014,102368,Troy University,19041,0,14,26
2001,177065,Columbia College,8564,0,0,0
2002,177065,Columbia College,8958,0,0,0
2003,177065,Columbia College,10146,0,0,0
2004,177065,Columbia College,11017,0,0,0
2005,177065,Columbia College,11792,0,0,0
2006,177065,Columbia College,12280,0,0,0
2007,177065,Columbia College,12954,0,0,0
2008,177065,Columbia College,14081,0,0,0
2009,177065,Columbia College,15556,0,0,0
2010,177065,Columbia College,16962,0,0,0
2011,177065,Columbia College,18091,0,0,0
2012,177065,Columbia College,17830,0,0,0
2013,177065,Columbia College,16946,0,0,0
2014,177065,Columbia College,16567,0,0,0
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2009,450933,Columbia Southern University,13321,0,0,0
2010,450933,Columbia Southern University,17594,0,0,0
2011,450933,Columbia Southern University,17459,0,0,0
2012,450933,Columbia Southern University,19933,0,0,0
2013,450933,Columbia Southern University,20185,0,0,0
2014,450933,Columbia Southern University,21359,0,0,0
