Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,100663,University of Alabama at Birmingham,18698,11,10,0
2002,100663,University of Alabama at Birmingham,18698,11,10,0
2003,100663,University of Alabama at Birmingham,18698,11,10,0
2004,100663,University of Alabama at Birmingham,18698,11,10,0
2005,100663,University of Alabama at Birmingham,18698,11,10,0
2006,100663,University of Alabama at Birmingham,18698,11,10,0
2007,100663,University of Alabama at Birmingham,18698,11,10,0
2008,100663,University of Alabama at Birmingham,18698,11,10,0
2009,100663,University of Alabama at Birmingham,18698,11,10,0
2010,100663,University of Alabama at Birmingham,18698,11,10,0
2011,100663,University of Alabama at Birmingham,18698,11,10,0
2012,100663,University of Alabama at Birmingham,18698,11,10,0
2013,100663,University of Alabama at Birmingham,18698,11,10,0
2014,100663,University of Alabama at Birmingham,18698,11,10,0
2001,100751,The University of Alabama,36047,3,9,2
2002,100751,The University of Alabama,36047,3,9,2
2003,100751,The University of Alabama,36047,3,9,2
2004,100751,The University of Alabama,36047,3,9,2
2005,100751,The University of Alabama,36047,3,9,2
2006,100751,The University of Alabama,36047,3,9,2
2007,100751,The University of Alabama,36047,3,9,2
2008,100751,The University of Alabama,36047,3,9,2
2009,100751,The University of Alabama,36047,3,9,2
2010,100751,The University of Alabama,36047,3,9,2
2011,100751,The University of Alabama,36047,3,9,2
2012,100751,The University of Alabama,36047,3,9,2
2013,100751,The University of Alabama,36047,3,9,2
2014,100751,The University of Alabama,36047,3,9,2
2001,100858,Auburn University,25912,12,0,14
2002,100858,Auburn University,25912,12,0,14
2003,100858,Auburn University,25912,12,0,14
2004,100858,Auburn University,25912,12,0,14
2005,100858,Auburn University,25912,12,0,14
2006,100858,Auburn University,25912,12,0,14
2007,100858,Auburn University,25912,12,0,14
2008,100858,Auburn University,25912,12,0,14
2009,100858,Auburn University,25912,12,0,14
2010,100858,Auburn University,25912,12,0,14
2011,100858,Auburn University,25912,12,0,14
2012,100858,Auburn University,25912,12,0,14
2013,100858,Auburn University,25912,12,0,14
2014,100858,Auburn University,25912,12,0,14
2001,102094,University of South Alabama,15805,2,4,3
2002,102094,University of South Alabama,15805,2,4,3
2003,102094,University of South Alabama,15805,2,4,3
2004,102094,University of South Alabama,15805,2,4,3
2005,102094,University of South Alabama,15805,2,4,3
2006,102094,University of South Alabama,15805,2,4,3
2007,102094,University of South Alabama,15805,2,4,3
2008,102094,University of South Alabama,15805,2,4,3
2009,102094,University of South Alabama,15805,2,4,3
2010,102094,University of South Alabama,15805,2,4,3
2011,102094,University of South Alabama,15805,2,4,3
2012,102094,University of South Alabama,15805,2,4,3
2013,102094,University of South Alabama,15805,2,4,3
2014,102094,University of South Alabama,15805,2,4,3
2001,102368,Troy University,19041,5,0,0
2002,102368,Troy University,19041,5,0,0
2003,102368,Troy University,19041,5,0,0
2004,102368,Troy University,19041,5,0,0
2005,102368,Troy University,19041,5,0,0
2006,102368,Troy University,19041,5,0,0
2007,102368,Troy University,19041,5,0,0
2008,102368,Troy University,19041,5,0,0
2009,102368,Troy University,19041,5,0,0
2010,102368,Troy University,19041,5,0,0
2011,102368,Troy University,19041,5,0,0
2012,102368,Troy University,19041,5,0,0
2013,102368,Troy University,19041,5,0,0
2014,102368,Troy University,19041,5,0,0
2001,177065,Columbia College,16567,0,0,0
2002,177065,Columbia College,16567,0,0,0
2003,177065,Columbia College,16567,0,0,0
2004,177065,Columbia College,16567,0,0,0
2005,177065,Columbia College,16567,0,0,0
2006,177065,Columbia College,16567,0,0,0
2007,177065,Columbia College,16567,0,0,0
2008,177065,Columbia College,16567,0,0,0
2009,177065,Columbia College,16567,0,0,0
2010,177065,Columbia College,16567,0,0,0
2011,177065,Columbia College,16567,0,0,0
2012,177065,Columbia College,16567,0,0,0
2013,177065,Columbia College,16567,0,0,0
2014,177065,Columbia College,16567,0,0,0
2001,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2002,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2003,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2004,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2005,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2006,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2007,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2008,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2001,450933,Columbia Southern University,21359,0,0,0
2002,450933,Columbia Southern University,21359,0,0,0
2003,450933,Columbia Southern University,21359,0,0,0
2004,450933,Columbia Southern University,21359,0,0,0
2005,450933,Columbia Southern University,21359,0,0,0
2006,450933,Columbia Southern University,21359,0,0,0
2007,450933,Columbia Southern University,21359,0,0,0
2008,450933,Columbia Southern University,21359,0,0,0
2009,450933,Columbia Southern University,21359,0,0,0
2010,450933,Columbia Southern University,21359,0,0,0
2011,450933,Columbia Southern University,21359,0,0,0
2012,450933,Columbia Southern University,21359,0,0,0
2013,450933,Columbia Southern University,21359,0,0,0
2014,450933,Columbia Southern University,21359,0,0,0
