Survey year,Unitid,Institution name,Institution Size,CO,DA,HC,VW,total
2001,100663,University of Alabama at Birmingham,14695,25,0,0,21,46
2002,100663,University of Alabama at Birmingham,15579,54,0,0,21,75
2003,100663,University of Alabama at Birmingham,16357,52,17,0,21,90
2004,100663,University of Alabama at Birmingham,16693,39,32,0,21,92
2005,100663,University of Alabama at Birmingham,16572,25,13,0,21,59
2006,100663,University of Alabama at Birmingham,16561,26,32,0,21,79
2007,100663,University of Alabama at Birmingham,16246,18,42,0,21,81
2008,100663,University of Alabama at Birmingham,16149,13,31,0,21,65
2009,100663,University of Alabama at Birmingham,16874,36,78,0,21,135
2010,100663,University of Alabama at Birmingham,17543,27,150,0,21,198
2011,100663,University of Alabama at Birmingham,17575,24,172,0,21,217
2012,100663,University of Alabama at Birmingham,17999,15,139,0,21,175
2013,100663,University of Alabama at Birmingham,18568,9,180,0,21,210
2014,100663,University of Alabama at Birmingham,18698,28,101,0,21,150
2001,100751,The University of Alabama,19130,31,215,0,14,260
2002,100751,The University of Alabama,19584,41,204,0,14,259
2003,100751,The University of Alabama,20290,37,232,0,14,283
2004,100751,The University of Alabama,20929,96,193,0,14,303
2005,100751,The University of Alabama,21793,127,162,0,14,303
2006,100751,The University of Alabama,23838,108,124,0,14,246
2007,100751,The University of Alabama,25544,161,318,0,14,493
2008,100751,The University of Alabama,27014,116,367,0,14,497
2009,100751,The University of Alabama,28699,64,508,0,14,586
2010,100751,The University of Alabama,30127,70,660,0,14,744
2011,100751,The University of Alabama,31647,82,674,0,14,770
2012,100751,The University of Alabama,33503,69,1153,0,14,1236
2013,100751,The University of Alabama,34752,47,1101,0,14,1162
2014,100751,The University of Alabama,36047,73,1292,2,14,1381
2001,100858,Auburn University,22469,32,0,0,26,58
2002,100858,Auburn University,23276,40,0,0,26,66
2003,100858,Auburn University,23152,52,0,0,26,78
2004,100858,Auburn University,22928,43,0,0,26,69
2005,100858,Auburn University,23333,69,0,0,26,95
2006,100858,Auburn University,23547,61,132,0,26,219
2007,100858,Auburn University,24137,52,182,1,26,261
2008,100858,Auburn University,24530,42,106,0,26,174
2009,100858,Auburn University,24602,37,121,0,26,184
2010,100858,Auburn University,25078,12,234,0,26,272
2011,100858,Auburn University,25469,28,237,0,26,291
2012,100858,Auburn University,25134,59,304,4,26,393
2013,100858,Auburn University,24864,58,373,2,26,459
2014,100858,Auburn University,25912,39,258,0,26,323
2001,102094,University of South Alabama,12122,11,6,0,9,26
2002,102094,University of South Alabama,12323,27,5,0,9,41
2003,102094,University of South Alabama,13096,25,10,0,9,44
2004,102094,University of South Alabama,13340,38,20,0,9,67
2005,102094,University of South Alabama,13122,36,11,0,9,56
2006,102094,University of South Alabama,13090,33,8,0,9,50
2007,102094,University of South Alabama,13779,53,18,0,9,80
2008,102094,University of South Alabama,14064,44,24,0,9,77
2009,102094,University of South Alabama,14522,50,31,0,9,90
2010,102094,University of South Alabama,14776,89,56,0,9,154
2011,102094,University of South Alabama,14769,55,140,0,9,204
2012,102094,University of South Alabama,14636,38,133,0,9,180
2013,102094,University of South Alabama,15065,25,56,0,9,90
2014,102094,University of South Alabama,15805,26,82,0,9,117
2001,102368,Troy University,13660,17,13,0,5,35
2002,102368,Troy University,16513,33,16,0,5,54
2003,102368,Troy University,17613,20,18,0,5,43
2004,102368,Troy University,20855,26,25,0,5,56
2005,102368,Troy University,26880,5,16,0,5,26
2006,102368,Troy University,27938,63,20,0,5,88
2007,102368,Troy University,28955,33,13,0,5,51
2008,102368,Troy University,28303,38,24,0,5,67
2009,102368,Troy University,29328,15,30,0,5,50
2010,102368,Troy University,28322,9,33,0,5,47
2011,102368,Troy University,26172,10,38,0,5,53
2012,102368,Troy University,22554,14,46,0,5,65
2013,102368,Troy University,20573,10,58,0,5,73
2014,102368,Troy University,19041,22,40,0,5,67
2001,177065,Columbia College,8564,0,0,0,0,0
2002,177065,Columbia College,8958,0,0,0,0,0
2003,177065,Columbia College,10146,0,0,0,0,0
2004,177065,Columbia College,11017,0,0,0,0,0
2005,177065,Columbia College,11792,0,0,0,0,0
2006,177065,Columbia College,12280,0,0,0,0,0
2007,177065,Columbia College,12954,0,0,0,0,0
2008,177065,Columbia College,14081,0,0,0,0,0
2009,177065,Columbia College,15556,0,0,0,0,0
2010,177065,Columbia College,16962,0,0,0,0,0
2011,177065,Columbia College,18091,0,0,0,0,0
2012,177065,Columbia College,17830,0,0,0,0,0
2013,177065,Columbia College,16946,0,0,0,0,0
2014,177065,Columbia College,16567,0,0,0,0,0
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0,0,0
2009,450933,Columbia Southern University,13321,0,0,0,0,0
2010,450933,Columbia Southern University,17594,0,0,0,0,0
2011,450933,Columbia Southern University,17459,0,0,0,0,0
2012,450933,Columbia Southern University,19933,0,0,0,0,0
2013,450933,Columbia Southern University,20185,0,0,0,0,0
2014,450933,Columbia Southern University,21359,0,0,0,0,0
