Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,106245,University of Arkansas at Little Rock,11318,0,0,0,0,0,0,0,0,1,3,7,16,0
2002,106245,University of Arkansas at Little Rock,11491,0,0,0,0,0,0,0,0,2,0,10,16,0
2003,106245,University of Arkansas at Little Rock,11757,0,0,0,0,0,0,0,0,4,3,26,7,0
2004,106245,University of Arkansas at Little Rock,11806,0,0,0,0,0,0,0,0,2,3,16,7,0
2005,106245,University of Arkansas at Little Rock,11896,0,0,0,0,0,0,0,0,0,2,23,15,0
2006,106245,University of Arkansas at Little Rock,11905,0,0,0,0,0,0,0,0,1,1,16,8,0
2007,106245,University of Arkansas at Little Rock,12135,0,0,0,0,0,0,0,0,1,0,17,6,0
2008,106245,University of Arkansas at Little Rock,11965,0,0,1,0,0,0,0,0,2,1,7,2,0
2009,106245,University of Arkansas at Little Rock,13132,0,0,1,0,0,0,0,0,2,1,5,1,0
2010,106245,University of Arkansas at Little Rock,13176,0,0,1,0,0,0,0,0,0,1,7,5,0
2011,106245,University of Arkansas at Little Rock,13068,0,0,1,0,0,0,0,0,1,1,8,8,0
2012,106245,University of Arkansas at Little Rock,12872,0,0,0,0,0,0,0,0,2,1,10,3,0
2013,106245,University of Arkansas at Little Rock,12377,0,0,0,0,0,0,0,0,1,0,7,5,0
2014,106245,University of Arkansas at Little Rock,11645,0,0,0,0,0,0,0,0,2,2,4,5,0
2001,106397,University of Arkansas,15752,0,0,5,0,0,0,0,0,2,1,32,6,0
2002,106397,University of Arkansas,15995,0,0,6,0,0,0,0,0,1,4,19,3,0
2003,106397,University of Arkansas,16405,0,0,2,0,0,0,0,0,0,3,37,5,0
2004,106397,University of Arkansas,17269,0,0,1,0,0,0,0,0,0,3,54,3,0
2005,106397,University of Arkansas,17821,0,0,2,0,0,0,0,0,0,2,53,9,0
2006,106397,University of Arkansas,17926,0,0,4,0,0,0,0,0,0,1,60,5,0
2007,106397,University of Arkansas,18648,0,0,4,0,0,0,0,0,0,3,61,2,0
2008,106397,University of Arkansas,19194,0,0,5,0,0,0,0,0,1,2,61,7,0
2009,106397,University of Arkansas,19849,0,0,8,0,0,0,0,0,1,1,35,17,0
2010,106397,University of Arkansas,21405,0,0,1,0,0,0,0,0,0,0,45,11,1
2011,106397,University of Arkansas,23199,0,0,5,0,0,0,0,0,1,2,46,16,0
2012,106397,University of Arkansas,24537,0,0,4,0,0,0,0,0,2,4,38,9,0
2013,106397,University of Arkansas,25341,0,0,5,0,0,0,0,0,0,1,20,8,0
2014,106397,University of Arkansas,26237,0,0,0,3,1,0,0,0,1,0,23,21,0
2001,106458,Arkansas State University-Main Campus,10568,0,0,0,0,0,0,0,0,0,2,20,0,0
2002,106458,Arkansas State University-Main Campus,10435,0,0,0,0,0,0,0,0,1,5,33,2,1
2003,106458,Arkansas State University-Main Campus,10573,0,0,1,0,0,0,0,0,0,8,14,0,0
2004,106458,Arkansas State University-Main Campus,10508,0,0,0,0,0,0,0,0,1,3,47,4,0
2005,106458,Arkansas State University-Main Campus,10414,0,0,0,0,0,0,0,0,0,5,48,6,0
2006,106458,Arkansas State University-Main Campus,10949,0,0,1,0,0,0,0,0,1,5,52,1,0
2007,106458,Arkansas State University-Main Campus,11130,0,0,1,0,0,0,0,0,0,2,47,3,0
2008,106458,Arkansas State University-Main Campus,11490,0,0,2,0,0,0,0,0,0,0,50,2,0
2009,106458,Arkansas State University-Main Campus,12156,0,0,2,0,0,0,0,0,1,3,59,3,0
2010,106458,Arkansas State University-Main Campus,13415,1,0,4,0,0,0,0,0,0,2,17,3,0
2011,106458,Arkansas State University-Main Campus,13900,0,0,0,0,0,0,0,0,1,1,12,3,0
2012,106458,Arkansas State University-Main Campus,13877,0,0,1,0,0,0,0,0,1,3,9,2,0
2013,106458,Arkansas State University-Main Campus,13552,0,0,3,0,0,0,0,0,0,4,6,0,0
2014,106458,Arkansas State University-Main Campus,13144,0,0,0,3,0,0,0,0,0,3,5,3,0
2001,106467,Arkansas Tech University,5576,0,0,0,0,0,0,0,0,0,0,5,0,0
2002,106467,Arkansas Tech University,5855,0,0,0,0,0,0,0,0,0,0,11,1,0
2003,106467,Arkansas Tech University,6249,0,0,0,0,0,0,0,0,0,0,11,0,0
2004,106467,Arkansas Tech University,6483,0,0,0,0,0,0,0,0,0,0,17,0,0
2005,106467,Arkansas Tech University,6842,0,0,0,0,0,0,0,0,0,0,3,0,0
