Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,106245,University of Arkansas at Little Rock,11318,0,0,3
2002,106245,University of Arkansas at Little Rock,11491,1,0,0
2003,106245,University of Arkansas at Little Rock,11757,0,1,0
2004,106245,University of Arkansas at Little Rock,11806,0,0,0
2005,106245,University of Arkansas at Little Rock,11896,0,0,0
2006,106245,University of Arkansas at Little Rock,11905,0,1,1
2007,106245,University of Arkansas at Little Rock,12135,0,1,1
2008,106245,University of Arkansas at Little Rock,11965,0,1,1
2009,106245,University of Arkansas at Little Rock,13132,0,0,0
2010,106245,University of Arkansas at Little Rock,13176,0,0,3
2011,106245,University of Arkansas at Little Rock,13068,0,0,0
2012,106245,University of Arkansas at Little Rock,12872,0,0,0
2013,106245,University of Arkansas at Little Rock,12377,0,0,1
2014,106245,University of Arkansas at Little Rock,11645,0,1,7
2001,106397,University of Arkansas,15752,0,6,40
2002,106397,University of Arkansas,15995,0,36,79
2003,106397,University of Arkansas,16405,1,16,119
2004,106397,University of Arkansas,17269,2,25,157
2005,106397,University of Arkansas,17821,1,22,239
2006,106397,University of Arkansas,17926,5,45,432
2007,106397,University of Arkansas,18648,0,18,201
2008,106397,University of Arkansas,19194,3,59,446
2009,106397,University of Arkansas,19849,2,24,338
2010,106397,University of Arkansas,21405,0,60,461
2011,106397,University of Arkansas,23199,0,137,282
2012,106397,University of Arkansas,24537,0,135,397
2013,106397,University of Arkansas,25341,0,91,469
2014,106397,University of Arkansas,26237,3,88,708
2001,106458,Arkansas State University-Main Campus,10568,0,27,26
2002,106458,Arkansas State University-Main Campus,10435,0,30,18
2003,106458,Arkansas State University-Main Campus,10573,0,18,166
2004,106458,Arkansas State University-Main Campus,10508,0,22,122
2005,106458,Arkansas State University-Main Campus,10414,2,64,205
2006,106458,Arkansas State University-Main Campus,10949,0,16,96
2007,106458,Arkansas State University-Main Campus,11130,1,7,32
2008,106458,Arkansas State University-Main Campus,11490,0,11,52
2009,106458,Arkansas State University-Main Campus,12156,0,34,13
2010,106458,Arkansas State University-Main Campus,13415,0,18,29
2011,106458,Arkansas State University-Main Campus,13900,0,23,25
2012,106458,Arkansas State University-Main Campus,13877,0,30,64
2013,106458,Arkansas State University-Main Campus,13552,2,30,101
2014,106458,Arkansas State University-Main Campus,13144,0,31,109
2001,106467,Arkansas Tech University,5576,1,7,40
2002,106467,Arkansas Tech University,5855,1,7,58
2003,106467,Arkansas Tech University,6249,4,13,61
2004,106467,Arkansas Tech University,6483,0,0,52
2005,106467,Arkansas Tech University,6842,0,0,73
2006,106467,Arkansas Tech University,7038,1,3,39
2007,106467,Arkansas Tech University,7476,1,2,48
2008,106467,Arkansas Tech University,7492,0,1,51
2009,106467,Arkansas Tech University,8814,2,4,41
2010,106467,Arkansas Tech University,9815,1,2,45
2011,106467,Arkansas Tech University,10464,0,8,99
2012,106467,Arkansas Tech University,10950,1,15,78
2013,106467,Arkansas Tech University,11369,0,5,35
2014,106467,Arkansas Tech University,12002,1,13,25
2001,106704,University of Central Arkansas,8486,4,19,74
2002,106704,University of Central Arkansas,8552,1,31,83
2003,106704,University of Central Arkansas,9516,3,19,53
2004,106704,University of Central Arkansas,10071,5,59,207
2005,106704,University of Central Arkansas,11375,7,61,248
2006,106704,University of Central Arkansas,12330,3,50,105
2007,106704,University of Central Arkansas,12619,4,48,97
2008,106704,University of Central Arkansas,12974,2,45,196
2009,106704,University of Central Arkansas,11781,8,21,127
2010,106704,University of Central Arkansas,11444,5,42,125
2011,106704,University of Central Arkansas,11163,0,24,98
2012,106704,University of Central Arkansas,11107,0,37,108
2013,106704,University of Central Arkansas,11534,2,88,155
2014,106704,University of Central Arkansas,11698,1,69,105
2001,178721,Park University,9482,0,0,0
2002,178721,Park University,10123,0,0,0
2003,178721,Park University,11868,0,0,0
2004,178721,Park University,12548,0,0,0
2005,178721,Park University,13253,0,0,0
2006,178721,Park University,13182,0,0,0
2007,178721,Park University,13259,0,0,0
2008,178721,Park University,12457,0,0,0
2009,178721,Park University,12775,0,0,0
2010,178721,Park University,12022,0,0,0
2011,178721,Park University,11759,0,0,0
2012,178721,Park University,11765,0,0,0
2013,178721,Park University,10978,0,0,0
2014,178721,Park University,10792,0,0,0
2001,179894,Webster University,15402,0,0,0
2002,179894,Webster University,17249,0,0,0
2003,179894,Webster University,18740,0,0,0
2004,179894,Webster University,19038,0,0,0
2005,179894,Webster University,18407,0,0,0
2006,179894,Webster University,18963,0,0,0
2007,179894,Webster University,19398,0,0,0
2008,179894,Webster University,19154,0,0,0
2009,179894,Webster University,19372,0,0,0
2010,179894,Webster University,19342,0,0,0
2011,179894,Webster University,19224,0,0,0
2012,179894,Webster University,18456,0,0,0
2013,179894,Webster University,17904,0,0,0
2014,179894,Webster University,16769,0,0,0
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
