Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,106245,University of Arkansas at Little Rock,11645,7,0,0
2002,106245,University of Arkansas at Little Rock,11645,7,0,0
2003,106245,University of Arkansas at Little Rock,11645,7,0,0
2004,106245,University of Arkansas at Little Rock,11645,7,0,0
2005,106245,University of Arkansas at Little Rock,11645,7,0,0
2006,106245,University of Arkansas at Little Rock,11645,7,0,0
2007,106245,University of Arkansas at Little Rock,11645,7,0,0
2008,106245,University of Arkansas at Little Rock,11645,7,0,0
2009,106245,University of Arkansas at Little Rock,11645,7,0,0
2010,106245,University of Arkansas at Little Rock,11645,7,0,0
2011,106245,University of Arkansas at Little Rock,11645,7,0,0
2012,106245,University of Arkansas at Little Rock,11645,7,0,0
2013,106245,University of Arkansas at Little Rock,11645,7,0,0
2014,106245,University of Arkansas at Little Rock,11645,7,0,0
2001,106397,University of Arkansas,26237,3,2,0
2002,106397,University of Arkansas,26237,3,2,0
2003,106397,University of Arkansas,26237,3,2,0
2004,106397,University of Arkansas,26237,3,2,0
2005,106397,University of Arkansas,26237,3,2,0
2006,106397,University of Arkansas,26237,3,2,0
2007,106397,University of Arkansas,26237,3,2,0
2008,106397,University of Arkansas,26237,3,2,0
2009,106397,University of Arkansas,26237,3,2,0
2010,106397,University of Arkansas,26237,3,2,0
2011,106397,University of Arkansas,26237,3,2,0
2012,106397,University of Arkansas,26237,3,2,0
2013,106397,University of Arkansas,26237,3,2,0
2014,106397,University of Arkansas,26237,3,2,0
2001,106458,Arkansas State University-Main Campus,13144,2,4,2
2002,106458,Arkansas State University-Main Campus,13144,2,4,2
2003,106458,Arkansas State University-Main Campus,13144,2,4,2
2004,106458,Arkansas State University-Main Campus,13144,2,4,2
2005,106458,Arkansas State University-Main Campus,13144,2,4,2
2006,106458,Arkansas State University-Main Campus,13144,2,4,2
2007,106458,Arkansas State University-Main Campus,13144,2,4,2
2008,106458,Arkansas State University-Main Campus,13144,2,4,2
2009,106458,Arkansas State University-Main Campus,13144,2,4,2
2010,106458,Arkansas State University-Main Campus,13144,2,4,2
2011,106458,Arkansas State University-Main Campus,13144,2,4,2
2012,106458,Arkansas State University-Main Campus,13144,2,4,2
2013,106458,Arkansas State University-Main Campus,13144,2,4,2
2014,106458,Arkansas State University-Main Campus,13144,2,4,2
2001,106467,Arkansas Tech University,12002,6,1,2
2002,106467,Arkansas Tech University,12002,6,1,2
2003,106467,Arkansas Tech University,12002,6,1,2
2004,106467,Arkansas Tech University,12002,6,1,2
2005,106467,Arkansas Tech University,12002,6,1,2
2006,106467,Arkansas Tech University,12002,6,1,2
2007,106467,Arkansas Tech University,12002,6,1,2
2008,106467,Arkansas Tech University,12002,6,1,2
2009,106467,Arkansas Tech University,12002,6,1,2
2010,106467,Arkansas Tech University,12002,6,1,2
2011,106467,Arkansas Tech University,12002,6,1,2
2012,106467,Arkansas Tech University,12002,6,1,2
2013,106467,Arkansas Tech University,12002,6,1,2
2014,106467,Arkansas Tech University,12002,6,1,2
2001,106704,University of Central Arkansas,11698,10,3,1
2002,106704,University of Central Arkansas,11698,10,3,1
2003,106704,University of Central Arkansas,11698,10,3,1
2004,106704,University of Central Arkansas,11698,10,3,1
2005,106704,University of Central Arkansas,11698,10,3,1
2006,106704,University of Central Arkansas,11698,10,3,1
2007,106704,University of Central Arkansas,11698,10,3,1
2008,106704,University of Central Arkansas,11698,10,3,1
2009,106704,University of Central Arkansas,11698,10,3,1
2010,106704,University of Central Arkansas,11698,10,3,1
2011,106704,University of Central Arkansas,11698,10,3,1
2012,106704,University of Central Arkansas,11698,10,3,1
2013,106704,University of Central Arkansas,11698,10,3,1
2014,106704,University of Central Arkansas,11698,10,3,1
2001,178721,Park University,10792,0,0,0
2002,178721,Park University,10792,0,0,0
2003,178721,Park University,10792,0,0,0
2004,178721,Park University,10792,0,0,0
2005,178721,Park University,10792,0,0,0
2006,178721,Park University,10792,0,0,0
2007,178721,Park University,10792,0,0,0
2008,178721,Park University,10792,0,0,0
2009,178721,Park University,10792,0,0,0
2010,178721,Park University,10792,0,0,0
2011,178721,Park University,10792,0,0,0
2012,178721,Park University,10792,0,0,0
2013,178721,Park University,10792,0,0,0
2014,178721,Park University,10792,0,0,0
2001,179894,Webster University,16769,0,0,0
2002,179894,Webster University,16769,0,0,0
2003,179894,Webster University,16769,0,0,0
2004,179894,Webster University,16769,0,0,0
2005,179894,Webster University,16769,0,0,0
2006,179894,Webster University,16769,0,0,0
2007,179894,Webster University,16769,0,0,0
2008,179894,Webster University,16769,0,0,0
2009,179894,Webster University,16769,0,0,0
2010,179894,Webster University,16769,0,0,0
2011,179894,Webster University,16769,0,0,0
2012,179894,Webster University,16769,0,0,0
2013,179894,Webster University,16769,0,0,0
2014,179894,Webster University,16769,0,0,0
2001,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2002,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2003,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2004,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2005,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2006,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2007,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2008,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
