Survey year,Unitid,Institution name,Institution Size,CO,DA,HC,VW,total
2001,106245,University of Arkansas at Little Rock,11318,27,3,0,7,37
2002,106245,University of Arkansas at Little Rock,11491,28,1,0,7,36
2003,106245,University of Arkansas at Little Rock,11757,40,1,0,7,48
2004,106245,University of Arkansas at Little Rock,11806,28,0,0,7,35
2005,106245,University of Arkansas at Little Rock,11896,40,0,0,7,47
2006,106245,University of Arkansas at Little Rock,11905,26,2,0,7,35
2007,106245,University of Arkansas at Little Rock,12135,24,2,0,7,33
2008,106245,University of Arkansas at Little Rock,11965,13,2,0,7,22
2009,106245,University of Arkansas at Little Rock,13132,10,0,0,7,17
2010,106245,University of Arkansas at Little Rock,13176,14,3,0,7,24
2011,106245,University of Arkansas at Little Rock,13068,19,0,0,7,26
2012,106245,University of Arkansas at Little Rock,12872,16,0,2,7,25
2013,106245,University of Arkansas at Little Rock,12377,13,1,0,7,21
2014,106245,University of Arkansas at Little Rock,11645,13,8,0,7,28
2001,106397,University of Arkansas,15752,46,46,0,5,97
2002,106397,University of Arkansas,15995,33,115,0,5,153
2003,106397,University of Arkansas,16405,47,136,0,5,188
2004,106397,University of Arkansas,17269,61,184,0,5,250
2005,106397,University of Arkansas,17821,66,262,0,5,333
2006,106397,University of Arkansas,17926,70,482,0,5,557
2007,106397,University of Arkansas,18648,70,219,0,5,294
2008,106397,University of Arkansas,19194,76,508,0,5,589
2009,106397,University of Arkansas,19849,62,364,0,5,431
2010,106397,University of Arkansas,21405,58,521,2,5,586
2011,106397,University of Arkansas,23199,70,419,0,5,494
2012,106397,University of Arkansas,24537,57,532,4,5,598
2013,106397,University of Arkansas,25341,34,560,0,5,599
2014,106397,University of Arkansas,26237,49,799,2,5,855
2001,106458,Arkansas State University-Main Campus,10568,22,53,0,8,83
2002,106458,Arkansas State University-Main Campus,10435,42,48,0,8,98
2003,106458,Arkansas State University-Main Campus,10573,23,184,0,8,215
2004,106458,Arkansas State University-Main Campus,10508,55,144,0,8,207
2005,106458,Arkansas State University-Main Campus,10414,59,271,0,8,338
2006,106458,Arkansas State University-Main Campus,10949,60,112,0,8,180
2007,106458,Arkansas State University-Main Campus,11130,53,40,0,8,101
2008,106458,Arkansas State University-Main Campus,11490,54,63,0,8,125
2009,106458,Arkansas State University-Main Campus,12156,68,47,0,8,123
2010,106458,Arkansas State University-Main Campus,13415,27,47,0,8,82
2011,106458,Arkansas State University-Main Campus,13900,17,48,0,8,73
2012,106458,Arkansas State University-Main Campus,13877,16,94,0,8,118
