Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,104151,Arizona State University-Tempe,45693,0,0,12,0,0,1,0,0,2,22,127,59,2
2002,104151,Arizona State University-Tempe,47359,1,0,7,0,0,0,0,0,2,23,153,105,9
2003,104151,Arizona State University-Tempe,48901,0,0,9,0,0,0,0,0,1,30,148,112,2
2004,104151,Arizona State University-Tempe,49171,0,0,10,0,0,0,0,0,4,19,180,122,3
2005,104151,Arizona State University-Tempe,51612,0,0,10,0,0,0,0,0,6,18,153,72,1
2006,104151,Arizona State University-Tempe,51234,0,0,8,0,0,0,0,0,4,20,129,70,2
2007,104151,Arizona State University-Tempe,51481,0,0,6,0,0,0,0,0,5,16,119,67,4
2008,104151,Arizona State University-Tempe,67082,0,0,4,0,0,0,0,0,6,16,132,57,8
2009,104151,Arizona State University-Tempe,68064,0,0,5,0,0,0,0,0,9,22,127,34,0
2010,104151,Arizona State University-Tempe,70440,0,0,8,0,0,0,0,0,4,14,109,18,6
2011,104151,Arizona State University-Tempe,72254,0,0,17,0,0,1,0,0,11,27,90,17,11
2012,104151,Arizona State University-Tempe,73378,0,0,18,0,0,1,0,0,11,16,120,10,0
2013,104151,Arizona State University-Tempe,48702,0,0,12,0,0,1,0,0,5,13,101,33,2
2014,104151,Arizona State University-Tempe,50320,0,0,0,9,10,0,0,0,8,3,42,15,2
2001,104179,University of Arizona,35747,0,0,6,0,0,25,0,0,10,20,98,65,6
2002,104179,University of Arizona,36847,3,0,4,0,0,0,0,0,0,2,69,0,2
2003,104179,University of Arizona,37083,0,0,9,0,0,0,0,0,1,4,63,0,4
2004,104179,University of Arizona,36932,0,0,7,0,0,0,0,0,1,13,73,0,2
2005,104179,University of Arizona,37036,0,0,4,0,0,0,0,0,0,1,101,0,1
2006,104179,University of Arizona,36805,0,0,2,0,0,0,0,0,0,7,34,0,1
2007,104179,University of Arizona,37217,1,0,8,0,0,0,0,0,0,1,43,0,0
2008,104179,University of Arizona,38057,0,0,1,0,0,0,0,0,0,6,38,0,0
2009,104179,University of Arizona,38767,0,0,5,0,0,0,0,0,3,1,26,21,0
2010,104179,University of Arizona,39086,0,0,1,0,0,0,0,0,1,3,30,25,2
2011,104179,University of Arizona,39236,1,0,3,0,0,0,0,0,0,0,43,6,2
2012,104179,University of Arizona,40223,0,0,13,0,0,0,0,0,1,5,48,27,3
2013,104179,University of Arizona,40621,0,0,9,0,0,0,0,0,1,5,22,10,0
2014,104179,University of Arizona,42236,0,0,0,11,9,0,0,0,0,3,25,7,0
2001,104717,Grand Canyon University,4113,0,0,0,0,0,0,0,0,1,0,28,5,0
2002,104717,Grand Canyon University,3973,0,0,0,0,0,0,0,0,1,0,16,2,0
2003,104717,Grand Canyon University,3091,0,0,0,0,0,0,0,0,0,0,7,5,3
2004,104717,Grand Canyon University,4491,0,0,0,0,0,0,0,0,0,1,2,1,0
2005,104717,Grand Canyon University,7969,0,0,0,0,0,0,0,0,0,1,10,6,0
2006,104717,Grand Canyon University,10297,0,0,0,0,0,0,0,0,0,3,12,1,1
2007,104717,Grand Canyon University,13415,0,0,0,0,0,0,0,0,0,1,10,1,0
2008,104717,Grand Canyon University,22025,0,0,0,0,0,0,0,0,1,4,23,4,0
2009,104717,Grand Canyon University,34205,0,0,0,0,0,0,0,0,0,3,18,5,0
2010,104717,Grand Canyon University,37440,0,0,0,0,0,0,0,0,1,4,17,2,0
2011,104717,Grand Canyon University,40487,0,0,2,0,0,0,0,0,0,0,9,0,0
2012,104717,Grand Canyon University,48650,0,0,2,0,0,0,0,0,0,0,12,0,0
2013,104717,Grand Canyon University,55497,0,0,1,0,0,0,0,0,0,2,28,0,0
2014,104717,Grand Canyon University,62304,0,0,0,2,7,0,0,0,0,0,17,2,0
2001,105330,Northern Arizona University,19728,0,0,5,0,0,0,0,0,0,10,48,16,4
2002,105330,Northern Arizona University,19907,0,0,10,0,0,1,0,0,4,11,70,9,11
2003,105330,Northern Arizona University,18820,0,0,7,0,0,1,0,0,1,12,61,7,7
2004,105330,Northern Arizona University,19137,0,0,9,0,0,0,0,0,2,10,55,8,4
2005,105330,Northern Arizona University,18773,0,0,6,0,0,0,0,0,2,14,60,9,3
2006,105330,Northern Arizona University,20555,0,0,6,0,0,1,0,0,3,8,56,14,2
2007,105330,Northern Arizona University,21347,0,0,8,0,0,0,0,0,1,9,58,8,2
2008,105330,Northern Arizona University,22502,0,0,10,0,0,0,0,0,1,4,36,7,6
2009,105330,Northern Arizona University,23597,0,0,12,0,0,0,0,0,0,5,32,1,7
2010,105330,Northern Arizona University,25197,0,0,7,0,0,0,0,0,2,4,18,2,1
2011,105330,Northern Arizona University,25359,0,0,13,0,0,0,0,0,3,5,35,2,1
