Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,104151,Arizona State University-Tempe,45693,1,5,2
2002,104151,Arizona State University-Tempe,47359,0,1,2
2003,104151,Arizona State University-Tempe,48901,0,0,0
2004,104151,Arizona State University-Tempe,49171,0,1,3
2005,104151,Arizona State University-Tempe,51612,1,7,543
2006,104151,Arizona State University-Tempe,51234,0,3,5
2007,104151,Arizona State University-Tempe,51481,1,0,5
2008,104151,Arizona State University-Tempe,67082,2,17,9
2009,104151,Arizona State University-Tempe,68064,1,10,0
2010,104151,Arizona State University-Tempe,70440,0,46,1031
2011,104151,Arizona State University-Tempe,72254,0,399,1156
2012,104151,Arizona State University-Tempe,73378,0,373,1014
2013,104151,Arizona State University-Tempe,48702,0,615,1337
2014,104151,Arizona State University-Tempe,50320,0,683,1224
2001,104179,University of Arizona,35747,11,270,959
2002,104179,University of Arizona,36847,10,158,773
2003,104179,University of Arizona,37083,9,61,556
2004,104179,University of Arizona,36932,18,98,580
2005,104179,University of Arizona,37036,4,7,633
2006,104179,University of Arizona,36805,3,44,602
2007,104179,University of Arizona,37217,4,57,895
2008,104179,University of Arizona,38057,1,42,352
2009,104179,University of Arizona,38767,0,155,560
2010,104179,University of Arizona,39086,0,55,347
2011,104179,University of Arizona,39236,1,25,444
2012,104179,University of Arizona,40223,0,24,600
2013,104179,University of Arizona,40621,0,29,710
2014,104179,University of Arizona,42236,0,91,494
2001,104717,Grand Canyon University,4113,0,0,0
2002,104717,Grand Canyon University,3973,0,0,0
2003,104717,Grand Canyon University,3091,0,0,0
2004,104717,Grand Canyon University,4491,1,2,4
2005,104717,Grand Canyon University,7969,1,3,3
2006,104717,Grand Canyon University,10297,1,0,1
2007,104717,Grand Canyon University,13415,0,0,1
2008,104717,Grand Canyon University,22025,2,8,5
2009,104717,Grand Canyon University,34205,4,5,15
2010,104717,Grand Canyon University,37440,0,11,22
2011,104717,Grand Canyon University,40487,0,3,33
2012,104717,Grand Canyon University,48650,0,14,17
2013,104717,Grand Canyon University,55497,0,27,48
2014,104717,Grand Canyon University,62304,0,56,140
2001,105330,Northern Arizona University,19728,0,9,325
2002,105330,Northern Arizona University,19907,1,22,531
2003,105330,Northern Arizona University,18820,2,42,529
2004,105330,Northern Arizona University,19137,1,11,541
2005,105330,Northern Arizona University,18773,10,16,694
2006,105330,Northern Arizona University,20555,0,21,740
2007,105330,Northern Arizona University,21347,3,21,869
2008,105330,Northern Arizona University,22502,0,56,1072
2009,105330,Northern Arizona University,23597,0,40,823
2010,105330,Northern Arizona University,25197,0,53,1058
2011,105330,Northern Arizona University,25359,0,84,814
2012,105330,Northern Arizona University,25991,1,90,872
2013,105330,Northern Arizona University,26594,0,194,959
2014,105330,Northern Arizona University,27705,1,168,907
2001,178721,Park University,9482,0,0,0
2002,178721,Park University,10123,0,0,0
2003,178721,Park University,11868,0,0,0
2004,178721,Park University,12548,0,0,0
2005,178721,Park University,13253,0,0,0
2006,178721,Park University,13182,0,0,0
2007,178721,Park University,13259,0,0,0
2008,178721,Park University,12457,0,0,0
2009,178721,Park University,12775,0,0,0
2010,178721,Park University,12022,0,0,0
2011,178721,Park University,11759,0,0,0
2012,178721,Park University,11765,0,0,0
2013,178721,Park University,10978,0,0,0
2014,178721,Park University,10792,0,0,0
2003,179894,Webster University,18740,0,0,0
2004,179894,Webster University,19038,0,0,0
2005,179894,Webster University,18407,0,0,0
2006,179894,Webster University,18963,0,0,0
2007,179894,Webster University,19398,0,0,0
2008,179894,Webster University,19154,0,0,0
2009,179894,Webster University,19372,0,0,0
2010,179894,Webster University,19342,0,0,0
2011,179894,Webster University,19224,0,0,0
2012,179894,Webster University,18456,0,0,0
2013,179894,Webster University,17904,0,0,0
2014,179894,Webster University,16769,0,0,0
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2013,484613,University of Phoenix-Arizona,,0,0,0
2014,484613,University of Phoenix-Arizona,195059,0,0,0
