Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,104151,Arizona State University-Tempe,50320,4,5,1
2002,104151,Arizona State University-Tempe,50320,4,5,1
2003,104151,Arizona State University-Tempe,50320,4,5,1
2004,104151,Arizona State University-Tempe,50320,4,5,1
2005,104151,Arizona State University-Tempe,50320,4,5,1
2006,104151,Arizona State University-Tempe,50320,4,5,1
2007,104151,Arizona State University-Tempe,50320,4,5,1
2008,104151,Arizona State University-Tempe,50320,4,5,1
2009,104151,Arizona State University-Tempe,50320,4,5,1
2010,104151,Arizona State University-Tempe,50320,4,5,1
2011,104151,Arizona State University-Tempe,50320,4,5,1
2012,104151,Arizona State University-Tempe,50320,4,5,1
2013,104151,Arizona State University-Tempe,50320,4,5,1
2014,104151,Arizona State University-Tempe,50320,4,5,1
2001,104179,University of Arizona,42236,14,3,3
2002,104179,University of Arizona,42236,14,3,3
2003,104179,University of Arizona,42236,14,3,3
2004,104179,University of Arizona,42236,14,3,3
2005,104179,University of Arizona,42236,14,3,3
2006,104179,University of Arizona,42236,14,3,3
2007,104179,University of Arizona,42236,14,3,3
2008,104179,University of Arizona,42236,14,3,3
2009,104179,University of Arizona,42236,14,3,3
2010,104179,University of Arizona,42236,14,3,3
2011,104179,University of Arizona,42236,14,3,3
2012,104179,University of Arizona,42236,14,3,3
2013,104179,University of Arizona,42236,14,3,3
2014,104179,University of Arizona,42236,14,3,3
2001,104717,Grand Canyon University,62304,0,2,1
2002,104717,Grand Canyon University,62304,0,2,1
2003,104717,Grand Canyon University,62304,0,2,1
2004,104717,Grand Canyon University,62304,0,2,1
2005,104717,Grand Canyon University,62304,0,2,1
2006,104717,Grand Canyon University,62304,0,2,1
2007,104717,Grand Canyon University,62304,0,2,1
2008,104717,Grand Canyon University,62304,0,2,1
2009,104717,Grand Canyon University,62304,0,2,1
2010,104717,Grand Canyon University,62304,0,2,1
2011,104717,Grand Canyon University,62304,0,2,1
2012,104717,Grand Canyon University,62304,0,2,1
2013,104717,Grand Canyon University,62304,0,2,1
2014,104717,Grand Canyon University,62304,0,2,1
2001,105330,Northern Arizona University,27705,18,1,0
2002,105330,Northern Arizona University,27705,18,1,0
2003,105330,Northern Arizona University,27705,18,1,0
2004,105330,Northern Arizona University,27705,18,1,0
2005,105330,Northern Arizona University,27705,18,1,0
2006,105330,Northern Arizona University,27705,18,1,0
2007,105330,Northern Arizona University,27705,18,1,0
2008,105330,Northern Arizona University,27705,18,1,0
2009,105330,Northern Arizona University,27705,18,1,0
2010,105330,Northern Arizona University,27705,18,1,0
2011,105330,Northern Arizona University,27705,18,1,0
2012,105330,Northern Arizona University,27705,18,1,0
2013,105330,Northern Arizona University,27705,18,1,0
2014,105330,Northern Arizona University,27705,18,1,0
2001,178721,Park University,10792,0,0,0
2002,178721,Park University,10792,0,0,0
2003,178721,Park University,10792,0,0,0
2004,178721,Park University,10792,0,0,0
2005,178721,Park University,10792,0,0,0
2006,178721,Park University,10792,0,0,0
2007,178721,Park University,10792,0,0,0
