Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,108232,Academy of Art University,6282,0,0,1,0,0,0,0,0,1,6,24,0,0
2002,108232,Academy of Art University,6650,0,0,0,0,0,0,0,0,0,3,6,0,0
2003,108232,Academy of Art University,6761,0,0,0,0,0,0,0,0,0,8,15,0,0
2004,108232,Academy of Art University,7453,0,0,0,0,0,0,0,0,0,4,12,0,0
2005,108232,Academy of Art University,8522,0,0,0,0,0,0,0,0,1,1,25,1,0
2006,108232,Academy of Art University,9483,0,0,0,0,0,0,0,0,0,0,15,0,0
2007,108232,Academy of Art University,11334,0,0,4,0,0,0,0,0,1,4,22,0,0
2008,108232,Academy of Art University,13181,0,0,4,0,0,0,0,0,1,8,14,0,0
2009,108232,Academy of Art University,15413,0,0,2,0,0,0,0,0,2,1,4,0,0
2010,108232,Academy of Art University,17697,0,0,5,0,0,0,0,0,3,1,12,0,0
2011,108232,Academy of Art University,18093,0,0,1,0,0,0,0,0,2,3,5,0,0
2012,108232,Academy of Art University,17871,0,0,0,0,0,0,0,0,7,6,10,0,0
2013,108232,Academy of Art University,16001,0,0,4,0,0,0,0,0,4,0,7,0,0
2014,108232,Academy of Art University,15212,0,0,0,3,0,0,0,0,2,1,10,1,1
2001,110422,California Polytechnic State University-San Luis Obispo,18079,0,0,1,0,0,0,0,0,0,2,11,6,8
2002,110422,California Polytechnic State University-San Luis Obispo,18453,0,0,1,0,0,0,0,0,0,0,20,5,1
2003,110422,California Polytechnic State University-San Luis Obispo,18303,0,0,4,0,0,0,0,0,0,0,21,12,1
2004,110422,California Polytechnic State University-San Luis Obispo,17582,0,0,1,0,0,0,0,0,2,0,7,2,1
2005,110422,California Polytechnic State University-San Luis Obispo,18475,0,0,2,0,0,0,0,0,0,2,10,9,0
2006,110422,California Polytechnic State University-San Luis Obispo,18722,0,0,4,0,0,0,0,0,1,0,8,13,1
2007,110422,California Polytechnic State University-San Luis Obispo,19777,0,0,5,0,0,0,0,0,1,0,7,6,5
2008,110422,California Polytechnic State University-San Luis Obispo,19471,0,0,0,0,0,0,0,0,0,0,23,0,10
2009,110422,California Polytechnic State University-San Luis Obispo,19325,0,0,0,0,0,0,0,0,0,0,6,1,5
2010,110422,California Polytechnic State University-San Luis Obispo,18360,0,0,1,0,0,0,0,0,1,1,29,3,1
2011,110422,California Polytechnic State University-San Luis Obispo,18762,0,0,1,0,0,0,0,0,0,0,7,9,1
2012,110422,California Polytechnic State University-San Luis Obispo,18679,0,0,0,0,0,0,0,0,1,1,3,4,2
2013,110422,California Polytechnic State University-San Luis Obispo,19703,0,0,6,0,0,0,0,0,1,1,2,15,0
2014,110422,California Polytechnic State University-San Luis Obispo,20186,0,0,0,11,3,0,0,0,0,1,11,8,2
2001,110510,California State University-San Bernardino,15985,0,0,1,0,0,0,0,0,2,3,23,9,2
2002,110510,California State University-San Bernardino,16341,0,0,1,0,0,0,0,0,0,2,12,9,0
2003,110510,California State University-San Bernardino,16927,0,0,2,0,0,0,0,0,0,4,46,15,1
2004,110510,California State University-San Bernardino,16194,0,0,8,0,0,0,0,0,0,3,50,15,0
2005,110510,California State University-San Bernardino,16431,0,0,3,0,0,0,0,0,0,2,36,24,0
2006,110510,California State University-San Bernardino,16479,0,0,3,0,0,0,0,0,1,7,24,15,1
2007,110510,California State University-San Bernardino,17066,0,0,2,0,0,2,0,0,2,2,30,12,0
2008,110510,California State University-San Bernardino,17646,0,0,3,0,0,1,0,0,1,1,24,11,0
2009,110510,California State University-San Bernardino,17852,0,0,1,0,0,0,0,0,1,8,16,23,0
2010,110510,California State University-San Bernardino,16400,0,0,0,0,0,0,0,0,1,0,16,4,0
2011,110510,California State University-San Bernardino,17250,0,0,1,0,0,0,0,0,1,3,6,12,0
2012,110510,California State University-San Bernardino,18234,0,0,4,0,0,0,0,0,0,3,20,12,0
2013,110510,California State University-San Bernardino,18398,0,0,2,0,0,0,0,0,0,6,10,14,0
2014,110510,California State University-San Bernardino,18952,0,0,0,2,3,0,0,0,1,0,10,9,0
2001,110529,California State Polytechnic University-Pomona,19041,0,0,5,0,0,0,0,0,1,0,85,45,0
2002,110529,California State Polytechnic University-Pomona,19821,0,0,1,0,0,0,0,0,5,2,41,49,6
2003,110529,California State Polytechnic University-Pomona,19804,0,0,1,0,0,0,0,0,3,0,39,36,1
2004,110529,California State Polytechnic University-Pomona,19003,0,0,3,0,0,0,0,0,2,1,25,38,0
2005,110529,California State Polytechnic University-Pomona,19885,0,0,0,0,0,0,0,0,3,1,53,33,3
2006,110529,California State Polytechnic University-Pomona,20510,0,0,2,0,0,0,0,0,0,1,30,52,0
2007,110529,California State Polytechnic University-Pomona,21477,0,0,3,0,0,0,0,0,1,3,24,25,1
2008,110529,California State Polytechnic University-Pomona,21190,0,0,4,0,0,0,0,0,0,2,12,14,0
2009,110529,California State Polytechnic University-Pomona,22273,0,0,4,0,0,0,0,0,4,0,13,19,0
2010,110529,California State Polytechnic University-Pomona,20747,0,0,6,0,0,0,0,0,3,0,12,19,1
2011,110529,California State Polytechnic University-Pomona,21107,0,0,7,0,0,0,0,0,2,0,23,15,0
2012,110529,California State Polytechnic University-Pomona,22156,0,0,1,0,0,0,0,0,5,2,21,17,0
2013,110529,California State Polytechnic University-Pomona,22501,0,0,3,0,0,0,0,0,1,0,10,21,0
2014,110529,California State Polytechnic University-Pomona,23966,0,0,0,4,2,0,0,0,1,1,9,15,0
2001,110538,California State University-Chico,16704,0,0,3,0,0,1,0,0,0,2,40,4,0
2002,110538,California State University-Chico,16246,0,0,1,0,0,0,0,0,0,1,16,6,0
2003,110538,California State University-Chico,15516,0,0,2,0,0,2,0,0,1,2,24,4,2
2004,110538,California State University-Chico,15734,0,0,1,0,0,0,0,0,1,2,26,10,1
2005,110538,California State University-Chico,15919,0,0,1,0,0,0,0,0,5,0,47,12,0
2006,110538,California State University-Chico,16250,0,0,5,0,0,0,0,0,1,3,15,2,3
2007,110538,California State University-Chico,17034,0,0,2,0,0,0,0,0,2,2,16,4,1
2008,110538,California State University-Chico,17132,0,0,3,0,0,0,0,0,2,1,17,6,3
2009,110538,California State University-Chico,16934,0,0,1,0,0,0,0,0,3,1,8,5,1
2010,110538,California State University-Chico,15989,0,0,6,0,0,1,0,0,4,1,6,0,3
2011,110538,California State University-Chico,15920,0,0,2,0,0,0,0,0,1,1,4,1,1
2012,110538,California State University-Chico,16470,0,0,4,0,0,0,0,0,2,3,7,0,0
