Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,108232,Academy of Art University,6282,0,16,48
2002,108232,Academy of Art University,6650,0,20,26
2003,108232,Academy of Art University,6761,0,41,62
2004,108232,Academy of Art University,7453,0,9,23
2005,108232,Academy of Art University,8522,0,27,28
2006,108232,Academy of Art University,9483,2,33,53
2007,108232,Academy of Art University,11334,4,26,49
2008,108232,Academy of Art University,13181,0,51,41
2009,108232,Academy of Art University,15413,0,58,110
2010,108232,Academy of Art University,17697,0,18,105
2011,108232,Academy of Art University,18093,0,45,30
2012,108232,Academy of Art University,17871,2,33,33
2013,108232,Academy of Art University,16001,0,23,36
2014,108232,Academy of Art University,15212,0,33,30
2001,110422,California Polytechnic State University-San Luis Obispo,18079,3,9,1
2002,110422,California Polytechnic State University-San Luis Obispo,18453,2,5,4
2003,110422,California Polytechnic State University-San Luis Obispo,18303,1,11,3
2004,110422,California Polytechnic State University-San Luis Obispo,17582,0,3,2
2005,110422,California Polytechnic State University-San Luis Obispo,18475,0,2,0
2006,110422,California Polytechnic State University-San Luis Obispo,18722,0,0,2
2007,110422,California Polytechnic State University-San Luis Obispo,19777,0,0,0
2008,110422,California Polytechnic State University-San Luis Obispo,19471,1,0,0
2009,110422,California Polytechnic State University-San Luis Obispo,19325,0,3,0
2010,110422,California Polytechnic State University-San Luis Obispo,18360,0,0,0
2011,110422,California Polytechnic State University-San Luis Obispo,18762,0,8,0
2012,110422,California Polytechnic State University-San Luis Obispo,18679,0,34,0
2013,110422,California Polytechnic State University-San Luis Obispo,19703,7,5,0
2014,110422,California Polytechnic State University-San Luis Obispo,20186,0,39,133
2001,110510,California State University-San Bernardino,15985,0,1,29
2002,110510,California State University-San Bernardino,16341,0,8,99
2003,110510,California State University-San Bernardino,16927,0,15,51
2004,110510,California State University-San Bernardino,16194,1,10,162
2005,110510,California State University-San Bernardino,16431,1,12,92
2006,110510,California State University-San Bernardino,16479,5,8,48
2007,110510,California State University-San Bernardino,17066,2,4,5
2008,110510,California State University-San Bernardino,17646,0,0,0
2009,110510,California State University-San Bernardino,17852,1,4,22
2010,110510,California State University-San Bernardino,16400,1,28,23
2011,110510,California State University-San Bernardino,17250,0,1,16
2012,110510,California State University-San Bernardino,18234,0,2,17
2013,110510,California State University-San Bernardino,18398,0,58,103
2014,110510,California State University-San Bernardino,18952,2,97,132
2001,110529,California State Polytechnic University-Pomona,19041,0,33,91
2002,110529,California State Polytechnic University-Pomona,19821,3,21,62
2003,110529,California State Polytechnic University-Pomona,19804,8,29,121
2004,110529,California State Polytechnic University-Pomona,19003,3,29,121
2005,110529,California State Polytechnic University-Pomona,19885,6,21,271
2006,110529,California State Polytechnic University-Pomona,20510,12,51,320
2007,110529,California State Polytechnic University-Pomona,21477,17,103,335
2008,110529,California State Polytechnic University-Pomona,21190,8,49,305
2009,110529,California State Polytechnic University-Pomona,22273,2,96,364
2010,110529,California State Polytechnic University-Pomona,20747,0,46,346
2011,110529,California State Polytechnic University-Pomona,21107,6,89,234
2012,110529,California State Polytechnic University-Pomona,22156,5,84,155
2013,110529,California State Polytechnic University-Pomona,22501,6,96,280
2014,110529,California State Polytechnic University-Pomona,23966,7,125,140
2001,110538,California State University-Chico,16704,6,198,801
2002,110538,California State University-Chico,16246,2,193,669
2003,110538,California State University-Chico,15516,13,309,1083
2004,110538,California State University-Chico,15734,1,65,782
2005,110538,California State University-Chico,15919,5,31,90
2006,110538,California State University-Chico,16250,4,1,433
2007,110538,California State University-Chico,17034,0,8,164
2008,110538,California State University-Chico,17132,0,1,138
2009,110538,California State University-Chico,16934,0,13,146
2010,110538,California State University-Chico,15989,0,7,104
2011,110538,California State University-Chico,15920,1,14,111
2012,110538,California State University-Chico,16470,2,16,71
2013,110538,California State University-Chico,16356,0,9,67
2014,110538,California State University-Chico,17287,0,9,31
2001,110547,California State University-Dominguez Hills,12871,0,2,0
2002,110547,California State University-Dominguez Hills,13504,1,2,0
2003,110547,California State University-Dominguez Hills,13248,0,3,0
2004,110547,California State University-Dominguez Hills,12613,0,5,0
2005,110547,California State University-Dominguez Hills,12357,0,0,0
