Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,108232,Academy of Art University,15212,6,0,5
2002,108232,Academy of Art University,15212,6,0,5
2003,108232,Academy of Art University,15212,6,0,5
2004,108232,Academy of Art University,15212,6,0,5
2005,108232,Academy of Art University,15212,6,0,5
2006,108232,Academy of Art University,15212,6,0,5
2007,108232,Academy of Art University,15212,6,0,5
2008,108232,Academy of Art University,15212,6,0,5
2009,108232,Academy of Art University,15212,6,0,5
2010,108232,Academy of Art University,15212,6,0,5
2011,108232,Academy of Art University,15212,6,0,5
2012,108232,Academy of Art University,15212,6,0,5
2013,108232,Academy of Art University,15212,6,0,5
2014,108232,Academy of Art University,15212,6,0,5
2001,110422,California Polytechnic State University-San Luis Obispo,20186,1,0,0
2002,110422,California Polytechnic State University-San Luis Obispo,20186,1,0,0
2003,110422,California Polytechnic State University-San Luis Obispo,20186,1,0,0
2004,110422,California Polytechnic State University-San Luis Obispo,20186,1,0,0
2005,110422,California Polytechnic State University-San Luis Obispo,20186,1,0,0
2006,110422,California Polytechnic State University-San Luis Obispo,20186,1,0,0
2007,110422,California Polytechnic State University-San Luis Obispo,20186,1,0,0
2008,110422,California Polytechnic State University-San Luis Obispo,20186,1,0,0
2009,110422,California Polytechnic State University-San Luis Obispo,20186,1,0,0
2010,110422,California Polytechnic State University-San Luis Obispo,20186,1,0,0
2011,110422,California Polytechnic State University-San Luis Obispo,20186,1,0,0
2012,110422,California Polytechnic State University-San Luis Obispo,20186,1,0,0
2013,110422,California Polytechnic State University-San Luis Obispo,20186,1,0,0
2014,110422,California Polytechnic State University-San Luis Obispo,20186,1,0,0
2001,110510,California State University-San Bernardino,18952,6,3,1
2002,110510,California State University-San Bernardino,18952,6,3,1
2003,110510,California State University-San Bernardino,18952,6,3,1
2004,110510,California State University-San Bernardino,18952,6,3,1
2005,110510,California State University-San Bernardino,18952,6,3,1
2006,110510,California State University-San Bernardino,18952,6,3,1
2007,110510,California State University-San Bernardino,18952,6,3,1
2008,110510,California State University-San Bernardino,18952,6,3,1
2009,110510,California State University-San Bernardino,18952,6,3,1
2010,110510,California State University-San Bernardino,18952,6,3,1
2011,110510,California State University-San Bernardino,18952,6,3,1
2012,110510,California State University-San Bernardino,18952,6,3,1
2013,110510,California State University-San Bernardino,18952,6,3,1
2014,110510,California State University-San Bernardino,18952,6,3,1
2001,110529,California State Polytechnic University-Pomona,23966,2,0,1
2002,110529,California State Polytechnic University-Pomona,23966,2,0,1
2003,110529,California State Polytechnic University-Pomona,23966,2,0,1
2004,110529,California State Polytechnic University-Pomona,23966,2,0,1
2005,110529,California State Polytechnic University-Pomona,23966,2,0,1
2006,110529,California State Polytechnic University-Pomona,23966,2,0,1
2007,110529,California State Polytechnic University-Pomona,23966,2,0,1
2008,110529,California State Polytechnic University-Pomona,23966,2,0,1
2009,110529,California State Polytechnic University-Pomona,23966,2,0,1
2010,110529,California State Polytechnic University-Pomona,23966,2,0,1
2011,110529,California State Polytechnic University-Pomona,23966,2,0,1
2012,110529,California State Polytechnic University-Pomona,23966,2,0,1
2013,110529,California State Polytechnic University-Pomona,23966,2,0,1
2014,110529,California State Polytechnic University-Pomona,23966,2,0,1
2001,110538,California State University-Chico,17287,2,0,0
2002,110538,California State University-Chico,17287,2,0,0
2003,110538,California State University-Chico,17287,2,0,0
2004,110538,California State University-Chico,17287,2,0,0
2005,110538,California State University-Chico,17287,2,0,0
2006,110538,California State University-Chico,17287,2,0,0
2007,110538,California State University-Chico,17287,2,0,0
2008,110538,California State University-Chico,17287,2,0,0
2009,110538,California State University-Chico,17287,2,0,0
2010,110538,California State University-Chico,17287,2,0,0
2011,110538,California State University-Chico,17287,2,0,0
2012,110538,California State University-Chico,17287,2,0,0
2013,110538,California State University-Chico,17287,2,0,0
2014,110538,California State University-Chico,17287,2,0,0
2001,110547,California State University-Dominguez Hills,14687,0,0,0
2002,110547,California State University-Dominguez Hills,14687,0,0,0
2003,110547,California State University-Dominguez Hills,14687,0,0,0
2004,110547,California State University-Dominguez Hills,14687,0,0,0
2005,110547,California State University-Dominguez Hills,14687,0,0,0
2006,110547,California State University-Dominguez Hills,14687,0,0,0
2007,110547,California State University-Dominguez Hills,14687,0,0,0
2008,110547,California State University-Dominguez Hills,14687,0,0,0
2009,110547,California State University-Dominguez Hills,14687,0,0,0
2010,110547,California State University-Dominguez Hills,14687,0,0,0
2011,110547,California State University-Dominguez Hills,14687,0,0,0
2012,110547,California State University-Dominguez Hills,14687,0,0,0
2013,110547,California State University-Dominguez Hills,14687,0,0,0
2014,110547,California State University-Dominguez Hills,14687,0,0,0
2001,110556,California State University-Fresno,23179,2,2,1
2002,110556,California State University-Fresno,23179,2,2,1
2003,110556,California State University-Fresno,23179,2,2,1
2004,110556,California State University-Fresno,23179,2,2,1
2005,110556,California State University-Fresno,23179,2,2,1
2006,110556,California State University-Fresno,23179,2,2,1
2007,110556,California State University-Fresno,23179,2,2,1
2008,110556,California State University-Fresno,23179,2,2,1
2009,110556,California State University-Fresno,23179,2,2,1
2010,110556,California State University-Fresno,23179,2,2,1
2011,110556,California State University-Fresno,23179,2,2,1
2012,110556,California State University-Fresno,23179,2,2,1
2013,110556,California State University-Fresno,23179,2,2,1
2014,110556,California State University-Fresno,23179,2,2,1
2001,110565,California State University-Fullerton,38128,1,0,4
2002,110565,California State University-Fullerton,38128,1,0,4
2003,110565,California State University-Fullerton,38128,1,0,4
2004,110565,California State University-Fullerton,38128,1,0,4
