Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2004,102368,Troy University,20855,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,102368,Troy University,26880,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,102368,Troy University,27938,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,102368,Troy University,28955,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,102368,Troy University,28303,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,102368,Troy University,29328,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,102368,Troy University,28322,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,102368,Troy University,26172,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,102368,Troy University,22554,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,102368,Troy University,20573,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,102368,Troy University,19041,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,126562,University of Colorado Denver,15004,0,0,1,0,0,0,0,0,2,1,9,5,0
2002,126562,University of Colorado Denver,15596,0,0,0,0,0,0,0,0,1,3,3,15,0
2003,126562,University of Colorado Denver,15746,0,0,0,0,0,0,0,0,1,5,7,9,1
2004,126562,University of Colorado Denver,16610,0,0,1,0,0,0,0,0,0,2,46,17,1
2005,126562,University of Colorado Denver,19766,0,0,0,0,0,0,0,0,0,3,51,10,1
2006,126562,University of Colorado Denver,20162,0,0,2,0,0,0,0,0,2,4,52,12,0
2007,126562,University of Colorado Denver,21658,0,0,1,0,0,0,0,0,3,2,68,9,1
2008,126562,University of Colorado Denver,21903,0,0,1,0,0,0,0,0,1,0,35,7,0
2009,126562,University of Colorado Denver,23715,0,0,4,0,0,0,0,0,2,6,20,11,0
2010,126562,University of Colorado Denver,24108,0,0,3,0,0,0,0,0,2,4,19,13,0
2011,126562,University of Colorado Denver,22495,0,0,1,0,0,0,0,0,0,2,75,11,0
2012,126562,University of Colorado Denver,22396,0,0,3,0,0,0,0,0,4,3,25,22,0
2013,126562,University of Colorado Denver,22206,0,0,3,0,0,0,0,0,3,3,26,10,0
2014,126562,University of Colorado Denver,22791,0,0,0,1,6,0,0,0,0,1,26,8,0
2001,126580,University of Colorado Colorado Springs,7980,0,0,0,0,0,0,0,0,1,2,13,4,1
2002,126580,University of Colorado Colorado Springs,8340,0,0,1,0,0,0,0,0,1,1,15,2,0
2003,126580,University of Colorado Colorado Springs,8712,0,0,2,0,0,0,0,0,0,0,1,2,0
2004,126580,University of Colorado Colorado Springs,9039,0,0,2,0,0,0,0,0,0,2,4,2,1
2005,126580,University of Colorado Colorado Springs,9333,0,0,0,0,0,0,0,0,0,0,5,1,0
2006,126580,University of Colorado Colorado Springs,8647,0,0,1,0,0,0,0,0,0,1,14,4,1
2007,126580,University of Colorado Colorado Springs,8660,0,0,3,0,0,0,0,0,0,1,14,1,0
2008,126580,University of Colorado Colorado Springs,9373,0,0,0,0,0,0,0,0,0,0,6,0,0
2009,126580,University of Colorado Colorado Springs,9733,0,0,0,0,0,0,0,0,0,1,11,1,0
2010,126580,University of Colorado Colorado Springs,9745,0,0,1,0,0,0,0,0,0,1,1,0,0
2011,126580,University of Colorado Colorado Springs,10183,0,0,1,0,0,0,0,0,0,0,2,1,0
2012,126580,University of Colorado Colorado Springs,10612,0,0,0,0,0,0,0,0,0,0,3,3,0
2013,126580,University of Colorado Colorado Springs,11321,0,0,3,0,0,0,0,0,0,1,6,2,0
2014,126580,University of Colorado Colorado Springs,11761,0,0,0,0,1,0,0,0,0,0,4,2,2
2001,126614,University of Colorado Boulder,30063,0,0,10,0,0,0,0,0,1,6,142,17,25
2002,126614,University of Colorado Boulder,31415,0,0,7,0,0,0,0,0,3,8,130,22,14
2003,126614,University of Colorado Boulder,32423,0,0,22,0,0,0,0,0,3,9,113,13,12
2004,126614,University of Colorado Boulder,32362,0,0,12,0,0,0,0,0,2,7,133,14,13
2005,126614,University of Colorado Boulder,31589,0,0,12,0,0,1,0,0,4,11,99,24,20
2006,126614,University of Colorado Boulder,31665,0,0,10,0,0,0,0,0,3,16,103,13,21
2007,126614,University of Colorado Boulder,31796,0,0,8,0,0,0,0,0,2,7,54,5,7
2008,126614,University of Colorado Boulder,32469,0,0,7,0,0,0,0,0,3,7,59,4,7
2009,126614,University of Colorado Boulder,33010,0,0,9,0,0,0,0,0,2,5,60,1,2
2010,126614,University of Colorado Boulder,32697,0,0,4,0,0,0,0,0,2,2,27,5,4
2011,126614,University of Colorado Boulder,32558,0,0,7,0,0,0,0,0,5,8,42,10,1
2012,126614,University of Colorado Boulder,31945,0,0,7,0,0,0,0,0,1,11,31,7,1
2013,126614,University of Colorado Boulder,32017,0,0,10,0,0,0,0,0,0,2,26,3,1
2014,126614,University of Colorado Boulder,32432,0,0,0,10,0,0,0,0,3,2,22,4,2
2001,126818,Colorado State University-Fort Collins,28103,0,0,7,0,0,12,0,0,0,2,18,3,14
2002,126818,Colorado State University-Fort Collins,29255,0,0,20,0,0,0,0,0,1,13,25,5,6
2003,126818,Colorado State University-Fort Collins,28186,0,0,8,0,0,0,0,0,3,10,39,11,3
2004,126818,Colorado State University-Fort Collins,27973,0,0,5,0,0,0,0,0,2,5,23,13,4
2005,126818,Colorado State University-Fort Collins,27780,0,0,1,0,0,2,0,0,0,2,17,8,5
2006,126818,Colorado State University-Fort Collins,27636,0,0,6,0,0,0,0,0,0,2,18,2,2
2007,126818,Colorado State University-Fort Collins,27569,0,0,4,0,0,0,0,0,2,1,14,7,3
2008,126818,Colorado State University-Fort Collins,28882,0,0,2,0,0,0,0,0,0,4,12,2,5
2009,126818,Colorado State University-Fort Collins,28902,0,0,4,0,0,0,0,0,1,3,14,7,14
2010,126818,Colorado State University-Fort Collins,30155,0,0,4,0,0,0,0,0,2,2,49,7,8
2011,126818,Colorado State University-Fort Collins,30467,0,0,4,0,0,0,0,0,1,0,16,1,3
2012,126818,Colorado State University-Fort Collins,30659,0,0,12,0,0,0,0,0,2,2,23,1,7
2013,126818,Colorado State University-Fort Collins,31186,0,0,19,0,0,0,0,0,2,1,11,4,13
2014,126818,Colorado State University-Fort Collins,31354,0,0,0,17,11,0,0,0,0,2,17,4,5
2001,127060,University of Denver,9385,0,0,2,0,0,0,0,0,0,3,61,4,3
2002,127060,University of Denver,9229,0,0,3,0,0,0,0,0,1,2,78,6,2
2003,127060,University of Denver,9521,0,0,6,0,0,0,0,0,0,1,67,6,4
2004,127060,University of Denver,9808,0,0,6,0,0,0,0,0,0,6,76,8,5
2005,127060,University of Denver,10374,0,0,2,0,0,0,0,0,0,2,127,12,5
2006,127060,University of Denver,10791,0,0,8,0,0,0,0,0,0,2,82,7,0
2007,127060,University of Denver,11053,0,0,3,0,0,0,0,0,1,1,76,5,0
2008,127060,University of Denver,11328,0,0,5,0,0,0,0,0,1,1,44,1,1
2009,127060,University of Denver,11644,0,0,1,0,0,0,0,0,0,0,22,4,2
2010,127060,University of Denver,11842,0,0,4,0,0,0,0,0,0,0,23,5,1
2011,127060,University of Denver,11797,0,0,2,0,0,0,0,0,2,2,12,9,1
2012,127060,University of Denver,11656,0,0,6,0,0,0,0,0,0,0,14,0,0
2013,127060,University of Denver,11778,0,0,8,0,0,0,0,0,0,0,11,5,2
2014,127060,University of Denver,11809,0,0,0,14,2,0,0,0,2,1,5,2,1
2001,127565,Metropolitan State University of Denver,18445,0,0,1,0,0,0,0,0,2,1,9,5,0
2002,127565,Metropolitan State University of Denver,19413,0,0,0,0,0,0,0,0,1,3,3,15,0
2003,127565,Metropolitan State University of Denver,20261,0,0,0,0,0,0,0,0,1,5,7,9,1
2004,127565,Metropolitan State University of Denver,20761,0,0,0,0,0,0,0,0,0,2,46,12,0
2005,127565,Metropolitan State University of Denver,21010,0,0,0,0,0,0,0,0,0,3,45,8,1
2006,127565,Metropolitan State University of Denver,21154,0,0,1,0,0,0,0,0,1,4,44,11,0
2007,127565,Metropolitan State University of Denver,21425,0,0,1,0,0,0,0,0,2,2,43,9,1
2008,127565,Metropolitan State University of Denver,21729,0,0,1,0,0,0,0,0,1,0,24,5,0
2009,127565,Metropolitan State University of Denver,22837,0,0,4,0,0,0,0,0,2,4,16,7,0
2010,127565,Metropolitan State University of Denver,23948,0,0,2,0,0,0,0,0,1,2,14,12,0
2011,127565,Metropolitan State University of Denver,23789,0,0,1,0,0,0,0,0,0,2,66,7,0
2012,127565,Metropolitan State University of Denver,23381,0,0,2,0,0,0,0,0,3,3,22,15,0
2013,127565,Metropolitan State University of Denver,22752,0,0,0,0,0,0,0,0,3,2,20,8,0
2014,127565,Metropolitan State University of Denver,21674,0,0,0,0,2,0,0,0,0,1,18,6,0
2001,127741,University of Northern Colorado,12301,0,0,9,0,0,0,0,0,0,0,30,1,3
2002,127741,University of Northern Colorado,12434,0,0,5,0,0,0,0,0,0,1,12,3,0
2003,127741,University of Northern Colorado,13204,0,0,5,0,0,0,0,0,1,1,16,4,1
2004,127741,University of Northern Colorado,13156,0,0,9,0,0,1,0,0,0,4,33,3,0
2005,127741,University of Northern Colorado,13622,0,0,6,0,0,0,0,0,0,0,18,6,4
2006,127741,University of Northern Colorado,13363,0,0,6,0,0,0,0,0,1,1,48,8,2
2007,127741,University of Northern Colorado,12702,0,0,3,0,0,0,0,0,1,0,22,6,0
2008,127741,University of Northern Colorado,12498,0,0,4,0,0,0,0,0,1,2,69,1,2
2009,127741,University of Northern Colorado,12711,0,0,8,0,0,0,0,0,0,1,2,1,0
2010,127741,University of Northern Colorado,13030,0,0,1,0,0,0,0,0,0,2,10,1,1
2011,127741,University of Northern Colorado,13038,0,0,2,0,0,0,0,0,1,3,6,0,1
2012,127741,University of Northern Colorado,13070,0,0,4,0,0,0,0,0,2,1,12,2,0
2013,127741,University of Northern Colorado,12710,0,0,5,0,0,0,0,0,1,2,5,1,0
2014,127741,University of Northern Colorado,12050,0,0,0,5,4,0,0,0,0,3,2,0,1
2001,177065,Columbia College,8564,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,177065,Columbia College,8958,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,177065,Columbia College,10146,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,177065,Columbia College,11017,0,0,0,0,0,0,0,0,0,0,1,0,0
2005,177065,Columbia College,11792,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,177065,Columbia College,12280,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,177065,Columbia College,12954,0,0,0,0,0,0,0,0,0,0,1,0,0
2008,177065,Columbia College,14081,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,177065,Columbia College,15556,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,177065,Columbia College,16962,0,0,0,0,0,0,0,0,0,0,1,0,0
2011,177065,Columbia College,18091,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,177065,Columbia College,17830,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,177065,Columbia College,16946,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,177065,Columbia College,16567,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,179894,Webster University,15402,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,179894,Webster University,17249,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,179894,Webster University,18740,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,179894,Webster University,19038,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,179894,Webster University,18407,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,179894,Webster University,18963,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,179894,Webster University,19398,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,179894,Webster University,19154,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,179894,Webster University,19372,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,179894,Webster University,19342,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,179894,Webster University,19224,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,179894,Webster University,18456,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,179894,Webster University,17904,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,179894,Webster University,16769,0,0,0,0,0,0,0,0,0,0,1,0,0
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0,0,0,0,0,0,0,0,0,0,0
