Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2004,102368,Troy University,20855,0,0,0
2005,102368,Troy University,26880,0,0,0
2006,102368,Troy University,27938,0,0,0
2007,102368,Troy University,28955,0,0,0
2008,102368,Troy University,28303,0,0,0
2009,102368,Troy University,29328,0,0,0
2010,102368,Troy University,28322,0,0,0
2011,102368,Troy University,26172,0,0,0
2012,102368,Troy University,22554,0,0,0
2013,102368,Troy University,20573,0,0,0
2014,102368,Troy University,19041,0,0,0
2001,126562,University of Colorado Denver,15004,0,0,0
2002,126562,University of Colorado Denver,15596,0,0,0
2003,126562,University of Colorado Denver,15746,0,0,0
2004,126562,University of Colorado Denver,16610,0,0,0
2005,126562,University of Colorado Denver,19766,0,0,0
2006,126562,University of Colorado Denver,20162,0,24,68
2007,126562,University of Colorado Denver,21658,0,36,108
2008,126562,University of Colorado Denver,21903,0,32,127
2009,126562,University of Colorado Denver,23715,1,37,103
2010,126562,University of Colorado Denver,24108,2,58,124
2011,126562,University of Colorado Denver,22495,0,119,196
2012,126562,University of Colorado Denver,22396,1,113,210
2013,126562,University of Colorado Denver,22206,0,56,106
2014,126562,University of Colorado Denver,22791,0,146,222
2001,126580,University of Colorado Colorado Springs,7980,0,0,1
2002,126580,University of Colorado Colorado Springs,8340,0,0,1
2003,126580,University of Colorado Colorado Springs,8712,0,0,1
2004,126580,University of Colorado Colorado Springs,9039,8,2,5
2005,126580,University of Colorado Colorado Springs,9333,0,0,0
2006,126580,University of Colorado Colorado Springs,8647,0,1,24
2007,126580,University of Colorado Colorado Springs,8660,0,0,0
2008,126580,University of Colorado Colorado Springs,9373,0,0,28
2009,126580,University of Colorado Colorado Springs,9733,0,3,69
2010,126580,University of Colorado Colorado Springs,9745,0,15,55
2011,126580,University of Colorado Colorado Springs,10183,0,22,60
2012,126580,University of Colorado Colorado Springs,10612,0,7,56
2013,126580,University of Colorado Colorado Springs,11321,1,8,56
2014,126580,University of Colorado Colorado Springs,11761,0,7,61
2001,126614,University of Colorado Boulder,30063,10,245,805
2002,126614,University of Colorado Boulder,31415,14,375,1267
2003,126614,University of Colorado Boulder,32423,9,613,2252
2004,126614,University of Colorado Boulder,32362,10,655,856
2005,126614,University of Colorado Boulder,31589,1,263,778
2006,126614,University of Colorado Boulder,31665,21,293,734
2007,126614,University of Colorado Boulder,31796,34,874,1965
2008,126614,University of Colorado Boulder,32469,13,914,2014
2009,126614,University of Colorado Boulder,33010,20,1192,2137
2010,126614,University of Colorado Boulder,32697,19,1404,1870
2011,126614,University of Colorado Boulder,32558,9,1319,1748
2012,126614,University of Colorado Boulder,31945,1,1145,1420
2013,126614,University of Colorado Boulder,32017,0,446,1038
2014,126614,University of Colorado Boulder,32432,1,581,1214
2001,126818,Colorado State University-Fort Collins,28103,2,84,373
2002,126818,Colorado State University-Fort Collins,29255,2,72,292
2003,126818,Colorado State University-Fort Collins,28186,6,50,38
2004,126818,Colorado State University-Fort Collins,27973,8,0,53
2005,126818,Colorado State University-Fort Collins,27780,1,0,0
2006,126818,Colorado State University-Fort Collins,27636,0,0,0
2007,126818,Colorado State University-Fort Collins,27569,0,43,91
2008,126818,Colorado State University-Fort Collins,28882,0,57,191
2009,126818,Colorado State University-Fort Collins,28902,0,152,130
2010,126818,Colorado State University-Fort Collins,30155,0,126,207
2011,126818,Colorado State University-Fort Collins,30467,3,370,870
2012,126818,Colorado State University-Fort Collins,30659,10,553,1266
2013,126818,Colorado State University-Fort Collins,31186,3,316,817
2014,126818,Colorado State University-Fort Collins,31354,0,355,963
2001,127060,University of Denver,9385,1,30,56
2002,127060,University of Denver,9229,1,89,280
2003,127060,University of Denver,9521,0,110,287
2004,127060,University of Denver,9808,0,81,278
2005,127060,University of Denver,10374,0,88,272
2006,127060,University of Denver,10791,0,54,306
2007,127060,University of Denver,11053,0,137,356
2008,127060,University of Denver,11328,3,91,452
2009,127060,University of Denver,11644,0,154,564
2010,127060,University of Denver,11842,0,150,398
2011,127060,University of Denver,11797,4,153,422
2012,127060,University of Denver,11656,1,113,296
2013,127060,University of Denver,11778,13,199,491
2014,127060,University of Denver,11809,0,174,524
2001,127565,Metropolitan State University of Denver,18445,0,0,1
2002,127565,Metropolitan State University of Denver,19413,0,0,1
2003,127565,Metropolitan State University of Denver,20261,0,0,0
2004,127565,Metropolitan State University of Denver,20761,0,0,0
2005,127565,Metropolitan State University of Denver,21010,0,0,0
2006,127565,Metropolitan State University of Denver,21154,0,0,0
2007,127565,Metropolitan State University of Denver,21425,0,0,0
2008,127565,Metropolitan State University of Denver,21729,0,0,0
2009,127565,Metropolitan State University of Denver,22837,0,0,0
2010,127565,Metropolitan State University of Denver,23948,0,0,0
2011,127565,Metropolitan State University of Denver,23789,0,0,0
2012,127565,Metropolitan State University of Denver,23381,0,3,0
2013,127565,Metropolitan State University of Denver,22752,0,2,0
2014,127565,Metropolitan State University of Denver,21674,0,2,0
2001,127741,University of Northern Colorado,12301,0,77,298
2002,127741,University of Northern Colorado,12434,0,37,143
2003,127741,University of Northern Colorado,13204,5,41,271
2004,127741,University of Northern Colorado,13156,6,93,879
2005,127741,University of Northern Colorado,13622,0,51,613
2006,127741,University of Northern Colorado,13363,0,106,853
2007,127741,University of Northern Colorado,12702,0,82,686
2008,127741,University of Northern Colorado,12498,0,187,556
2009,127741,University of Northern Colorado,12711,0,82,539
2010,127741,University of Northern Colorado,13030,2,41,683
2011,127741,University of Northern Colorado,13038,0,171,569
2012,127741,University of Northern Colorado,13070,1,40,230
2013,127741,University of Northern Colorado,12710,1,72,305
2014,127741,University of Northern Colorado,12050,1,31,169
2001,177065,Columbia College,8564,0,0,0
2002,177065,Columbia College,8958,0,0,0
2003,177065,Columbia College,10146,0,0,0
2004,177065,Columbia College,11017,0,0,0
2005,177065,Columbia College,11792,0,0,0
2006,177065,Columbia College,12280,0,0,0
2007,177065,Columbia College,12954,0,0,0
2008,177065,Columbia College,14081,0,0,0
2009,177065,Columbia College,15556,0,0,0
2010,177065,Columbia College,16962,0,0,0
2011,177065,Columbia College,18091,0,0,0
2012,177065,Columbia College,17830,0,0,0
2013,177065,Columbia College,16946,0,0,0
2014,177065,Columbia College,16567,0,0,0
2001,179894,Webster University,15402,0,0,0
2002,179894,Webster University,17249,0,0,0
2003,179894,Webster University,18740,0,0,0
2004,179894,Webster University,19038,0,0,0
2005,179894,Webster University,18407,0,0,0
2006,179894,Webster University,18963,0,0,0
2007,179894,Webster University,19398,0,0,0
2008,179894,Webster University,19154,0,0,0
2009,179894,Webster University,19372,0,0,0
2010,179894,Webster University,19342,0,0,0
2011,179894,Webster University,19224,0,0,0
2012,179894,Webster University,18456,0,0,0
2013,179894,Webster University,17904,0,0,0
2014,179894,Webster University,16769,0,0,0
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
