Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2014,102368,Troy University,19041,0,0,0
2014,126562,University of Colorado Denver,22791,8,0,12
2014,126580,University of Colorado Colorado Springs,11761,0,1,0
2014,126614,University of Colorado Boulder,32432,8,1,3
2014,126818,Colorado State University-Fort Collins,31354,7,4,17
2014,127060,University of Denver,11809,0,4,10
2014,127565,Metropolitan State University of Denver,21674,5,0,7
2014,127741,University of Northern Colorado,12050,0,2,1
2014,177065,Columbia College,16567,0,0,0
2014,179894,Webster University,16769,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
