Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,128771,Central Connecticut State University,12368,0,0,4,0,0,0,0,0,1,3,40,20,0
2002,128771,Central Connecticut State University,12642,0,0,12,0,0,0,0,0,0,2,20,33,0
2003,128771,Central Connecticut State University,12131,0,0,3,0,0,0,0,0,1,0,16,1,0
2004,128771,Central Connecticut State University,12320,0,0,1,0,0,0,0,0,1,0,32,3,0
2005,128771,Central Connecticut State University,12315,0,0,3,0,0,0,0,0,0,0,17,1,0
2006,128771,Central Connecticut State University,12144,0,0,0,0,0,0,0,0,1,0,6,1,1
2007,128771,Central Connecticut State University,12106,0,0,4,0,0,0,0,0,0,0,6,0,0
2008,128771,Central Connecticut State University,12233,0,0,6,0,0,0,0,0,0,0,14,9,0
2009,128771,Central Connecticut State University,12461,0,0,3,0,0,0,0,0,1,0,3,4,0
2010,128771,Central Connecticut State University,12477,0,0,4,0,0,0,0,0,2,0,13,4,0
2011,128771,Central Connecticut State University,12521,0,0,3,0,0,0,0,0,0,0,3,1,0
2012,128771,Central Connecticut State University,12091,0,0,2,0,0,0,0,0,2,0,17,1,0
2013,128771,Central Connecticut State University,11865,0,0,5,0,0,0,0,0,0,0,8,2,0
2014,128771,Central Connecticut State University,12037,0,0,0,1,1,0,0,0,1,0,11,0,1
2001,129020,University of Connecticut,19876,0,1,9,0,0,0,0,0,4,9,77,13,5
2002,129020,University of Connecticut,21427,0,0,11,0,0,0,0,0,4,5,127,9,3
2003,129020,University of Connecticut,22053,0,0,11,0,0,0,0,0,7,5,108,6,6
2004,129020,University of Connecticut,22694,0,0,1,0,0,0,0,0,6,5,81,5,0
2005,129020,University of Connecticut,23185,0,0,3,0,0,0,0,0,0,3,57,4,0
2006,129020,University of Connecticut,23557,0,0,3,0,0,0,0,0,3,5,37,4,4
2007,129020,University of Connecticut,23692,0,0,3,0,0,0,0,0,3,5,39,5,3
2008,129020,University of Connecticut,24273,0,0,3,0,0,0,0,0,1,1,43,0,0
2009,129020,University of Connecticut,25029,1,0,5,0,0,0,0,0,2,4,25,2,4
2010,129020,University of Connecticut,25498,0,0,12,0,0,0,0,0,2,3,27,1,5
2011,129020,University of Connecticut,25868,0,0,8,0,0,0,0,0,3,3,54,0,3
2012,129020,University of Connecticut,25483,0,0,13,0,0,0,0,0,0,1,40,19,2
2013,129020,University of Connecticut,25911,0,0,23,0,0,0,0,0,0,2,31,14,0
2014,129020,University of Connecticut,26541,0,0,0,43,11,0,0,0,2,9,25,13,6
2001,130493,Southern Connecticut State University,12254,0,0,1,0,0,0,0,0,1,4,8,13,1
2002,130493,Southern Connecticut State University,12219,0,0,5,0,0,0,0,0,1,0,14,3,1
2003,130493,Southern Connecticut State University,12143,0,0,1,0,0,0,0,0,1,0,9,2,0
2004,130493,Southern Connecticut State University,12177,0,0,0,0,0,0,0,0,0,0,8,6,0
2005,130493,Southern Connecticut State University,12158,0,0,4,0,0,0,0,0,0,0,18,7,0
2006,130493,Southern Connecticut State University,12326,0,0,1,0,0,0,0,0,1,0,6,5,0
2007,130493,Southern Connecticut State University,11930,0,0,1,0,0,0,0,0,0,0,7,2,0
2008,130493,Southern Connecticut State University,11769,0,0,4,0,0,0,0,0,0,0,40,6,0
2009,130493,Southern Connecticut State University,11815,0,0,4,0,0,0,0,0,0,3,1,8,1
2010,130493,Southern Connecticut State University,11964,0,0,2,0,0,0,0,0,0,0,2,1,0
2011,130493,Southern Connecticut State University,11533,0,0,4,0,0,0,0,0,0,0,8,1,0
