Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,128771,Central Connecticut State University,12368,4,72,495
2002,128771,Central Connecticut State University,12642,3,69,468
2003,128771,Central Connecticut State University,12131,4,11,235
2004,128771,Central Connecticut State University,12320,3,12,357
2005,128771,Central Connecticut State University,12315,4,19,0
2006,128771,Central Connecticut State University,12144,0,16,202
2007,128771,Central Connecticut State University,12106,0,31,186
2008,128771,Central Connecticut State University,12233,0,15,222
2009,128771,Central Connecticut State University,12461,0,14,96
2010,128771,Central Connecticut State University,12477,0,8,299
2011,128771,Central Connecticut State University,12521,0,24,320
2012,128771,Central Connecticut State University,12091,0,26,189
2013,128771,Central Connecticut State University,11865,0,40,163
2014,128771,Central Connecticut State University,12037,2,43,197
2001,129020,University of Connecticut,19876,0,35,11
2002,129020,University of Connecticut,21427,0,0,0
2003,129020,University of Connecticut,22053,0,0,0
2004,129020,University of Connecticut,22694,0,0,0
2005,129020,University of Connecticut,23185,0,0,0
2006,129020,University of Connecticut,23557,0,0,0
2007,129020,University of Connecticut,23692,0,0,0
2008,129020,University of Connecticut,24273,0,37,4
2009,129020,University of Connecticut,25029,1,5,5
2010,129020,University of Connecticut,25498,0,135,575
2011,129020,University of Connecticut,25868,0,100,571
2012,129020,University of Connecticut,25483,1,177,554
2013,129020,University of Connecticut,25911,1,125,483
2014,129020,University of Connecticut,26541,0,269,750
2001,130493,Southern Connecticut State University,12254,5,28,55
2002,130493,Southern Connecticut State University,12219,2,59,223
2003,130493,Southern Connecticut State University,12143,1,51,185
2004,130493,Southern Connecticut State University,12177,2,34,346
2005,130493,Southern Connecticut State University,12158,6,25,483
2006,130493,Southern Connecticut State University,12326,4,32,394
2007,130493,Southern Connecticut State University,11930,3,36,418
2008,130493,Southern Connecticut State University,11769,3,45,479
2009,130493,Southern Connecticut State University,11815,0,44,509
2010,130493,Southern Connecticut State University,11964,0,52,299
2011,130493,Southern Connecticut State University,11533,0,41,358
2012,130493,Southern Connecticut State University,11117,0,78,373
2013,130493,Southern Connecticut State University,10804,0,83,308
2014,130493,Southern Connecticut State University,10825,0,73,317
2001,130794,Yale University,11136,0,0,0
2002,130794,Yale University,11378,0,1,5
2003,130794,Yale University,11471,0,1,38
2004,130794,Yale University,11441,0,1,42
2005,130794,Yale University,11483,0,3,51
2006,130794,Yale University,11415,1,0,46
2007,130794,Yale University,11454,1,2,74
2008,130794,Yale University,10192,0,2,17
2009,130794,Yale University,11593,0,2,13
2010,130794,Yale University,11701,0,9,2
2011,130794,Yale University,11875,0,8,7
2012,130794,Yale University,11906,0,1,52
2013,130794,Yale University,12109,0,10,33
2014,130794,Yale University,12336,0,11,11
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
