Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,128771,Central Connecticut State University,12037,1,1,0
2002,128771,Central Connecticut State University,12037,1,1,0
2003,128771,Central Connecticut State University,12037,1,1,0
2004,128771,Central Connecticut State University,12037,1,1,0
2005,128771,Central Connecticut State University,12037,1,1,0
2006,128771,Central Connecticut State University,12037,1,1,0
2007,128771,Central Connecticut State University,12037,1,1,0
2008,128771,Central Connecticut State University,12037,1,1,0
2009,128771,Central Connecticut State University,12037,1,1,0
2010,128771,Central Connecticut State University,12037,1,1,0
2011,128771,Central Connecticut State University,12037,1,1,0
2012,128771,Central Connecticut State University,12037,1,1,0
2013,128771,Central Connecticut State University,12037,1,1,0
2014,128771,Central Connecticut State University,12037,1,1,0
2001,129020,University of Connecticut,26541,8,23,29
2002,129020,University of Connecticut,26541,8,23,29
2003,129020,University of Connecticut,26541,8,23,29
2004,129020,University of Connecticut,26541,8,23,29
2005,129020,University of Connecticut,26541,8,23,29
2006,129020,University of Connecticut,26541,8,23,29
2007,129020,University of Connecticut,26541,8,23,29
2008,129020,University of Connecticut,26541,8,23,29
2009,129020,University of Connecticut,26541,8,23,29
2010,129020,University of Connecticut,26541,8,23,29
2011,129020,University of Connecticut,26541,8,23,29
2012,129020,University of Connecticut,26541,8,23,29
2013,129020,University of Connecticut,26541,8,23,29
2014,129020,University of Connecticut,26541,8,23,29
2001,130493,Southern Connecticut State University,10825,1,6,7
2002,130493,Southern Connecticut State University,10825,1,6,7
2003,130493,Southern Connecticut State University,10825,1,6,7
2004,130493,Southern Connecticut State University,10825,1,6,7
2005,130493,Southern Connecticut State University,10825,1,6,7
2006,130493,Southern Connecticut State University,10825,1,6,7
2007,130493,Southern Connecticut State University,10825,1,6,7
2008,130493,Southern Connecticut State University,10825,1,6,7
2009,130493,Southern Connecticut State University,10825,1,6,7
2010,130493,Southern Connecticut State University,10825,1,6,7
2011,130493,Southern Connecticut State University,10825,1,6,7
2012,130493,Southern Connecticut State University,10825,1,6,7
2013,130493,Southern Connecticut State University,10825,1,6,7
2014,130493,Southern Connecticut State University,10825,1,6,7
2001,130794,Yale University,12336,6,8,14
2002,130794,Yale University,12336,6,8,14
2003,130794,Yale University,12336,6,8,14
2004,130794,Yale University,12336,6,8,14
2005,130794,Yale University,12336,6,8,14
2006,130794,Yale University,12336,6,8,14
2007,130794,Yale University,12336,6,8,14
2008,130794,Yale University,12336,6,8,14
2009,130794,Yale University,12336,6,8,14
2010,130794,Yale University,12336,6,8,14
2011,130794,Yale University,12336,6,8,14
2012,130794,Yale University,12336,6,8,14
2013,130794,Yale University,12336,6,8,14
2014,130794,Yale University,12336,6,8,14
2001,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2002,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2003,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2004,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2005,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2006,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2007,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2008,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
