Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,110635,University of California-Berkeley,32128,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,110635,University of California-Berkeley,33145,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,110635,University of California-Berkeley,33065,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,110635,University of California-Berkeley,32803,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,110635,University of California-Berkeley,33547,0,0,1,0,0,0,0,0,0,0,0,0,0
2006,110635,University of California-Berkeley,33920,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,110635,University of California-Berkeley,34940,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,110635,University of California-Berkeley,35396,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,110635,University of California-Berkeley,35830,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,110635,University of California-Berkeley,35833,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,110635,University of California-Berkeley,36137,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,110635,University of California-Berkeley,35893,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,110635,University of California-Berkeley,36198,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,110635,University of California-Berkeley,37565,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,131159,American University,10692,0,0,5,0,0,0,0,0,2,2,37,3,0
2002,131159,American University,11052,0,0,6,0,0,0,0,0,1,2,17,2,0
2003,131159,American University,10978,0,0,7,0,0,0,0,0,0,1,36,1,3
2004,131159,American University,11192,0,0,5,0,0,0,0,0,3,0,40,2,0
2005,131159,American University,11279,0,0,1,0,0,0,0,0,0,0,50,2,0
2006,131159,American University,11378,0,0,2,0,0,0,0,0,1,4,18,0,0
2007,131159,American University,11449,0,0,2,0,0,0,0,0,6,2,23,1,1
2008,131159,American University,11684,0,0,0,0,0,0,0,0,0,3,50,1,5
2009,131159,American University,12241,0,0,3,0,0,0,0,0,1,6,40,2,3
