Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2014,110635,University of California-Berkeley,37565,0,0,0
2014,131159,American University,13061,6,3,12
2014,131469,George Washington University,25613,19,0,12
2014,131496,Georgetown University,17858,1,7,4
2014,131520,Howard University,10265,5,3,1
2014,147767,Northwestern University,21554,0,0,0
2014,162928,Johns Hopkins University,21372,0,0,0
2014,163204,University of Maryland-University College,47906,0,0,0
2014,179894,Webster University,16769,0,0,0
2014,193900,New York University,49274,0,0,0
2014,196413,Syracuse University,21492,0,0,0
2014,230038,Brigham Young University-Provo,30484,0,0,0
2014,243744,Stanford University,16963,0,0,0
