Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,130943,University of Delaware,20949,0,0,9,0,0,2,0,0,2,5,72,11,14
2002,130943,University of Delaware,21289,0,0,2,0,0,0,0,0,8,3,75,18,9
2003,130943,University of Delaware,21121,0,0,9,0,0,0,0,0,8,5,35,10,3
2004,130943,University of Delaware,21238,0,0,8,0,0,0,0,0,4,3,52,6,3
2005,130943,University of Delaware,20982,0,0,3,0,0,0,0,0,10,3,26,7,6
2006,130943,University of Delaware,20380,0,0,7,0,0,0,0,0,3,2,58,1,6
2007,130943,University of Delaware,20342,0,0,5,0,0,0,0,0,5,3,37,0,0
2008,130943,University of Delaware,20500,0,0,4,0,0,0,0,0,8,4,32,2,1
2009,130943,University of Delaware,21138,0,0,2,0,0,0,0,0,3,2,25,5,2
2010,130943,University of Delaware,21177,0,0,2,0,0,0,0,0,4,3,15,1,2
2011,130943,University of Delaware,21489,0,0,3,0,0,1,0,0,4,3,26,1,1
2012,130943,University of Delaware,21856,0,0,3,0,0,0,0,0,2,1,11,1,0
2013,130943,University of Delaware,22166,0,0,3,0,0,0,0,0,0,3,22,0,0
2014,130943,University of Delaware,22680,0,0,0,10,2,0,0,0,3,3,27,0,0
2001,131113,Wilmington University,5829,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,131113,Wilmington University,6597,0,0,0,0,0,0,0,0,1,0,2,0,0
2003,131113,Wilmington University,6952,0,0,0,0,0,0,0,0,0,0,3,0,0
2004,131113,Wilmington University,7126,0,0,0,0,0,0,0,0,0,0,4,0,0
2005,131113,Wilmington University,7911,0,0,0,0,0,0,0,0,0,0,11,0,0
2006,131113,Wilmington University,8205,0,0,0,0,0,0,0,0,0,0,22,0,0
2007,131113,Wilmington University,8353,0,0,0,0,0,0,0,0,0,0,7,0,0
2008,131113,Wilmington University,9133,0,0,1,0,0,0,0,0,0,0,18,0,0
2009,131113,Wilmington University,9650,0,0,0,0,0,0,0,0,0,0,10,1,0
2010,131113,Wilmington University,10101,0,0,0,0,0,0,0,0,0,0,1,1,0
2011,131113,Wilmington University,10848,1,0,1,0,0,0,0,0,0,0,0,1,0
2012,131113,Wilmington University,12581,0,0,1,0,0,0,0,0,0,0,4,3,0
2013,131113,Wilmington University,13621,0,0,1,0,0,0,0,0,0,0,0,0,0
2014,131113,Wilmington University,14467,0,0,0,0,0,0,0,0,0,0,4,0,0
