Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,130943,University of Delaware,20949,3,102,954
2002,130943,University of Delaware,21289,0,131,767
2003,130943,University of Delaware,21121,3,86,917
2004,130943,University of Delaware,21238,0,109,939
2005,130943,University of Delaware,20982,1,86,1020
2006,130943,University of Delaware,20380,0,72,758
2007,130943,University of Delaware,20342,5,50,759
2008,130943,University of Delaware,20500,1,74,729
2009,130943,University of Delaware,21138,0,107,903
2010,130943,University of Delaware,21177,1,114,985
2011,130943,University of Delaware,21489,1,113,839
2012,130943,University of Delaware,21856,1,94,847
2013,130943,University of Delaware,22166,1,74,832
2014,130943,University of Delaware,22680,0,36,758
2001,131113,Wilmington University,5829,0,0,0
2002,131113,Wilmington University,6597,0,0,0
2003,131113,Wilmington University,6952,0,0,0
2004,131113,Wilmington University,7126,0,0,0
2005,131113,Wilmington University,7911,0,0,0
2006,131113,Wilmington University,8205,0,0,0
2007,131113,Wilmington University,8353,0,0,0
2008,131113,Wilmington University,9133,0,0,0
2009,131113,Wilmington University,9650,0,0,0
2010,131113,Wilmington University,10101,0,0,0
2011,131113,Wilmington University,10848,0,0,0
2012,131113,Wilmington University,12581,0,0,0
2013,131113,Wilmington University,13621,0,0,0
2014,131113,Wilmington University,14467,0,0,0
