Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,130943,University of Delaware,22680,1,5,3
2002,130943,University of Delaware,22680,1,5,3
2003,130943,University of Delaware,22680,1,5,3
2004,130943,University of Delaware,22680,1,5,3
2005,130943,University of Delaware,22680,1,5,3
2006,130943,University of Delaware,22680,1,5,3
2007,130943,University of Delaware,22680,1,5,3
2008,130943,University of Delaware,22680,1,5,3
2009,130943,University of Delaware,22680,1,5,3
2010,130943,University of Delaware,22680,1,5,3
2011,130943,University of Delaware,22680,1,5,3
2012,130943,University of Delaware,22680,1,5,3
2013,130943,University of Delaware,22680,1,5,3
2014,130943,University of Delaware,22680,1,5,3
2001,131113,Wilmington University,14467,0,0,0
2002,131113,Wilmington University,14467,0,0,0
2003,131113,Wilmington University,14467,0,0,0
2004,131113,Wilmington University,14467,0,0,0
2005,131113,Wilmington University,14467,0,0,0
2006,131113,Wilmington University,14467,0,0,0
2007,131113,Wilmington University,14467,0,0,0
2008,131113,Wilmington University,14467,0,0,0
2009,131113,Wilmington University,14467,0,0,0
2010,131113,Wilmington University,14467,0,0,0
2011,131113,Wilmington University,14467,0,0,0
2012,131113,Wilmington University,14467,0,0,0
2013,131113,Wilmington University,14467,0,0,0
2014,131113,Wilmington University,14467,0,0,0
