Survey year,Unitid,Institution name,Institution Size,CO,DA,HC,VW,total
2001,130943,University of Delaware,20949,115,1059,0,9,1183
2002,130943,University of Delaware,21289,115,898,0,9,1022
2003,130943,University of Delaware,21121,70,1006,1,9,1086
2004,130943,University of Delaware,21238,76,1048,0,9,1133
2005,130943,University of Delaware,20982,55,1107,0,9,1171
2006,130943,University of Delaware,20380,77,830,0,9,916
2007,130943,University of Delaware,20342,50,814,0,9,873
2008,130943,University of Delaware,20500,51,804,0,9,864
2009,130943,University of Delaware,21138,39,1010,0,9,1058
2010,130943,University of Delaware,21177,27,1100,0,9,1136
2011,130943,University of Delaware,21489,39,953,0,9,1001
2012,130943,University of Delaware,21856,18,942,0,9,969
2013,130943,University of Delaware,22166,28,907,0,9,944
2014,130943,University of Delaware,22680,45,794,0,9,848
2001,131113,Wilmington University,5829,0,0,0,0,0
2002,131113,Wilmington University,6597,3,0,0,0,3
2003,131113,Wilmington University,6952,3,0,0,0,3
2004,131113,Wilmington University,7126,4,0,0,0,4
2005,131113,Wilmington University,7911,11,0,0,0,11
2006,131113,Wilmington University,8205,22,0,0,0,22
2007,131113,Wilmington University,8353,7,0,0,0,7
2008,131113,Wilmington University,9133,19,0,0,0,19
2009,131113,Wilmington University,9650,11,0,0,0,11
2010,131113,Wilmington University,10101,2,0,0,0,2
2011,131113,Wilmington University,10848,3,0,0,0,3
2012,131113,Wilmington University,12581,8,0,0,0,8
2013,131113,Wilmington University,13621,1,0,0,0,1
2014,131113,Wilmington University,14467,4,0,0,0,4
