Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2004,102368,Troy University,20855,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,102368,Troy University,26880,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,102368,Troy University,27938,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,102368,Troy University,28955,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,102368,Troy University,28303,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,102368,Troy University,29328,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,102368,Troy University,28322,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,102368,Troy University,26172,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,102368,Troy University,22554,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,102368,Troy University,20573,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,102368,Troy University,19041,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,132693,Eastern Florida State College,13680,0,0,0,0,0,0,0,0,2,4,8,0,0
2002,132693,Eastern Florida State College,14297,0,0,0,0,0,1,0,0,2,8,6,4,0
2003,132693,Eastern Florida State College,14806,0,0,0,0,0,0,0,0,2,6,32,0,0
2004,132693,Eastern Florida State College,14616,0,0,0,0,0,0,0,0,2,1,9,0,0
2005,132693,Eastern Florida State College,14039,0,0,0,0,0,0,0,0,0,1,6,2,2
2006,132693,Eastern Florida State College,13670,0,0,0,0,0,0,0,0,7,0,1,0,1
2007,132693,Eastern Florida State College,14496,0,0,0,0,0,0,0,0,0,5,4,1,2
2008,132693,Eastern Florida State College,15607,0,0,0,0,0,0,0,0,1,0,18,1,1
2009,132693,Eastern Florida State College,17853,0,0,0,0,0,0,0,0,0,2,12,3,0
2010,132693,Eastern Florida State College,18096,0,0,0,0,0,0,0,0,3,1,11,2,0
2011,132693,Eastern Florida State College,17917,0,0,0,0,0,0,0,0,0,0,2,0,0
2012,132693,Eastern Florida State College,17202,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,132693,Eastern Florida State College,16711,0,0,0,0,0,0,0,0,1,2,0,0,0
2014,132693,Eastern Florida State College,15931,0,0,0,0,0,0,0,0,0,2,1,3,0
2001,132709,Broward College,29020,0,0,0,0,0,0,0,0,0,5,102,11,0
2002,132709,Broward College,30496,1,0,0,0,0,0,0,0,3,5,109,14,0
2003,132709,Broward College,32030,0,0,0,0,0,0,0,0,1,11,113,7,0
2004,132709,Broward College,32948,0,0,0,0,0,0,0,0,0,7,114,11,0
2005,132709,Broward College,31835,0,0,0,0,0,0,0,0,2,6,47,8,0
2006,132709,Broward College,30607,0,0,0,0,0,0,0,0,1,3,44,14,0
2007,132709,Broward College,31730,0,0,1,0,0,0,0,0,3,3,68,16,0
2008,132709,Broward College,33448,0,0,1,0,0,0,0,0,5,3,71,11,0
2009,132709,Broward College,37360,0,0,0,0,0,0,0,0,9,1,88,21,0
2010,132709,Broward College,40375,0,0,0,0,0,0,0,0,2,1,27,18,0
2011,132709,Broward College,42198,0,0,0,0,0,0,0,0,3,2,6,10,0
2012,132709,Broward College,42309,0,0,0,0,0,0,0,0,1,2,6,7,0
2013,132709,Broward College,43883,0,0,0,0,0,0,0,0,1,1,0,7,0
2014,132709,Broward College,44119,0,0,0,0,0,0,0,0,3,1,3,9,0
2001,132903,University of Central Florida,35850,0,0,0,0,0,0,0,0,0,1,46,6,1
2002,132903,University of Central Florida,38501,0,0,0,0,0,0,0,0,0,1,39,5,2
2003,132903,University of Central Florida,41535,0,0,1,0,0,0,0,0,1,4,34,16,0
2004,132903,University of Central Florida,42465,0,0,3,0,0,0,0,0,1,1,41,10,2
2005,132903,University of Central Florida,44856,0,0,3,0,0,0,0,0,0,6,35,15,0
2006,132903,University of Central Florida,46646,0,0,1,0,0,0,0,0,3,8,21,7,0
2007,132903,University of Central Florida,48398,0,0,3,0,0,0,0,0,1,4,43,19,0
2008,132903,University of Central Florida,50121,0,0,1,0,0,0,0,0,3,2,31,41,0
2009,132903,University of Central Florida,53401,0,0,3,0,0,0,0,0,4,7,48,7,0
2010,132903,University of Central Florida,56106,0,0,4,0,0,0,0,0,5,9,48,38,0
2011,132903,University of Central Florida,58465,0,0,6,0,0,0,0,0,10,12,32,35,0
2012,132903,University of Central Florida,59601,0,0,12,0,0,0,0,0,4,22,28,17,2
2013,132903,University of Central Florida,59589,0,0,15,0,0,0,0,0,6,14,37,19,0
2014,132903,University of Central Florida,60767,0,0,0,17,6,0,0,0,5,6,29,12,0
2001,133386,Daytona State College,11204,0,0,0,0,0,0,0,0,1,1,0,5,0
2002,133386,Daytona State College,11656,0,0,0,0,0,0,0,0,1,1,2,7,0
2003,133386,Daytona State College,12262,1,0,1,0,0,0,0,0,0,1,2,3,0
2004,133386,Daytona State College,12083,0,0,0,0,0,0,0,0,0,1,3,7,0
2005,133386,Daytona State College,11413,0,0,1,0,0,0,0,0,0,0,5,0,0
2006,133386,Daytona State College,12064,0,0,1,0,0,0,0,0,0,0,2,5,0
2007,133386,Daytona State College,13675,0,0,0,0,0,0,0,0,0,0,1,6,0
2008,133386,Daytona State College,15030,0,0,1,0,0,0,0,0,3,0,1,3,0
2009,133386,Daytona State College,17352,0,0,3,0,0,0,0,0,0,2,1,5,1
2010,133386,Daytona State College,18497,0,0,4,0,0,0,0,0,3,1,0,8,0
2011,133386,Daytona State College,16555,0,0,2,0,0,0,0,0,1,0,0,14,0
2012,133386,Daytona State College,15184,0,0,3,0,0,0,0,0,0,0,0,3,0
2013,133386,Daytona State College,14865,0,0,0,0,0,0,0,0,0,0,0,4,0
2014,133386,Daytona State College,13248,0,0,0,0,2,0,0,0,0,0,0,2,0
2001,133508,Florida SouthWestern State College,9057,0,0,0,0,0,0,0,0,0,0,1,0,0
2002,133508,Florida SouthWestern State College,9740,0,0,0,0,0,0,0,0,0,0,2,1,0
2003,133508,Florida SouthWestern State College,10341,0,0,0,0,0,0,0,0,0,0,1,0,0
2004,133508,Florida SouthWestern State College,10116,0,0,1,0,0,0,0,0,0,0,2,1,0
2005,133508,Florida SouthWestern State College,10653,0,0,0,0,0,0,0,0,0,0,5,2,0
2006,133508,Florida SouthWestern State College,10474,0,0,0,0,0,0,0,0,1,0,2,1,0
2007,133508,Florida SouthWestern State College,11369,0,0,0,0,0,0,0,0,0,0,2,5,0
2008,133508,Florida SouthWestern State College,13007,0,0,0,0,0,0,0,0,0,1,1,2,0
2009,133508,Florida SouthWestern State College,16034,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,133508,Florida SouthWestern State College,16951,0,0,0,0,0,0,0,0,0,0,0,1,0
2011,133508,Florida SouthWestern State College,17107,0,0,0,0,0,0,0,0,1,1,0,0,0
2012,133508,Florida SouthWestern State College,15731,0,0,2,0,0,0,0,0,0,3,0,0,0
2013,133508,Florida SouthWestern State College,15423,0,0,0,0,0,0,0,0,0,1,1,1,0
2014,133508,Florida SouthWestern State College,15389,0,0,0,0,0,0,0,0,0,2,3,0,0
2001,133650,Florida Agricultural and Mechanical University,12316,0,0,4,0,0,0,0,0,12,34,167,10,0
2002,133650,Florida Agricultural and Mechanical University,12464,0,0,3,0,0,0,0,0,11,9,184,13,6
2003,133650,Florida Agricultural and Mechanical University,13013,0,0,2,0,0,0,0,0,10,11,57,17,1
2004,133650,Florida Agricultural and Mechanical University,13067,0,0,2,0,0,0,0,0,4,9,41,12,2
2005,133650,Florida Agricultural and Mechanical University,12154,0,0,1,0,0,0,0,0,15,7,44,8,9
2006,133650,Florida Agricultural and Mechanical University,11907,0,0,0,0,0,0,0,0,6,2,29,7,0
2007,133650,Florida Agricultural and Mechanical University,11562,0,0,1,0,0,0,0,0,2,0,18,4,0
2008,133650,Florida Agricultural and Mechanical University,11857,0,0,3,0,0,0,0,0,15,6,28,7,0
2009,133650,Florida Agricultural and Mechanical University,12274,0,0,5,0,0,0,0,0,7,3,33,3,0
2010,133650,Florida Agricultural and Mechanical University,13284,0,0,0,0,0,0,0,0,2,5,27,2,0
2011,133650,Florida Agricultural and Mechanical University,13204,0,0,1,0,0,0,0,0,5,7,9,12,1
2012,133650,Florida Agricultural and Mechanical University,12057,0,0,3,0,0,0,0,0,3,8,20,5,1
2013,133650,Florida Agricultural and Mechanical University,10743,0,0,4,0,0,0,0,0,5,4,6,10,0
2014,133650,Florida Agricultural and Mechanical University,10241,0,0,0,3,0,0,0,0,1,2,17,2,0
2001,133669,Florida Atlantic University,23345,0,0,0,0,0,0,0,0,0,1,60,24,11
2002,133669,Florida Atlantic University,23705,0,0,2,0,0,0,0,0,0,4,110,33,4
2003,133669,Florida Atlantic University,24932,0,0,1,0,0,0,0,0,2,6,66,20,1
2004,133669,Florida Atlantic University,25319,0,0,4,0,0,0,0,0,1,4,57,15,5
2005,133669,Florida Atlantic University,25645,0,0,2,0,0,0,0,0,0,4,56,31,3
2006,133669,Florida Atlantic University,25325,0,0,6,0,0,0,0,0,1,8,54,18,2
2007,133669,Florida Atlantic University,26193,0,0,7,0,0,0,0,0,2,3,47,19,0
2008,133669,Florida Atlantic University,26839,0,0,3,0,0,0,0,0,0,3,39,13,0
2009,133669,Florida Atlantic University,27637,0,0,5,0,0,0,0,0,2,0,29,12,1
2010,133669,Florida Atlantic University,28270,0,0,4,0,0,0,0,0,1,0,39,17,2
2011,133669,Florida Atlantic University,29246,0,0,1,0,0,0,0,0,1,0,21,13,3
2012,133669,Florida Atlantic University,29994,0,0,3,0,0,0,0,0,1,3,32,8,0
2013,133669,Florida Atlantic University,30759,0,0,3,0,0,0,0,0,2,1,22,8,0
2014,133669,Florida Atlantic University,30297,0,0,0,6,0,0,0,0,0,2,20,14,0
2001,133702,Florida State College at Jacksonville,22121,0,0,1,0,0,0,0,0,2,10,34,9,1
2002,133702,Florida State College at Jacksonville,23611,0,0,0,0,0,0,0,0,1,2,21,5,0
2003,133702,Florida State College at Jacksonville,25692,0,0,0,0,0,0,0,0,0,0,22,6,0
2004,133702,Florida State College at Jacksonville,24769,0,0,0,0,0,0,0,0,1,3,21,7,1
2005,133702,Florida State College at Jacksonville,23627,0,0,0,0,0,0,0,0,4,1,3,15,1
2006,133702,Florida State College at Jacksonville,22732,0,0,0,0,0,0,0,0,1,1,2,3,0
2007,133702,Florida State College at Jacksonville,24939,1,0,1,0,0,0,0,0,2,5,6,3,0
2008,133702,Florida State College at Jacksonville,25903,0,0,0,0,0,0,0,0,1,1,4,4,2
2009,133702,Florida State College at Jacksonville,28877,0,0,0,0,0,0,0,0,2,0,2,4,3
2010,133702,Florida State College at Jacksonville,28642,0,0,0,0,0,0,0,0,2,2,0,1,0
2011,133702,Florida State College at Jacksonville,30863,0,0,0,0,0,0,0,0,1,2,1,1,0
2012,133702,Florida State College at Jacksonville,30053,0,0,0,0,0,0,0,0,0,0,1,0,0
2013,133702,Florida State College at Jacksonville,28134,0,0,0,0,0,0,0,0,0,2,0,2,0
2014,133702,Florida State College at Jacksonville,25514,0,0,0,0,1,0,0,0,2,0,0,3,1
2001,133951,Florida International University,31727,0,0,0,0,0,0,0,0,0,4,42,45,0
2002,133951,Florida International University,33349,0,0,0,0,0,0,0,0,1,5,57,57,0
2003,133951,Florida International University,33228,0,0,1,0,0,0,0,0,3,1,75,32,0
2004,133951,Florida International University,34865,0,0,1,0,0,0,0,0,3,14,86,14,3
2005,133951,Florida International University,36904,0,0,0,0,0,0,0,0,1,4,112,17,1
2006,133951,Florida International University,37997,0,0,3,0,0,0,0,0,0,6,92,63,1
2007,133951,Florida International University,38182,0,0,3,0,0,0,0,0,5,6,90,31,1
2008,133951,Florida International University,38759,0,0,2,0,0,0,0,0,4,8,81,37,3
2009,133951,Florida International University,39610,0,0,1,0,0,1,0,0,6,3,98,52,0
2010,133951,Florida International University,42197,1,0,3,0,0,0,0,0,8,6,84,38,1
2011,133951,Florida International University,44616,0,0,3,0,0,0,0,0,3,4,43,17,0
2012,133951,Florida International University,46171,0,0,4,0,0,0,0,0,3,4,36,23,1
2013,133951,Florida International University,47663,0,0,2,0,0,0,0,0,1,1,25,5,1
2014,133951,Florida International University,49610,0,0,0,2,10,0,0,0,2,10,35,9,0
2001,134097,Florida State University,34982,0,0,8,0,0,3,0,0,9,14,63,30,4
2002,134097,Florida State University,36210,0,0,13,0,0,0,0,0,8,3,68,20,4
2003,134097,Florida State University,36884,0,0,10,0,0,0,0,0,7,9,62,20,0
2004,134097,Florida State University,38431,0,0,11,0,0,0,0,0,5,6,40,27,3
2005,134097,Florida State University,39146,0,0,11,0,0,3,0,0,7,5,52,19,0
2006,134097,Florida State University,39973,0,0,7,0,0,0,0,0,11,12,78,10,5
2007,134097,Florida State University,40555,0,0,11,0,0,0,0,0,8,5,69,20,3
2008,134097,Florida State University,38682,0,0,6,0,0,0,0,0,8,20,61,18,8
2009,134097,Florida State University,39785,0,0,10,0,0,0,0,0,9,7,68,10,6
2010,134097,Florida State University,40416,0,0,4,0,0,0,0,0,11,10,90,10,9
2011,134097,Florida State University,41087,0,1,2,0,0,0,0,0,8,8,67,10,1
2012,134097,Florida State University,40695,0,0,4,0,0,0,0,0,12,3,64,19,3
2013,134097,Florida State University,40909,0,0,10,0,0,0,0,0,5,0,38,8,3
2014,134097,Florida State University,41226,0,0,0,17,0,0,0,0,2,9,45,19,0
2001,134130,University of Florida,46515,0,0,9,0,0,0,0,0,0,9,18,0,2
2002,134130,University of Florida,47373,0,0,6,0,0,0,0,0,0,3,28,0,1
2003,134130,University of Florida,47858,0,0,12,0,0,0,0,0,1,2,55,0,1
2004,134130,University of Florida,47993,1,0,11,0,0,0,0,0,0,2,33,0,1
2005,134130,University of Florida,49693,0,0,8,0,0,0,0,0,0,3,44,0,0
2006,134130,University of Florida,50912,0,0,5,0,0,0,0,0,1,8,35,1,0
2007,134130,University of Florida,51725,0,0,2,0,0,0,0,0,3,3,13,0,0
2008,134130,University of Florida,51474,0,0,1,0,0,0,0,0,2,4,49,0,1
2009,134130,University of Florida,50691,0,0,4,0,0,0,0,0,3,7,33,29,0
2010,134130,University of Florida,49827,0,0,3,0,0,0,0,0,6,7,37,11,0
2011,134130,University of Florida,49589,0,0,10,0,0,0,0,0,1,6,27,14,0
2012,134130,University of Florida,49913,0,0,13,0,0,0,0,0,1,5,37,12,1
2013,134130,University of Florida,49878,0,0,14,0,0,0,0,0,0,5,23,19,0
2014,134130,University of Florida,49459,0,0,0,6,0,0,0,0,3,9,27,18,0
2001,134237,Full Sail University,2788,0,0,0,0,0,0,0,0,0,0,0,5,0
2002,134237,Full Sail University,3676,0,0,0,0,0,0,0,0,0,0,1,2,0
2003,134237,Full Sail University,4332,0,0,0,0,0,0,0,0,0,0,0,2,0
2004,134237,Full Sail University,5034,0,0,0,0,0,0,0,0,1,0,7,2,0
2005,134237,Full Sail University,4511,0,0,0,0,0,0,0,0,2,0,12,2,0
2006,134237,Full Sail University,5295,0,0,0,0,0,0,0,0,3,0,7,0,1
2007,134237,Full Sail University,6150,0,0,0,0,0,0,0,0,0,0,7,3,0
2008,134237,Full Sail University,6979,0,0,0,0,0,0,0,0,2,0,2,4,0
2009,134237,Full Sail University,7516,0,0,0,0,0,0,0,0,2,0,1,0,0
2010,134237,Full Sail University,15695,0,0,0,0,0,0,0,0,0,0,0,4,0
2011,134237,Full Sail University,20160,0,0,0,0,0,0,0,0,2,2,0,3,0
2012,134237,Full Sail University,23497,0,0,0,0,0,0,0,0,0,0,0,1,0
2013,134237,Full Sail University,20949,0,0,0,0,0,0,0,0,4,1,1,4,0
2014,134237,Full Sail University,19285,0,0,0,0,0,0,0,0,1,1,1,2,0
2001,134608,Indian River State College,14092,0,0,0,0,0,0,0,0,0,0,23,1,0
2002,134608,Indian River State College,13044,0,0,0,0,0,0,0,0,0,0,12,1,0
2003,134608,Indian River State College,14112,0,0,0,0,0,0,0,0,0,1,2,0,0
2004,134608,Indian River State College,12912,0,0,1,0,0,0,0,0,0,0,2,0,0
2005,134608,Indian River State College,13404,0,0,0,0,0,0,0,0,0,1,1,0,0
2006,134608,Indian River State College,13270,0,0,0,0,0,0,0,0,0,0,8,3,0
2007,134608,Indian River State College,14932,0,0,0,0,0,0,0,0,0,0,2,0,0
2008,134608,Indian River State College,15366,0,0,0,0,0,0,0,0,0,0,2,0,0
2009,134608,Indian River State College,17110,0,0,0,0,0,0,0,0,0,0,5,0,0
2010,134608,Indian River State College,17511,0,0,1,0,0,0,0,0,0,0,6,0,0
2011,134608,Indian River State College,17528,0,0,0,0,0,0,0,0,0,0,5,0,0
2012,134608,Indian River State College,17816,0,0,1,0,0,0,0,0,0,0,5,0,0
2013,134608,Indian River State College,17248,0,0,1,0,0,0,0,0,0,1,3,0,0
2014,134608,Indian River State College,17665,0,0,0,0,0,0,0,0,0,1,2,0,1
2001,135081,Keiser University-Ft Lauderdale,3166,0,0,0,0,0,0,0,0,4,0,1,1,0
2002,135081,Keiser University-Ft Lauderdale,3603,0,0,0,0,0,0,0,0,1,0,13,5,1
2003,135081,Keiser University-Ft Lauderdale,4673,0,0,0,0,0,0,0,0,4,0,7,2,0
2004,135081,Keiser University-Ft Lauderdale,6121,0,0,0,0,0,0,0,0,2,0,8,3,0
2005,135081,Keiser University-Ft Lauderdale,7371,0,0,0,0,0,0,0,0,2,0,2,1,0
2006,135081,Keiser University-Ft Lauderdale,9639,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,135081,Keiser University-Ft Lauderdale,11548,0,0,0,0,0,0,0,0,0,0,1,0,0
2008,135081,Keiser University-Ft Lauderdale,13392,0,0,0,0,0,0,0,0,0,0,0,2,0
2009,135081,Keiser University-Ft Lauderdale,16882,0,0,0,0,0,0,0,0,2,0,1,2,0
2010,135081,Keiser University-Ft Lauderdale,16968,0,0,2,0,0,0,0,0,7,1,5,2,0
2011,135081,Keiser University-Ft Lauderdale,17042,0,0,0,0,0,0,0,0,0,1,0,0,0
2012,135081,Keiser University-Ft Lauderdale,16713,0,0,0,0,0,0,0,0,1,3,1,0,0
2013,135081,Keiser University-Ft Lauderdale,17129,0,0,0,0,0,0,0,0,1,4,1,0,0
2014,135081,Keiser University-Ft Lauderdale,19110,0,0,0,0,1,0,0,0,0,0,0,0,0
2001,135391,State College of Florida-Manatee-Sarasota,8369,0,0,0,0,0,0,0,0,0,0,8,5,0
2002,135391,State College of Florida-Manatee-Sarasota,8325,0,0,0,0,0,0,0,0,0,0,0,3,0
2003,135391,State College of Florida-Manatee-Sarasota,9172,0,0,0,0,0,0,0,0,0,0,3,2,0
2004,135391,State College of Florida-Manatee-Sarasota,9582,0,0,0,0,0,0,0,0,0,0,6,2,0
2005,135391,State College of Florida-Manatee-Sarasota,9767,0,0,0,0,0,0,0,0,0,0,7,0,0
2006,135391,State College of Florida-Manatee-Sarasota,9080,0,0,0,0,0,0,0,0,0,0,3,2,0
2007,135391,State College of Florida-Manatee-Sarasota,9869,0,0,0,0,0,0,0,0,0,1,8,1,0
2008,135391,State College of Florida-Manatee-Sarasota,10838,0,0,0,0,0,0,0,0,0,1,0,1,0
2009,135391,State College of Florida-Manatee-Sarasota,11746,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,135391,State College of Florida-Manatee-Sarasota,11431,0,0,0,0,0,0,0,0,0,1,13,0,0
2011,135391,State College of Florida-Manatee-Sarasota,11349,0,0,0,0,0,0,0,0,0,0,1,3,0
2012,135391,State College of Florida-Manatee-Sarasota,10765,0,0,0,0,0,0,0,0,0,0,2,2,0
2013,135391,State College of Florida-Manatee-Sarasota,10533,0,0,0,0,0,0,0,0,0,0,5,2,0
2014,135391,State College of Florida-Manatee-Sarasota,10314,0,0,0,0,0,0,0,0,0,0,0,1,0
2001,135717,Miami Dade College,51717,0,0,1,0,0,2,0,0,7,17,71,35,2
2002,135717,Miami Dade College,54926,0,0,0,0,0,0,0,0,3,1,66,42,2
2003,135717,Miami Dade College,58490,0,0,0,0,0,0,0,0,4,3,122,30,0
2004,135717,Miami Dade College,57026,0,0,0,0,0,0,0,0,2,1,40,32,0
2005,135717,Miami Dade College,54169,1,0,0,0,0,0,0,0,3,2,19,19,0
2006,135717,Miami Dade College,51329,0,0,1,0,0,0,0,0,2,6,30,28,1
2007,135717,Miami Dade College,54094,0,0,0,0,0,0,0,0,1,1,17,19,0
2008,135717,Miami Dade College,57222,0,0,0,0,0,0,0,0,1,0,6,13,0
2009,135717,Miami Dade College,59120,0,0,0,0,0,0,0,0,2,2,5,16,0
2010,135717,Miami Dade College,61674,0,0,0,0,0,0,0,0,9,0,7,31,1
2011,135717,Miami Dade College,63736,0,0,0,0,0,0,0,0,5,2,0,36,0
2012,135717,Miami Dade College,66701,0,0,0,0,0,0,0,0,5,2,10,19,0
