Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2004,102368,Troy University,20855,0,0,0
2005,102368,Troy University,26880,0,0,0
2006,102368,Troy University,27938,0,0,0
2007,102368,Troy University,28955,0,0,0
2008,102368,Troy University,28303,0,0,0
2009,102368,Troy University,29328,0,0,0
2010,102368,Troy University,28322,0,0,0
2011,102368,Troy University,26172,0,0,0
2012,102368,Troy University,22554,0,0,0
2013,102368,Troy University,20573,0,0,0
2014,102368,Troy University,19041,0,0,0
2001,132693,Eastern Florida State College,13680,0,4,1
2002,132693,Eastern Florida State College,14297,0,0,0
2003,132693,Eastern Florida State College,14806,0,0,0
2004,132693,Eastern Florida State College,14616,0,0,0
2005,132693,Eastern Florida State College,14039,0,0,0
2006,132693,Eastern Florida State College,13670,0,0,0
2007,132693,Eastern Florida State College,14496,0,0,0
2008,132693,Eastern Florida State College,15607,0,0,0
2009,132693,Eastern Florida State College,17853,1,0,0
2010,132693,Eastern Florida State College,18096,0,0,0
2011,132693,Eastern Florida State College,17917,1,0,1
2012,132693,Eastern Florida State College,17202,1,0,0
2013,132693,Eastern Florida State College,16711,0,0,2
2014,132693,Eastern Florida State College,15931,0,0,0
2001,132709,Broward College,29020,0,0,0
2002,132709,Broward College,30496,0,0,0
2003,132709,Broward College,32030,0,0,0
2004,132709,Broward College,32948,0,0,0
2005,132709,Broward College,31835,0,0,0
2006,132709,Broward College,30607,0,0,0
2007,132709,Broward College,31730,1,0,1
2008,132709,Broward College,33448,0,0,0
2009,132709,Broward College,37360,0,0,0
2010,132709,Broward College,40375,0,0,0
2011,132709,Broward College,42198,0,0,0
2012,132709,Broward College,42309,0,0,0
2013,132709,Broward College,43883,0,0,0
2014,132709,Broward College,44119,0,0,0
2001,132903,University of Central Florida,35850,0,12,13
2002,132903,University of Central Florida,38501,0,23,64
2003,132903,University of Central Florida,41535,0,73,156
2004,132903,University of Central Florida,42465,0,39,105
2005,132903,University of Central Florida,44856,0,68,244
2006,132903,University of Central Florida,46646,0,40,108
2007,132903,University of Central Florida,48398,0,5,45
2008,132903,University of Central Florida,50121,1,42,57
2009,132903,University of Central Florida,53401,3,70,239
2010,132903,University of Central Florida,56106,6,89,294
2011,132903,University of Central Florida,58465,1,73,138
2012,132903,University of Central Florida,59601,0,76,111
2013,132903,University of Central Florida,59589,0,102,102
2014,132903,University of Central Florida,60767,1,166,233
2001,133386,Daytona State College,11204,0,0,0
2002,133386,Daytona State College,11656,0,0,0
2003,133386,Daytona State College,12262,0,1,0
2004,133386,Daytona State College,12083,0,0,0
2005,133386,Daytona State College,11413,0,0,0
2006,133386,Daytona State College,12064,0,0,0
2007,133386,Daytona State College,13675,0,0,0
2008,133386,Daytona State College,15030,0,0,0
2009,133386,Daytona State College,17352,1,0,0
2010,133386,Daytona State College,18497,0,1,0
2011,133386,Daytona State College,16555,0,0,0
2012,133386,Daytona State College,15184,1,0,0
2013,133386,Daytona State College,14865,0,2,0
2014,133386,Daytona State College,13248,1,0,0
2001,133508,Florida SouthWestern State College,9057,0,0,0
2002,133508,Florida SouthWestern State College,9740,0,0,0
2003,133508,Florida SouthWestern State College,10341,0,0,0
2004,133508,Florida SouthWestern State College,10116,0,0,0
2005,133508,Florida SouthWestern State College,10653,0,0,0
2006,133508,Florida SouthWestern State College,10474,0,0,0
2007,133508,Florida SouthWestern State College,11369,0,0,0
2008,133508,Florida SouthWestern State College,13007,0,0,0
2009,133508,Florida SouthWestern State College,16034,0,1,1
2010,133508,Florida SouthWestern State College,16951,0,0,0
2011,133508,Florida SouthWestern State College,17107,0,1,0
2012,133508,Florida SouthWestern State College,15731,0,10,8
2013,133508,Florida SouthWestern State College,15423,0,18,7
2014,133508,Florida SouthWestern State College,15389,0,24,17
2001,133650,Florida Agricultural and Mechanical University,12316,0,6,0
2002,133650,Florida Agricultural and Mechanical University,12464,1,12,1
2003,133650,Florida Agricultural and Mechanical University,13013,0,16,4
2004,133650,Florida Agricultural and Mechanical University,13067,1,19,1
2005,133650,Florida Agricultural and Mechanical University,12154,2,16,0
2006,133650,Florida Agricultural and Mechanical University,11907,1,18,3
2007,133650,Florida Agricultural and Mechanical University,11562,3,17,1
2008,133650,Florida Agricultural and Mechanical University,11857,7,19,0
2009,133650,Florida Agricultural and Mechanical University,12274,0,24,0
2010,133650,Florida Agricultural and Mechanical University,13284,0,21,0
2011,133650,Florida Agricultural and Mechanical University,13204,0,34,0
2012,133650,Florida Agricultural and Mechanical University,12057,1,58,5
2013,133650,Florida Agricultural and Mechanical University,10743,3,23,6
2014,133650,Florida Agricultural and Mechanical University,10241,3,43,2
2001,133669,Florida Atlantic University,23345,0,13,10
2002,133669,Florida Atlantic University,23705,0,23,8
2003,133669,Florida Atlantic University,24932,3,11,18
2004,133669,Florida Atlantic University,25319,1,33,71
2005,133669,Florida Atlantic University,25645,0,38,117
2006,133669,Florida Atlantic University,25325,4,38,205
2007,133669,Florida Atlantic University,26193,0,27,84
2008,133669,Florida Atlantic University,26839,4,36,75
2009,133669,Florida Atlantic University,27637,0,23,147
2010,133669,Florida Atlantic University,28270,1,22,148
2011,133669,Florida Atlantic University,29246,1,76,454
2012,133669,Florida Atlantic University,29994,1,64,203
2013,133669,Florida Atlantic University,30759,0,63,245
2014,133669,Florida Atlantic University,30297,0,81,392
2001,133702,Florida State College at Jacksonville,22121,0,0,0
2002,133702,Florida State College at Jacksonville,23611,0,0,0
2003,133702,Florida State College at Jacksonville,25692,0,0,0
2004,133702,Florida State College at Jacksonville,24769,0,0,0
2005,133702,Florida State College at Jacksonville,23627,0,0,0
2006,133702,Florida State College at Jacksonville,22732,2,7,0
2007,133702,Florida State College at Jacksonville,24939,4,7,2
2008,133702,Florida State College at Jacksonville,25903,1,7,0
2009,133702,Florida State College at Jacksonville,28877,0,2,0
2010,133702,Florida State College at Jacksonville,28642,0,1,0
2011,133702,Florida State College at Jacksonville,30863,1,2,2
2012,133702,Florida State College at Jacksonville,30053,0,0,0
2013,133702,Florida State College at Jacksonville,28134,0,0,0
2014,133702,Florida State College at Jacksonville,25514,0,1,0
2001,133951,Florida International University,31727,1,8,5
2002,133951,Florida International University,33349,5,8,12
2003,133951,Florida International University,33228,1,18,1
2004,133951,Florida International University,34865,8,12,6
2005,133951,Florida International University,36904,0,2,0
2006,133951,Florida International University,37997,0,0,0
2007,133951,Florida International University,38182,1,2,4
2008,133951,Florida International University,38759,25,15,31
2009,133951,Florida International University,39610,5,14,28
2010,133951,Florida International University,42197,0,11,76
2011,133951,Florida International University,44616,1,24,126
2012,133951,Florida International University,46171,3,53,188
2013,133951,Florida International University,47663,3,13,75
2014,133951,Florida International University,49610,0,144,136
2001,134097,Florida State University,34982,0,12,151
2002,134097,Florida State University,36210,1,9,89
2003,134097,Florida State University,36884,5,5,183
2004,134097,Florida State University,38431,4,29,262
2005,134097,Florida State University,39146,7,20,260
2006,134097,Florida State University,39973,1,14,243
2007,134097,Florida State University,40555,2,12,126
2008,134097,Florida State University,38682,1,3,188
2009,134097,Florida State University,39785,0,0,204
2010,134097,Florida State University,40416,0,2,214
2011,134097,Florida State University,41087,0,5,214
2012,134097,Florida State University,40695,0,10,195
2013,134097,Florida State University,40909,1,17,142
2014,134097,Florida State University,41226,1,6,270
2001,134130,University of Florida,46515,0,4,115
2002,134130,University of Florida,47373,0,10,229
2003,134130,University of Florida,47858,0,72,188
2004,134130,University of Florida,47993,0,9,339
2005,134130,University of Florida,49693,0,7,272
2006,134130,University of Florida,50912,1,34,273
2007,134130,University of Florida,51725,1,45,245
2008,134130,University of Florida,51474,0,85,185
2009,134130,University of Florida,50691,0,25,119
2010,134130,University of Florida,49827,0,19,214
