Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2014,102368,Troy University,19041,0,0,0
2014,132693,Eastern Florida State College,15931,0,0,2
2014,132709,Broward College,44119,3,2,7
2014,132903,University of Central Florida,60767,4,30,19
2014,133386,Daytona State College,13248,0,2,5
2014,133508,Florida SouthWestern State College,15389,0,1,0
2014,133650,Florida Agricultural and Mechanical University,10241,0,0,0
2014,133669,Florida Atlantic University,30297,0,6,2
2014,133702,Florida State College at Jacksonville,25514,1,0,4
2014,133951,Florida International University,49610,0,11,9
2014,134097,Florida State University,41226,3,7,18
2014,134130,University of Florida,49459,12,11,8
2014,134237,Full Sail University,19285,0,0,8
2014,134608,Indian River State College,17665,1,0,0
2014,135081,Keiser University-Ft Lauderdale,19110,0,0,0
2014,135391,State College of Florida-Manatee-Sarasota,10314,0,0,0
2014,135717,Miami Dade College,66046,0,3,4
2014,135726,University of Miami,16674,4,2,11
2014,136172,University of North Florida,15984,0,4,3
2014,136215,Nova Southeastern University,24148,1,0,2
2014,136358,Palm Beach State College,28517,1,2,6
2014,136400,Pasco-Hernando State College,11263,0,0,0
2014,136473,Pensacola State College,10317,1,2,1
2014,136516,Polk State College,11060,2,0,1
2014,137032,Saint Leo University,16349,1,1,2
2014,137078,St Petersburg College,32681,1,2,0
2014,137096,Santa Fe College,15055,0,0,1
2014,137209,Seminole State College of Florida,18399,0,0,2
2014,137351,University of South Florida-Main Campus,41938,5,6,5
2014,138187,Valencia College,43217,0,1,3
2014,138354,The University of West Florida,12602,0,1,8
2014,147767,Northwestern University,21554,0,0,0
2014,177065,Columbia College,16567,0,0,0
2014,179894,Webster University,16769,0,0,0
2014,241739,Universidad Metropolitana,13773,0,0,0
2014,243346,Universidad Del Este,13331,0,0,0
2014,243601,Universidad Del Turabo,17325,0,0,0
2014,390701,Everest University-South Orlando,22535,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2014,433660,Florida Gulf Coast University,14473,1,2,0
