Survey year,Unitid,Institution name,Institution Size,CO,DA,HC,VW,total
2004,102368,Troy University,20855,0,0,0,0,0
2005,102368,Troy University,26880,0,0,0,0,0
2006,102368,Troy University,27938,0,0,0,0,0
2007,102368,Troy University,28955,0,0,0,0,0
2008,102368,Troy University,28303,0,0,0,0,0
2009,102368,Troy University,29328,0,0,0,0,0
2010,102368,Troy University,28322,0,0,0,0,0
2011,102368,Troy University,26172,0,0,0,0,0
2012,102368,Troy University,22554,0,0,0,0,0
2013,102368,Troy University,20573,0,0,0,0,0
2014,102368,Troy University,19041,0,0,0,0,0
2001,132693,Eastern Florida State College,13680,14,5,0,2,21
2002,132693,Eastern Florida State College,14297,21,0,0,2,23
2003,132693,Eastern Florida State College,14806,40,0,0,2,42
2004,132693,Eastern Florida State College,14616,12,0,0,2,14
2005,132693,Eastern Florida State College,14039,11,0,0,2,13
2006,132693,Eastern Florida State College,13670,9,0,0,2,11
2007,132693,Eastern Florida State College,14496,12,0,0,2,14
2008,132693,Eastern Florida State College,15607,21,0,0,2,23
2009,132693,Eastern Florida State College,17853,17,1,0,2,20
2010,132693,Eastern Florida State College,18096,17,0,0,2,19
2011,132693,Eastern Florida State College,17917,2,2,0,2,6
2012,132693,Eastern Florida State College,17202,1,1,0,2,4
2013,132693,Eastern Florida State College,16711,3,2,0,2,7
2014,132693,Eastern Florida State College,15931,6,0,0,2,8
2001,132709,Broward College,29020,118,0,0,12,130
2002,132709,Broward College,30496,132,0,0,12,144
2003,132709,Broward College,32030,132,0,0,12,144
2004,132709,Broward College,32948,132,0,0,12,144
2005,132709,Broward College,31835,63,0,0,12,75
2006,132709,Broward College,30607,62,0,0,12,74
2007,132709,Broward College,31730,91,2,0,12,105
2008,132709,Broward College,33448,91,0,0,12,103
2009,132709,Broward College,37360,119,0,0,12,131
2010,132709,Broward College,40375,48,0,0,12,60
2011,132709,Broward College,42198,21,0,0,12,33
2012,132709,Broward College,42309,16,0,0,12,28
2013,132709,Broward College,43883,9,0,0,12,21
2014,132709,Broward College,44119,16,0,0,12,28
2001,132903,University of Central Florida,35850,54,25,0,53,132
2002,132903,University of Central Florida,38501,47,87,0,53,187
2003,132903,University of Central Florida,41535,56,229,0,53,338
2004,132903,University of Central Florida,42465,58,144,0,53,255
2005,132903,University of Central Florida,44856,59,312,0,53,424
2006,132903,University of Central Florida,46646,40,148,0,53,241
2007,132903,University of Central Florida,48398,70,50,0,53,173
2008,132903,University of Central Florida,50121,78,100,0,53,231
2009,132903,University of Central Florida,53401,69,312,2,53,436
2010,132903,University of Central Florida,56106,104,389,2,53,548
2011,132903,University of Central Florida,58465,95,212,0,53,360
2012,132903,University of Central Florida,59601,85,187,2,53,327
2013,132903,University of Central Florida,59589,91,204,4,53,352
2014,132903,University of Central Florida,60767,75,400,4,53,532
2001,133386,Daytona State College,11204,7,0,0,7,14
2002,133386,Daytona State College,11656,11,0,0,7,18
2003,133386,Daytona State College,12262,8,1,0,7,16
2004,133386,Daytona State College,12083,11,0,0,7,18
2005,133386,Daytona State College,11413,6,0,0,7,13
2006,133386,Daytona State College,12064,8,0,0,7,15
2007,133386,Daytona State College,13675,7,0,1,7,15
2008,133386,Daytona State College,15030,8,0,0,7,15
2009,133386,Daytona State College,17352,12,1,0,7,20
2010,133386,Daytona State College,18497,16,1,0,7,24
2011,133386,Daytona State College,16555,17,0,0,7,24
2012,133386,Daytona State College,15184,6,1,0,7,14
2013,133386,Daytona State College,14865,4,2,0,7,13
2014,133386,Daytona State College,13248,4,1,0,7,12
2001,133508,Florida SouthWestern State College,9057,1,0,0,1,2
2002,133508,Florida SouthWestern State College,9740,3,0,0,1,4
2003,133508,Florida SouthWestern State College,10341,1,0,0,1,2
2004,133508,Florida SouthWestern State College,10116,4,0,0,1,5
2005,133508,Florida SouthWestern State College,10653,7,0,0,1,8
2006,133508,Florida SouthWestern State College,10474,4,0,0,1,5
2007,133508,Florida SouthWestern State College,11369,7,0,0,1,8
2008,133508,Florida SouthWestern State College,13007,4,0,0,1,5
2009,133508,Florida SouthWestern State College,16034,0,2,0,1,3
2010,133508,Florida SouthWestern State College,16951,1,0,0,1,2
2011,133508,Florida SouthWestern State College,17107,2,1,0,1,4
2012,133508,Florida SouthWestern State College,15731,5,18,0,1,24
2013,133508,Florida SouthWestern State College,15423,3,25,0,1,29
2014,133508,Florida SouthWestern State College,15389,5,41,0,1,47
2001,133650,Florida Agricultural and Mechanical University,12316,227,6,0,0,233
2002,133650,Florida Agricultural and Mechanical University,12464,226,14,0,0,240
2003,133650,Florida Agricultural and Mechanical University,13013,98,20,0,0,118
2004,133650,Florida Agricultural and Mechanical University,13067,70,21,0,0,91
2005,133650,Florida Agricultural and Mechanical University,12154,84,18,0,0,102
2006,133650,Florida Agricultural and Mechanical University,11907,44,22,0,0,66
2007,133650,Florida Agricultural and Mechanical University,11562,25,21,0,0,46
2008,133650,Florida Agricultural and Mechanical University,11857,59,26,0,0,85
2009,133650,Florida Agricultural and Mechanical University,12274,51,24,0,0,75
2010,133650,Florida Agricultural and Mechanical University,13284,36,21,0,0,57
2011,133650,Florida Agricultural and Mechanical University,13204,35,34,0,0,69
2012,133650,Florida Agricultural and Mechanical University,12057,40,64,0,0,104
2013,133650,Florida Agricultural and Mechanical University,10743,29,32,0,0,61
2014,133650,Florida Agricultural and Mechanical University,10241,25,48,0,0,73
2001,133669,Florida Atlantic University,23345,96,23,0,8,127
2002,133669,Florida Atlantic University,23705,153,31,0,8,192
2003,133669,Florida Atlantic University,24932,96,32,0,8,136
2004,133669,Florida Atlantic University,25319,86,105,0,8,199
2005,133669,Florida Atlantic University,25645,96,155,2,8,261
2006,133669,Florida Atlantic University,25325,89,247,0,8,344
2007,133669,Florida Atlantic University,26193,78,111,0,8,197
2008,133669,Florida Atlantic University,26839,58,115,0,8,181
2009,133669,Florida Atlantic University,27637,49,170,0,8,227
