Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2004,102368,Troy University,20855,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,102368,Troy University,26880,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,102368,Troy University,27938,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,102368,Troy University,28955,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,102368,Troy University,28303,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,102368,Troy University,29328,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,102368,Troy University,28322,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,102368,Troy University,26172,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,102368,Troy University,22554,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,102368,Troy University,20573,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,102368,Troy University,19041,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,137032,Saint Leo University,15564,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,137032,Saint Leo University,15986,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,137032,Saint Leo University,16275,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,137032,Saint Leo University,16349,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,139658,Emory University,11443,0,0,3,0,0,0,0,0,5,4,23,17,2
2002,139658,Emory University,11600,0,0,6,0,0,0,0,0,4,3,21,8,0
2003,139658,Emory University,11654,0,0,5,0,0,0,0,0,2,5,25,13,32
2004,139658,Emory University,11781,0,0,5,0,0,0,0,0,2,0,44,10,1
2005,139658,Emory University,12134,0,0,15,0,0,0,0,0,2,5,55,11,1
2006,139658,Emory University,12338,0,0,9,0,0,0,0,0,6,3,50,9,1
2007,139658,Emory University,12570,0,0,12,0,0,0,0,0,3,0,33,1,0
2008,139658,Emory University,12755,0,0,2,0,0,0,0,0,2,0,42,17,0
2009,139658,Emory University,12930,0,0,9,0,0,0,0,0,0,0,7,22,1
2010,139658,Emory University,13381,0,0,11,0,0,0,0,0,2,2,16,11,0
2011,139658,Emory University,13893,0,0,12,0,0,1,0,0,2,1,9,11,2
2012,139658,Emory University,14236,0,0,26,0,0,0,0,0,1,2,7,10,3
2013,139658,Emory University,14513,0,0,23,0,0,0,0,0,0,3,22,6,0
2014,139658,Emory University,14769,0,0,0,27,7,0,0,0,0,3,20,19,0
2001,139755,Georgia Institute of Technology-Main Campus,15575,0,0,3,0,0,0,0,0,5,0,87,42,0
2002,139755,Georgia Institute of Technology-Main Campus,16481,0,0,0,0,0,0,0,0,3,0,128,58,0
2003,139755,Georgia Institute of Technology-Main Campus,16643,0,0,2,0,0,0,0,0,2,1,40,70,0
2004,139755,Georgia Institute of Technology-Main Campus,16841,0,0,1,0,0,0,0,0,2,0,41,29,1
2005,139755,Georgia Institute of Technology-Main Campus,17135,0,0,0,0,0,0,0,0,3,2,81,18,0
2006,139755,Georgia Institute of Technology-Main Campus,17936,0,0,1,0,0,0,0,0,1,1,91,36,0
2007,139755,Georgia Institute of Technology-Main Campus,18742,0,0,2,0,0,0,0,0,1,2,46,44,0
2008,139755,Georgia Institute of Technology-Main Campus,19413,0,0,1,0,0,0,0,0,2,1,106,18,0
2009,139755,Georgia Institute of Technology-Main Campus,20291,0,0,2,0,0,0,0,0,0,2,60,29,0
2010,139755,Georgia Institute of Technology-Main Campus,20720,0,0,2,0,0,0,0,0,2,2,26,12,0
2011,139755,Georgia Institute of Technology-Main Campus,20941,0,0,5,0,0,0,0,0,5,3,18,15,0
2012,139755,Georgia Institute of Technology-Main Campus,21557,0,0,6,0,0,0,0,0,3,4,16,6,0
2013,139755,Georgia Institute of Technology-Main Campus,21471,0,0,11,0,0,0,0,0,3,1,33,16,0
2014,139755,Georgia Institute of Technology-Main Campus,23109,0,0,0,10,3,0,0,0,5,3,45,16,0
2001,139931,Georgia Southern University,14371,0,0,0,0,0,0,0,0,1,1,1,0,0
2002,139931,Georgia Southern University,15075,0,0,0,0,0,0,0,0,1,0,0,6,0
2003,139931,Georgia Southern University,15704,0,0,0,0,0,0,0,0,0,0,2,4,0
2004,139931,Georgia Southern University,16100,0,0,3,0,0,0,0,0,0,2,4,5,1
2005,139931,Georgia Southern University,16646,0,0,1,0,0,0,0,0,1,0,1,3,0
2006,139931,Georgia Southern University,16425,0,0,0,0,0,0,0,0,2,0,2,0,0
2007,139931,Georgia Southern University,16841,0,0,2,0,0,0,0,0,1,1,19,3,1
2008,139931,Georgia Southern University,17764,0,0,7,0,0,0,0,0,5,1,22,2,0
2009,139931,Georgia Southern University,19086,0,0,3,0,0,0,0,0,1,0,25,3,0
2010,139931,Georgia Southern University,19691,0,0,1,0,0,0,0,0,3,0,11,2,0
2011,139931,Georgia Southern University,20212,0,0,3,0,0,0,0,0,2,0,10,0,0
2012,139931,Georgia Southern University,20574,0,0,2,0,0,0,0,0,2,0,19,0,0
2013,139931,Georgia Southern University,20517,0,0,5,0,0,0,0,0,1,0,6,3,0
2014,139931,Georgia Southern University,20517,0,0,0,4,1,0,0,0,1,0,8,0,0
2001,139940,Georgia State University,25743,0,0,2,0,0,2,0,0,4,0,18,3,0
2002,139940,Georgia State University,27462,0,0,2,0,0,3,0,0,4,2,26,6,0
2003,139940,Georgia State University,28042,0,0,0,0,0,0,0,0,3,2,13,7,0
2004,139940,Georgia State University,27261,0,0,1,0,0,0,0,0,1,1,8,10,0
2005,139940,Georgia State University,25967,0,0,1,0,0,0,0,0,4,1,24,4,0
2006,139940,Georgia State University,26135,0,0,1,0,0,0,0,0,3,1,13,3,0
2007,139940,Georgia State University,27134,0,0,2,0,0,0,0,0,9,4,12,2,0
2008,139940,Georgia State University,28229,0,0,1,0,0,0,0,0,2,2,1,4,1
2009,139940,Georgia State University,30427,0,0,4,0,0,0,0,0,8,1,8,6,0
2010,139940,Georgia State University,31533,0,0,1,0,0,0,0,0,1,3,10,1,0
2011,139940,Georgia State University,32022,0,0,4,0,0,0,0,0,4,2,8,2,0
2012,139940,Georgia State University,32087,0,0,8,0,0,0,0,0,7,3,4,0,0
2013,139940,Georgia State University,32165,0,0,5,0,0,0,0,0,2,3,5,7,0
2014,139940,Georgia State University,32556,0,0,0,3,3,0,0,0,2,9,4,6,0
2001,139959,University of Georgia,32317,0,0,6,0,0,0,0,0,4,9,4,12,0
2002,139959,University of Georgia,32941,0,0,1,0,0,0,0,0,3,1,18,17,0
2003,139959,University of Georgia,33878,0,0,0,0,0,0,0,0,6,0,18,8,1
2004,139959,University of Georgia,33405,0,0,1,0,0,0,0,0,1,3,20,11,2
2005,139959,University of Georgia,33660,0,0,1,0,0,0,0,0,3,2,21,10,3
2006,139959,University of Georgia,33959,0,0,0,0,0,0,0,0,3,4,40,23,0
2007,139959,University of Georgia,33831,0,0,1,0,0,0,0,0,0,9,17,9,0
2008,139959,University of Georgia,34180,0,0,0,0,0,0,0,0,1,0,45,6,2
2009,139959,University of Georgia,34885,0,0,4,0,0,0,0,0,3,2,82,3,2
2010,139959,University of Georgia,34677,0,0,3,0,0,0,0,0,3,1,75,18,9
2011,139959,University of Georgia,34816,0,0,5,0,0,0,0,0,1,2,53,5,3
2012,139959,University of Georgia,34519,0,0,9,0,0,0,0,0,3,2,46,9,5
2013,139959,University of Georgia,34536,0,0,13,0,0,0,0,0,1,0,37,5,2
2014,139959,University of Georgia,35197,0,0,0,10,6,0,0,0,2,3,70,7,1
2001,140164,Kennesaw State University,13940,0,0,2,0,0,0,0,0,0,2,1,3,0
2002,140164,Kennesaw State University,15650,0,0,1,0,0,0,0,0,0,1,9,4,0
2003,140164,Kennesaw State University,17477,0,0,5,0,0,0,0,0,0,3,24,0,1
2004,140164,Kennesaw State University,17955,0,0,1,0,0,0,0,0,0,1,17,3,0
2005,140164,Kennesaw State University,18551,0,0,2,0,0,0,0,0,0,2,14,0,0
2006,140164,Kennesaw State University,19844,0,0,2,0,0,0,0,0,1,5,23,4,0
2007,140164,Kennesaw State University,20607,0,0,1,0,0,0,0,0,0,0,69,4,0
2008,140164,Kennesaw State University,21449,0,0,2,0,0,0,0,0,0,2,25,1,0
2009,140164,Kennesaw State University,22389,0,0,4,0,0,0,0,0,0,1,22,2,0
2010,140164,Kennesaw State University,23452,0,0,4,0,0,0,0,0,1,0,21,2,0
2011,140164,Kennesaw State University,24175,0,0,2,0,0,0,0,0,0,0,15,3,0
2012,140164,Kennesaw State University,24604,0,0,2,0,0,0,0,0,2,2,14,1,0
2013,140164,Kennesaw State University,24629,0,0,8,0,0,0,0,0,0,1,9,2,0
2014,140164,Kennesaw State University,25714,0,0,0,9,1,0,0,0,2,1,10,1,0
2001,140951,Savannah College of Art and Design,5338,0,0,0,0,0,0,0,0,0,0,5,1,0
2002,140951,Savannah College of Art and Design,5792,0,0,0,0,0,0,0,0,0,0,2,1,0
2003,140951,Savannah College of Art and Design,6200,0,0,0,0,0,0,0,0,1,0,5,0,0
2004,140951,Savannah College of Art and Design,6776,0,0,0,0,0,0,0,0,0,0,2,1,0
2005,140951,Savannah College of Art and Design,7356,0,0,0,0,0,0,0,0,3,1,20,4,0
2006,140951,Savannah College of Art and Design,8236,0,0,0,0,0,0,0,0,1,0,16,5,0
2007,140951,Savannah College of Art and Design,8966,0,0,1,0,0,0,0,0,3,0,14,2,0
2008,140951,Savannah College of Art and Design,9120,0,0,0,0,0,0,0,0,0,0,3,0,0
2009,140951,Savannah College of Art and Design,9906,0,0,0,0,0,0,0,0,0,1,1,3,0
2010,140951,Savannah College of Art and Design,10320,0,0,2,0,0,0,0,0,0,0,1,2,0
2011,140951,Savannah College of Art and Design,10826,0,0,0,0,0,0,0,0,0,0,5,1,0
2012,140951,Savannah College of Art and Design,11064,0,0,1,0,0,0,0,0,5,1,0,2,0
2013,140951,Savannah College of Art and Design,11093,0,0,0,0,0,0,0,0,1,1,0,1,0
2014,140951,Savannah College of Art and Design,11347,0,0,0,1,2,0,0,0,1,0,1,0,0
2001,141264,Valdosta State University,9230,0,0,0,0,0,4,0,0,0,0,11,0,1
2002,141264,Valdosta State University,9900,0,0,2,0,0,0,0,0,0,3,7,1,6
2003,141264,Valdosta State University,10547,0,0,1,0,0,0,0,0,0,0,6,0,0
2004,141264,Valdosta State University,10400,0,0,0,0,0,0,0,0,0,0,8,3,4
2005,141264,Valdosta State University,10503,0,0,1,0,0,0,0,0,0,1,2,2,0
2006,141264,Valdosta State University,10888,0,0,5,0,0,0,0,0,3,3,4,3,0
2007,141264,Valdosta State University,11280,0,0,3,0,0,0,0,0,0,1,1,1,0
2008,141264,Valdosta State University,11490,0,0,1,0,0,0,0,0,1,1,4,0,6
2009,141264,Valdosta State University,12391,0,0,2,0,0,0,0,0,1,0,14,2,4
2010,141264,Valdosta State University,12898,0,0,5,0,0,0,0,0,0,1,51,1,0
2011,141264,Valdosta State University,13089,0,0,2,0,0,0,0,0,1,1,65,3,0
2012,141264,Valdosta State University,12515,1,0,3,0,0,0,0,0,2,1,29,0,0
2013,141264,Valdosta State University,11885,0,0,3,0,0,0,0,0,5,2,17,0,0
2014,141264,Valdosta State University,11563,0,0,0,0,1,0,0,0,1,0,29,2,0
2001,141334,University of West Georgia,9026,0,0,4,0,0,0,0,0,3,1,17,0,3
2002,141334,University of West Georgia,9673,0,0,1,0,0,0,0,0,0,0,27,3,0
2003,141334,University of West Georgia,10251,0,0,1,0,0,0,0,0,2,0,35,0,0
2004,141334,University of West Georgia,10215,0,0,0,0,0,0,0,0,0,0,41,0,0
2005,141334,University of West Georgia,10153,0,0,1,0,0,0,0,0,3,4,35,3,2
2006,141334,University of West Georgia,10160,0,0,4,0,0,0,0,0,0,0,83,1,3
2007,141334,University of West Georgia,10677,0,0,3,0,0,0,0,0,0,1,34,2,4
2008,141334,University of West Georgia,11252,0,0,1,0,0,0,0,0,0,0,33,0,4
2009,141334,University of West Georgia,11500,0,0,1,0,0,0,0,0,2,0,24,2,3
2010,141334,University of West Georgia,11283,0,0,4,0,0,0,0,0,2,0,16,0,1
2011,141334,University of West Georgia,11646,0,0,5,0,0,0,0,0,1,1,40,0,0
2012,141334,University of West Georgia,11769,0,0,1,0,0,2,0,0,0,0,18,1,1
2013,141334,University of West Georgia,11929,0,0,7,0,0,0,0,0,3,0,16,2,1
2014,141334,University of West Georgia,12206,0,0,0,4,0,0,0,0,4,0,17,0,0
2014,163204,University of Maryland-University College,47906,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,169248,Central Michigan University,26879,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,177065,Columbia College,8958,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,177065,Columbia College,10146,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,177065,Columbia College,11017,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,177065,Columbia College,11792,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,177065,Columbia College,12280,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,177065,Columbia College,12954,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,177065,Columbia College,14081,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,177065,Columbia College,15556,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,177065,Columbia College,16962,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,177065,Columbia College,18091,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,177065,Columbia College,17830,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,177065,Columbia College,16946,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,177065,Columbia College,16567,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,178721,Park University,9482,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,178721,Park University,10123,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,178721,Park University,11868,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,178721,Park University,12548,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,178721,Park University,13253,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,178721,Park University,13182,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,178721,Park University,13259,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,178721,Park University,12457,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,178721,Park University,12775,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,178721,Park University,12022,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,178721,Park University,11759,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,178721,Park University,11765,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,178721,Park University,10978,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,178721,Park University,10792,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,179894,Webster University,18740,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,179894,Webster University,19038,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,179894,Webster University,18407,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,179894,Webster University,18963,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,179894,Webster University,19398,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,179894,Webster University,19154,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,179894,Webster University,19372,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,179894,Webster University,19342,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,179894,Webster University,19224,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,179894,Webster University,18456,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,179894,Webster University,17904,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,179894,Webster University,16769,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0,0,0,0,0,0,1,0,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,447689,Georgia Gwinnett College,2947,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,447689,Georgia Gwinnett College,5380,0,0,0,0,0,0,0,0,0,0,17,0,0
2011,447689,Georgia Gwinnett College,7742,0,0,0,0,0,0,0,0,0,1,2,0,1
2012,447689,Georgia Gwinnett College,9397,0,0,4,0,0,0,0,0,1,1,3,0,0
2013,447689,Georgia Gwinnett College,9719,0,0,0,0,0,0,0,0,1,0,3,0,0
2014,447689,Georgia Gwinnett College,10828,0,0,0,0,1,0,0,0,0,1,2,0,1
2012,482680,University of North Georgia,,0,0,2,0,0,0,0,0,0,1,4,1,1
2013,482680,University of North Georgia,15455,0,0,2,0,0,0,0,0,0,0,5,0,0
2014,482680,University of North Georgia,16064,0,0,0,0,2,0,0,0,0,0,2,0,0
