Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2004,102368,Troy University,20855,0,0,0
2005,102368,Troy University,26880,0,0,0
2006,102368,Troy University,27938,0,0,0
2007,102368,Troy University,28955,0,0,0
2008,102368,Troy University,28303,0,0,0
2009,102368,Troy University,29328,0,0,0
2010,102368,Troy University,28322,0,0,0
2011,102368,Troy University,26172,0,0,0
2012,102368,Troy University,22554,0,0,0
2013,102368,Troy University,20573,0,0,0
2014,102368,Troy University,19041,0,0,0
2011,137032,Saint Leo University,15564,0,0,0
2012,137032,Saint Leo University,15986,0,0,0
2013,137032,Saint Leo University,16275,0,0,0
2014,137032,Saint Leo University,16349,0,0,0
2001,139658,Emory University,11443,0,39,211
2002,139658,Emory University,11600,0,27,300
2003,139658,Emory University,11654,2,28,233
2004,139658,Emory University,11781,0,42,216
2005,139658,Emory University,12134,0,15,318
2006,139658,Emory University,12338,0,25,320
2007,139658,Emory University,12570,0,30,176
2008,139658,Emory University,12755,0,24,241
2009,139658,Emory University,12930,0,70,175
2010,139658,Emory University,13381,0,46,169
2011,139658,Emory University,13893,0,66,177
2012,139658,Emory University,14236,0,114,185
2013,139658,Emory University,14513,0,36,289
2014,139658,Emory University,14769,0,85,302
2001,139755,Georgia Institute of Technology-Main Campus,15575,0,4,14
2002,139755,Georgia Institute of Technology-Main Campus,16481,6,12,122
2003,139755,Georgia Institute of Technology-Main Campus,16643,1,21,9
2004,139755,Georgia Institute of Technology-Main Campus,16841,7,40,61
2005,139755,Georgia Institute of Technology-Main Campus,17135,0,0,3
2006,139755,Georgia Institute of Technology-Main Campus,17936,0,1,82
2007,139755,Georgia Institute of Technology-Main Campus,18742,0,0,1
2008,139755,Georgia Institute of Technology-Main Campus,19413,0,10,39
2009,139755,Georgia Institute of Technology-Main Campus,20291,1,41,235
2010,139755,Georgia Institute of Technology-Main Campus,20720,0,67,255
2011,139755,Georgia Institute of Technology-Main Campus,20941,3,104,178
2012,139755,Georgia Institute of Technology-Main Campus,21557,1,49,181
2013,139755,Georgia Institute of Technology-Main Campus,21471,0,38,148
2014,139755,Georgia Institute of Technology-Main Campus,23109,0,34,190
2001,139931,Georgia Southern University,14371,0,19,124
2002,139931,Georgia Southern University,15075,1,10,159
2003,139931,Georgia Southern University,15704,1,40,175
2004,139931,Georgia Southern University,16100,1,24,322
2005,139931,Georgia Southern University,16646,6,46,293
2006,139931,Georgia Southern University,16425,12,20,406
2007,139931,Georgia Southern University,16841,5,33,300
2008,139931,Georgia Southern University,17764,13,113,292
2009,139931,Georgia Southern University,19086,16,109,361
2010,139931,Georgia Southern University,19691,20,156,600
2011,139931,Georgia Southern University,20212,10,41,469
2012,139931,Georgia Southern University,20574,2,102,201
2013,139931,Georgia Southern University,20517,4,138,172
2014,139931,Georgia Southern University,20517,4,192,249
2001,139940,Georgia State University,25743,0,17,44
2002,139940,Georgia State University,27462,0,27,0
2003,139940,Georgia State University,28042,3,37,46
2004,139940,Georgia State University,27261,0,0,56
2005,139940,Georgia State University,25967,4,33,84
2006,139940,Georgia State University,26135,3,38,167
2007,139940,Georgia State University,27134,1,43,163
2008,139940,Georgia State University,28229,4,58,176
2009,139940,Georgia State University,30427,3,45,183
2010,139940,Georgia State University,31533,3,68,202
2011,139940,Georgia State University,32022,4,42,107
2012,139940,Georgia State University,32087,0,67,125
2013,139940,Georgia State University,32165,2,48,145
2014,139940,Georgia State University,32556,3,118,209
2001,139959,University of Georgia,32317,0,1,264
2002,139959,University of Georgia,32941,0,25,308
2003,139959,University of Georgia,33878,2,18,285
2004,139959,University of Georgia,33405,4,33,681
2005,139959,University of Georgia,33660,0,22,527
2006,139959,University of Georgia,33959,0,22,288
2007,139959,University of Georgia,33831,11,19,333
2008,139959,University of Georgia,34180,5,7,323
2009,139959,University of Georgia,34885,7,16,278
2010,139959,University of Georgia,34677,1,24,256
2011,139959,University of Georgia,34816,0,8,316
2012,139959,University of Georgia,34519,1,8,195
2013,139959,University of Georgia,34536,3,26,171
2014,139959,University of Georgia,35197,3,30,207
2001,140164,Kennesaw State University,13940,0,0,0
2002,140164,Kennesaw State University,15650,0,5,63
2003,140164,Kennesaw State University,17477,0,0,0
2004,140164,Kennesaw State University,17955,0,0,0
2005,140164,Kennesaw State University,18551,3,18,105
2006,140164,Kennesaw State University,19844,5,25,166
2007,140164,Kennesaw State University,20607,0,41,239
2008,140164,Kennesaw State University,21449,3,44,307
2009,140164,Kennesaw State University,22389,2,42,464
2010,140164,Kennesaw State University,23452,1,90,447
2011,140164,Kennesaw State University,24175,0,48,310
2012,140164,Kennesaw State University,24604,1,76,214
2013,140164,Kennesaw State University,24629,2,92,320
2014,140164,Kennesaw State University,25714,1,78,299
2001,140951,Savannah College of Art and Design,5338,0,24,139
2002,140951,Savannah College of Art and Design,5792,1,14,117
2003,140951,Savannah College of Art and Design,6200,3,42,94
2004,140951,Savannah College of Art and Design,6776,3,39,163
2005,140951,Savannah College of Art and Design,7356,3,27,156
2006,140951,Savannah College of Art and Design,8236,1,33,186
2007,140951,Savannah College of Art and Design,8966,3,38,109
2008,140951,Savannah College of Art and Design,9120,7,29,186
2009,140951,Savannah College of Art and Design,9906,4,51,261
2010,140951,Savannah College of Art and Design,10320,2,72,289
2011,140951,Savannah College of Art and Design,10826,9,47,210
2012,140951,Savannah College of Art and Design,11064,2,35,137
2013,140951,Savannah College of Art and Design,11093,3,70,117
2014,140951,Savannah College of Art and Design,11347,4,57,141
2001,141264,Valdosta State University,9230,0,0,0
2002,141264,Valdosta State University,9900,0,0,0
2003,141264,Valdosta State University,10547,0,0,0
2004,141264,Valdosta State University,10400,0,0,0
2005,141264,Valdosta State University,10503,0,0,0
2006,141264,Valdosta State University,10888,0,0,0
2007,141264,Valdosta State University,11280,0,0,0
2008,141264,Valdosta State University,11490,0,0,0
2009,141264,Valdosta State University,12391,1,0,0
2010,141264,Valdosta State University,12898,1,30,38
2011,141264,Valdosta State University,13089,1,59,56
2012,141264,Valdosta State University,12515,1,21,16
2013,141264,Valdosta State University,11885,0,22,8
2014,141264,Valdosta State University,11563,0,0,0
2001,141334,University of West Georgia,9026,7,15,117
2002,141334,University of West Georgia,9673,10,19,149
2003,141334,University of West Georgia,10251,5,33,102
2004,141334,University of West Georgia,10215,3,28,160
2005,141334,University of West Georgia,10153,0,0,0
2006,141334,University of West Georgia,10160,0,0,0
2007,141334,University of West Georgia,10677,0,9,0
2008,141334,University of West Georgia,11252,0,6,0
2009,141334,University of West Georgia,11500,0,5,0
2010,141334,University of West Georgia,11283,1,13,0
2011,141334,University of West Georgia,11646,0,14,0
2012,141334,University of West Georgia,11769,0,21,0
2013,141334,University of West Georgia,11929,0,43,0
2014,141334,University of West Georgia,12206,3,82,71
2014,163204,University of Maryland-University College,47906,0,0,0
2014,169248,Central Michigan University,26879,0,0,0
2002,177065,Columbia College,8958,0,0,0
2003,177065,Columbia College,10146,0,0,0
2004,177065,Columbia College,11017,0,0,0
2005,177065,Columbia College,11792,0,0,0
2006,177065,Columbia College,12280,0,0,0
2007,177065,Columbia College,12954,0,0,0
2008,177065,Columbia College,14081,0,0,0
2009,177065,Columbia College,15556,0,0,0
2010,177065,Columbia College,16962,0,0,0
2011,177065,Columbia College,18091,0,0,0
2012,177065,Columbia College,17830,0,0,0
2013,177065,Columbia College,16946,0,0,0
2014,177065,Columbia College,16567,0,0,0
2001,178721,Park University,9482,0,0,0
2002,178721,Park University,10123,0,0,0
2003,178721,Park University,11868,0,0,0
2004,178721,Park University,12548,0,0,0
2005,178721,Park University,13253,0,0,0
2006,178721,Park University,13182,0,0,0
2007,178721,Park University,13259,0,0,0
2008,178721,Park University,12457,0,0,0
