Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2014,102368,Troy University,19041,0,0,0
2014,137032,Saint Leo University,16349,0,0,0
2014,139658,Emory University,14769,9,9,15
2014,139755,Georgia Institute of Technology-Main Campus,23109,3,6,8
2014,139931,Georgia Southern University,20517,5,0,0
2014,139940,Georgia State University,32556,1,2,3
2014,139959,University of Georgia,35197,8,3,11
2014,140164,Kennesaw State University,25714,2,6,2
2014,140951,Savannah College of Art and Design,11347,0,1,0
2014,141264,Valdosta State University,11563,1,1,2
2014,141334,University of West Georgia,12206,1,14,5
2014,163204,University of Maryland-University College,47906,0,0,0
2014,169248,Central Michigan University,26879,0,0,0
2014,177065,Columbia College,16567,0,0,0
2014,178721,Park University,10792,0,0,0
2014,179894,Webster University,16769,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2014,447689,Georgia Gwinnett College,10828,2,0,7
2014,482680,University of North Georgia,16064,0,3,5
