Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,141574,University of Hawaii at Manoa,17532,0,0,5,0,0,0,0,0,0,10,58,6,9
2002,141574,University of Hawaii at Manoa,18696,0,0,7,0,0,0,0,0,5,15,98,19,3
2003,141574,University of Hawaii at Manoa,19862,0,0,7,0,0,0,0,0,0,8,128,8,2
2004,141574,University of Hawaii at Manoa,20549,0,0,3,0,0,0,0,0,0,4,77,3,10
2005,141574,University of Hawaii at Manoa,20644,0,0,2,0,0,0,0,0,2,15,49,5,13
2006,141574,University of Hawaii at Manoa,20357,0,0,2,0,0,0,0,0,3,4,29,4,4
2007,141574,University of Hawaii at Manoa,20051,0,0,8,0,0,0,0,0,1,7,43,3,0
2008,141574,University of Hawaii at Manoa,20169,0,0,5,0,0,0,0,0,3,4,47,4,0
2009,141574,University of Hawaii at Manoa,20435,0,0,1,0,0,0,0,0,0,7,56,18,0
2010,141574,University of Hawaii at Manoa,20337,0,0,12,0,0,0,0,0,2,11,48,39,1
2011,141574,University of Hawaii at Manoa,20429,0,0,12,0,0,0,0,0,2,16,64,16,0
2012,141574,University of Hawaii at Manoa,20426,0,0,11,0,0,0,0,0,0,11,72,19,0
2013,141574,University of Hawaii at Manoa,20006,0,0,8,0,0,0,0,0,2,5,52,49,3
2014,141574,University of Hawaii at Manoa,19507,0,0,0,2,6,0,0,0,2,1,9,41,1
2014,163204,University of Maryland-University College,47906,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,169248,Central Michigan University,26879,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0,0,0,0,0,0,0,0,0,0,0
