Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,141574,University of Hawaii at Manoa,17532,5,44,295
2002,141574,University of Hawaii at Manoa,18696,7,71,300
2003,141574,University of Hawaii at Manoa,19862,2,46,476
2004,141574,University of Hawaii at Manoa,20549,5,67,388
2005,141574,University of Hawaii at Manoa,20644,22,166,664
2006,141574,University of Hawaii at Manoa,20357,4,164,554
2007,141574,University of Hawaii at Manoa,20051,2,112,616
2008,141574,University of Hawaii at Manoa,20169,0,54,293
2009,141574,University of Hawaii at Manoa,20435,3,84,721
2010,141574,University of Hawaii at Manoa,20337,0,238,524
2011,141574,University of Hawaii at Manoa,20429,1,390,719
2012,141574,University of Hawaii at Manoa,20426,1,371,716
2013,141574,University of Hawaii at Manoa,20006,0,345,627
2014,141574,University of Hawaii at Manoa,19507,2,417,932
2014,163204,University of Maryland-University College,47906,0,0,0
2014,169248,Central Michigan University,26879,0,0,0
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
