Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,141574,University of Hawaii at Manoa,19507,4,6,8
2002,141574,University of Hawaii at Manoa,19507,4,6,8
2003,141574,University of Hawaii at Manoa,19507,4,6,8
2004,141574,University of Hawaii at Manoa,19507,4,6,8
2005,141574,University of Hawaii at Manoa,19507,4,6,8
2006,141574,University of Hawaii at Manoa,19507,4,6,8
2007,141574,University of Hawaii at Manoa,19507,4,6,8
2008,141574,University of Hawaii at Manoa,19507,4,6,8
2009,141574,University of Hawaii at Manoa,19507,4,6,8
2010,141574,University of Hawaii at Manoa,19507,4,6,8
2011,141574,University of Hawaii at Manoa,19507,4,6,8
2012,141574,University of Hawaii at Manoa,19507,4,6,8
2013,141574,University of Hawaii at Manoa,19507,4,6,8
2014,141574,University of Hawaii at Manoa,19507,4,6,8
2001,163204,University of Maryland-University College,47906,0,0,0
2002,163204,University of Maryland-University College,47906,0,0,0
2003,163204,University of Maryland-University College,47906,0,0,0
2004,163204,University of Maryland-University College,47906,0,0,0
2005,163204,University of Maryland-University College,47906,0,0,0
2006,163204,University of Maryland-University College,47906,0,0,0
2007,163204,University of Maryland-University College,47906,0,0,0
2008,163204,University of Maryland-University College,47906,0,0,0
2009,163204,University of Maryland-University College,47906,0,0,0
2010,163204,University of Maryland-University College,47906,0,0,0
2011,163204,University of Maryland-University College,47906,0,0,0
2012,163204,University of Maryland-University College,47906,0,0,0
2013,163204,University of Maryland-University College,47906,0,0,0
2014,163204,University of Maryland-University College,47906,0,0,0
2001,169248,Central Michigan University,26879,0,0,0
2002,169248,Central Michigan University,26879,0,0,0
2003,169248,Central Michigan University,26879,0,0,0
2004,169248,Central Michigan University,26879,0,0,0
2005,169248,Central Michigan University,26879,0,0,0
2006,169248,Central Michigan University,26879,0,0,0
2007,169248,Central Michigan University,26879,0,0,0
2008,169248,Central Michigan University,26879,0,0,0
2009,169248,Central Michigan University,26879,0,0,0
2010,169248,Central Michigan University,26879,0,0,0
2011,169248,Central Michigan University,26879,0,0,0
2012,169248,Central Michigan University,26879,0,0,0
2013,169248,Central Michigan University,26879,0,0,0
2014,169248,Central Michigan University,26879,0,0,0
2001,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2002,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2003,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2004,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2005,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2006,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2007,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2008,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
