Survey year,Unitid,Institution name,Institution Size,CO,DA,HC,VW,total
2001,141574,University of Hawaii at Manoa,17532,88,344,4,18,454
2002,141574,University of Hawaii at Manoa,18696,147,378,1,18,544
2003,141574,University of Hawaii at Manoa,19862,153,524,1,18,696
2004,141574,University of Hawaii at Manoa,20549,97,460,1,18,576
2005,141574,University of Hawaii at Manoa,20644,86,852,0,18,956
2006,141574,University of Hawaii at Manoa,20357,46,722,2,18,788
2007,141574,University of Hawaii at Manoa,20051,62,730,0,18,810
2008,141574,University of Hawaii at Manoa,20169,63,347,0,18,428
2009,141574,University of Hawaii at Manoa,20435,82,808,0,18,908
2010,141574,University of Hawaii at Manoa,20337,113,762,0,18,893
2011,141574,University of Hawaii at Manoa,20429,110,1110,0,18,1238
2012,141574,University of Hawaii at Manoa,20426,113,1088,0,18,1219
2013,141574,University of Hawaii at Manoa,20006,119,972,0,18,1109
2014,141574,University of Hawaii at Manoa,19507,62,1351,0,18,1431
2014,163204,University of Maryland-University College,47906,0,0,0,0,0
2014,169248,Central Michigan University,26879,0,0,0,0,0
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0,0,0
