Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,153603,Iowa State University,27823,0,0,6,0,0,0,0,0,1,1,39,6,7
2002,153603,Iowa State University,27898,0,0,5,0,0,0,0,0,0,3,26,5,8
2003,153603,Iowa State University,27380,0,0,5,0,0,0,0,0,0,5,40,2,2
2004,153603,Iowa State University,26380,0,0,4,0,0,0,0,0,1,3,31,7,9
2005,153603,Iowa State University,25741,0,0,5,0,0,0,0,0,2,7,34,2,7
2006,153603,Iowa State University,25462,0,0,8,0,0,0,0,0,0,4,37,8,11
2007,153603,Iowa State University,26160,0,0,4,0,0,0,0,0,2,7,43,6,3
2008,153603,Iowa State University,26856,0,0,10,0,0,0,0,0,0,8,36,2,3
2009,153603,Iowa State University,27945,0,0,20,0,0,0,0,0,1,3,36,4,3
2010,153603,Iowa State University,28682,0,0,7,0,0,0,0,0,1,14,24,2,1
2011,153603,Iowa State University,29611,0,0,6,0,0,0,0,0,1,8,47,2,2
2012,153603,Iowa State University,30748,0,0,10,0,0,0,0,0,0,1,35,1,3
2013,153603,Iowa State University,32955,0,0,14,0,0,0,0,0,0,2,16,5,2
2014,153603,Iowa State University,34435,0,0,0,12,2,0,0,0,1,3,17,0,1
2001,153658,University of Iowa,28768,0,0,6,0,0,0,0,0,4,10,51,2,0
2002,153658,University of Iowa,29697,0,0,4,0,0,0,0,0,0,6,26,7,0
2003,153658,University of Iowa,29745,0,0,8,0,0,0,0,0,2,3,53,4,0
2004,153658,University of Iowa,28442,0,0,8,0,0,0,0,0,1,5,41,1,4
2005,153658,University of Iowa,28426,0,0,3,0,0,0,0,0,0,10,33,4,4
2006,153658,University of Iowa,28816,0,0,6,0,0,0,0,0,1,4,36,4,5
2007,153658,University of Iowa,29117,0,0,6,0,0,0,0,0,1,6,38,3,1
2008,153658,University of Iowa,29152,0,0,4,0,0,0,0,0,1,7,31,2,1
2009,153658,University of Iowa,28987,0,0,9,0,0,1,0,0,0,1,23,0,0
2010,153658,University of Iowa,29518,0,0,6,0,0,0,0,0,1,5,29,0,4
2011,153658,University of Iowa,29810,0,0,10,0,0,0,0,0,0,6,20,2,0
2012,153658,University of Iowa,30129,0,0,15,0,0,0,0,0,3,3,26,2,1
2013,153658,University of Iowa,29748,0,0,9,0,0,0,0,0,0,7,9,4,1
2014,153658,University of Iowa,29970,0,0,0,13,58,0,0,0,3,2,14,1,0
2001,154022,Ashford University,479,0,0,0,0,0,0,0,0,0,0,11,0,0
2002,154022,Ashford University,492,0,0,0,0,0,0,0,0,0,0,5,0,0
2003,154022,Ashford University,518,0,0,0,0,0,0,0,0,0,0,2,0,1
2004,154022,Ashford University,459,0,0,0,0,0,0,0,0,0,2,4,0,0
2005,154022,Ashford University,814,0,0,0,0,0,0,0,0,0,2,4,0,0
2006,154022,Ashford University,3836,0,0,5,0,0,0,0,0,0,0,0,0,0
2007,154022,Ashford University,10568,0,0,2,0,0,0,0,0,0,0,1,0,0
2008,154022,Ashford University,25605,0,0,3,0,0,0,0,0,0,2,11,0,0
2009,154022,Ashford University,46835,0,0,0,0,0,0,0,0,0,0,2,0,0
2010,154022,Ashford University,63096,0,0,2,0,0,0,0,0,0,0,2,0,0
2011,154022,Ashford University,74596,0,0,2,0,0,0,0,0,0,0,1,0,0
2012,154022,Ashford University,77734,0,0,1,0,0,0,0,0,0,1,1,0,0
2013,154022,Ashford University,58104,0,0,0,0,0,0,0,0,0,2,2,0,0
2014,154022,Ashford University,51237,0,0,0,0,0,0,0,1,0,0,1,0,0
2001,154095,University of Northern Iowa,14410,0,0,3,0,0,0,0,0,0,2,18,0,1
2002,154095,University of Northern Iowa,14167,0,0,1,0,0,0,0,0,0,3,16,2,3
2003,154095,University of Northern Iowa,13666,0,0,5,0,0,0,0,0,0,2,21,0,1
2004,154095,University of Northern Iowa,12927,0,0,7,0,0,0,0,0,0,1,11,1,0
2005,154095,University of Northern Iowa,12622,0,0,5,0,0,0,0,0,0,0,5,0,6
2006,154095,University of Northern Iowa,12327,0,0,2,0,0,0,0,0,1,2,10,1,0
2007,154095,University of Northern Iowa,12692,0,0,8,0,0,0,0,0,0,2,8,0,0
2008,154095,University of Northern Iowa,12998,0,0,4,0,0,0,0,0,0,3,5,0,0
2009,154095,University of Northern Iowa,13303,0,0,5,0,0,0,0,0,0,0,5,2,0
2010,154095,University of Northern Iowa,13201,0,0,4,0,0,0,0,0,0,3,8,1,0
2011,154095,University of Northern Iowa,13168,0,0,9,0,0,1,0,0,0,0,8,1,2
