Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,153603,Iowa State University,27823,1,1,443
2002,153603,Iowa State University,27898,0,4,444
2003,153603,Iowa State University,27380,0,4,412
2004,153603,Iowa State University,26380,0,10,295
2005,153603,Iowa State University,25741,0,20,487
2006,153603,Iowa State University,25462,0,22,532
2007,153603,Iowa State University,26160,0,3,710
2008,153603,Iowa State University,26856,0,1,798
2009,153603,Iowa State University,27945,0,4,568
2010,153603,Iowa State University,28682,0,3,527
2011,153603,Iowa State University,29611,0,0,605
2012,153603,Iowa State University,30748,0,0,523
2013,153603,Iowa State University,32955,0,0,523
2014,153603,Iowa State University,34435,0,0,378
2001,153658,University of Iowa,28768,0,13,471
2002,153658,University of Iowa,29697,1,19,477
2003,153658,University of Iowa,29745,0,32,519
2004,153658,University of Iowa,28442,0,39,602
2005,153658,University of Iowa,28426,0,28,529
2006,153658,University of Iowa,28816,0,23,604
2007,153658,University of Iowa,29117,0,36,549
2008,153658,University of Iowa,29152,0,62,574
2009,153658,University of Iowa,28987,0,120,536
2010,153658,University of Iowa,29518,2,175,508
2011,153658,University of Iowa,29810,0,0,777
2012,153658,University of Iowa,30129,0,6,526
2013,153658,University of Iowa,29748,0,11,593
2014,153658,University of Iowa,29970,0,18,663
2001,154022,Ashford University,479,0,2,6
2002,154022,Ashford University,492,1,1,24
2003,154022,Ashford University,518,0,1,1
2004,154022,Ashford University,459,1,2,1
2005,154022,Ashford University,814,2,0,4
2006,154022,Ashford University,3836,0,1,12
2007,154022,Ashford University,10568,0,3,6
2008,154022,Ashford University,25605,0,2,47
2009,154022,Ashford University,46835,0,0,24
2010,154022,Ashford University,63096,0,4,14
2011,154022,Ashford University,74596,1,1,22
2012,154022,Ashford University,77734,0,2,7
2013,154022,Ashford University,58104,0,1,2
2014,154022,Ashford University,51237,0,0,0
2001,154095,University of Northern Iowa,14410,0,11,465
2002,154095,University of Northern Iowa,14167,0,14,547
2003,154095,University of Northern Iowa,13666,0,27,456
2004,154095,University of Northern Iowa,12927,0,12,383
2005,154095,University of Northern Iowa,12622,0,9,429
2006,154095,University of Northern Iowa,12327,2,2,457
2007,154095,University of Northern Iowa,12692,0,9,407
2008,154095,University of Northern Iowa,12998,0,13,336
2009,154095,University of Northern Iowa,13303,0,34,574
2010,154095,University of Northern Iowa,13201,0,27,398
2011,154095,University of Northern Iowa,13168,0,10,546
2012,154095,University of Northern Iowa,12273,0,9,358
2013,154095,University of Northern Iowa,12159,0,16,442
2014,154095,University of Northern Iowa,11928,0,2,395
2001,260901,Kaplan University-Davenport Campus,745,0,0,0
2002,260901,Kaplan University-Davenport Campus,3334,0,0,1
2003,260901,Kaplan University-Davenport Campus,9195,0,0,0
2004,260901,Kaplan University-Davenport Campus,10881,0,0,0
2005,260901,Kaplan University-Davenport Campus,20042,0,0,0
2006,260901,Kaplan University-Davenport Campus,25168,0,0,0
2007,260901,Kaplan University-Davenport Campus,32734,0,0,0
2008,260901,Kaplan University-Davenport Campus,45153,0,0,0
2009,260901,Kaplan University-Davenport Campus,71011,0,0,0
2010,260901,Kaplan University-Davenport Campus,77966,0,0,0
2011,260901,Kaplan University-Davenport Campus,56606,0,0,0
2012,260901,Kaplan University-Davenport Campus,48865,0,0,0
2013,260901,Kaplan University-Davenport Campus,52407,0,0,0
2014,260901,Kaplan University-Davenport Campus,52018,0,0,0
