Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,153603,Iowa State University,34435,10,7,29
2002,153603,Iowa State University,34435,10,7,29
2003,153603,Iowa State University,34435,10,7,29
2004,153603,Iowa State University,34435,10,7,29
2005,153603,Iowa State University,34435,10,7,29
2006,153603,Iowa State University,34435,10,7,29
2007,153603,Iowa State University,34435,10,7,29
2008,153603,Iowa State University,34435,10,7,29
2009,153603,Iowa State University,34435,10,7,29
2010,153603,Iowa State University,34435,10,7,29
2011,153603,Iowa State University,34435,10,7,29
2012,153603,Iowa State University,34435,10,7,29
2013,153603,Iowa State University,34435,10,7,29
2014,153603,Iowa State University,34435,10,7,29
2001,153658,University of Iowa,29970,3,9,27
2002,153658,University of Iowa,29970,3,9,27
2003,153658,University of Iowa,29970,3,9,27
2004,153658,University of Iowa,29970,3,9,27
2005,153658,University of Iowa,29970,3,9,27
2006,153658,University of Iowa,29970,3,9,27
2007,153658,University of Iowa,29970,3,9,27
2008,153658,University of Iowa,29970,3,9,27
2009,153658,University of Iowa,29970,3,9,27
2010,153658,University of Iowa,29970,3,9,27
2011,153658,University of Iowa,29970,3,9,27
2012,153658,University of Iowa,29970,3,9,27
2013,153658,University of Iowa,29970,3,9,27
2014,153658,University of Iowa,29970,3,9,27
2001,154022,Ashford University,51237,0,0,0
2002,154022,Ashford University,51237,0,0,0
2003,154022,Ashford University,51237,0,0,0
2004,154022,Ashford University,51237,0,0,0
2005,154022,Ashford University,51237,0,0,0
2006,154022,Ashford University,51237,0,0,0
2007,154022,Ashford University,51237,0,0,0
2008,154022,Ashford University,51237,0,0,0
2009,154022,Ashford University,51237,0,0,0
2010,154022,Ashford University,51237,0,0,0
2011,154022,Ashford University,51237,0,0,0
2012,154022,Ashford University,51237,0,0,0
2013,154022,Ashford University,51237,0,0,0
2014,154022,Ashford University,51237,0,0,0
2001,154095,University of Northern Iowa,11928,2,2,17
2002,154095,University of Northern Iowa,11928,2,2,17
2003,154095,University of Northern Iowa,11928,2,2,17
2004,154095,University of Northern Iowa,11928,2,2,17
2005,154095,University of Northern Iowa,11928,2,2,17
2006,154095,University of Northern Iowa,11928,2,2,17
2007,154095,University of Northern Iowa,11928,2,2,17
2008,154095,University of Northern Iowa,11928,2,2,17
2009,154095,University of Northern Iowa,11928,2,2,17
2010,154095,University of Northern Iowa,11928,2,2,17
2011,154095,University of Northern Iowa,11928,2,2,17
2012,154095,University of Northern Iowa,11928,2,2,17
2013,154095,University of Northern Iowa,11928,2,2,17
2014,154095,University of Northern Iowa,11928,2,2,17
2001,260901,Kaplan University-Davenport Campus,52018,1,0,0
2002,260901,Kaplan University-Davenport Campus,52018,1,0,0
2003,260901,Kaplan University-Davenport Campus,52018,1,0,0
2004,260901,Kaplan University-Davenport Campus,52018,1,0,0
2005,260901,Kaplan University-Davenport Campus,52018,1,0,0
2006,260901,Kaplan University-Davenport Campus,52018,1,0,0
2007,260901,Kaplan University-Davenport Campus,52018,1,0,0
2008,260901,Kaplan University-Davenport Campus,52018,1,0,0
2009,260901,Kaplan University-Davenport Campus,52018,1,0,0
2010,260901,Kaplan University-Davenport Campus,52018,1,0,0
2011,260901,Kaplan University-Davenport Campus,52018,1,0,0
2012,260901,Kaplan University-Davenport Campus,52018,1,0,0
2013,260901,Kaplan University-Davenport Campus,52018,1,0,0
2014,260901,Kaplan University-Davenport Campus,52018,1,0,0
