Survey year,Unitid,Institution name,Institution Size,CO,DA,HC,VW,total
2001,153603,Iowa State University,27823,60,445,0,46,551
2002,153603,Iowa State University,27898,47,448,0,46,541
2003,153603,Iowa State University,27380,54,416,0,46,516
2004,153603,Iowa State University,26380,55,305,0,46,406
2005,153603,Iowa State University,25741,57,507,0,46,610
2006,153603,Iowa State University,25462,68,554,0,46,668
2007,153603,Iowa State University,26160,65,713,0,46,824
2008,153603,Iowa State University,26856,59,799,0,46,904
2009,153603,Iowa State University,27945,67,572,0,46,685
2010,153603,Iowa State University,28682,49,530,2,46,627
2011,153603,Iowa State University,29611,66,605,2,46,719
2012,153603,Iowa State University,30748,50,523,0,46,619
2013,153603,Iowa State University,32955,39,523,4,46,612
2014,153603,Iowa State University,34435,36,378,2,46,462
2001,153658,University of Iowa,28768,73,484,0,39,596
2002,153658,University of Iowa,29697,43,497,0,39,579
2003,153658,University of Iowa,29745,70,551,0,39,660
2004,153658,University of Iowa,28442,60,641,0,39,740
2005,153658,University of Iowa,28426,54,557,0,39,650
2006,153658,University of Iowa,28816,56,627,0,39,722
2007,153658,University of Iowa,29117,55,585,0,39,679
2008,153658,University of Iowa,29152,46,636,0,39,721
2009,153658,University of Iowa,28987,34,656,2,39,731
2010,153658,University of Iowa,29518,45,685,0,39,769
2011,153658,University of Iowa,29810,38,777,0,39,854
2012,153658,University of Iowa,30129,50,532,2,39,623
2013,153658,University of Iowa,29748,30,604,4,39,677
2014,153658,University of Iowa,29970,91,681,4,39,815
2001,154022,Ashford University,479,11,8,0,0,19
2002,154022,Ashford University,492,5,26,0,0,31
2003,154022,Ashford University,518,3,2,0,0,5
2004,154022,Ashford University,459,6,4,0,0,10
2005,154022,Ashford University,814,6,6,0,0,12
2006,154022,Ashford University,3836,5,13,0,0,18
2007,154022,Ashford University,10568,3,9,0,0,12
2008,154022,Ashford University,25605,16,49,0,0,65
2009,154022,Ashford University,46835,2,24,0,0,26
2010,154022,Ashford University,63096,4,18,0,0,22
2011,154022,Ashford University,74596,3,24,2,0,29
2012,154022,Ashford University,77734,3,9,2,0,14
2013,154022,Ashford University,58104,4,3,6,0,13
2014,154022,Ashford University,51237,2,0,2,0,4
2001,154095,University of Northern Iowa,14410,24,476,0,21,521
2002,154095,University of Northern Iowa,14167,25,561,0,21,607
2003,154095,University of Northern Iowa,13666,29,483,1,21,534
2004,154095,University of Northern Iowa,12927,20,395,0,21,436
2005,154095,University of Northern Iowa,12622,16,438,0,21,475
2006,154095,University of Northern Iowa,12327,16,461,0,21,498
2007,154095,University of Northern Iowa,12692,18,416,0,21,455
2008,154095,University of Northern Iowa,12998,12,349,0,21,382
2009,154095,University of Northern Iowa,13303,12,608,4,21,645
2010,154095,University of Northern Iowa,13201,16,425,0,21,462
2011,154095,University of Northern Iowa,13168,21,556,0,21,598
2012,154095,University of Northern Iowa,12273,14,367,0,21,402
2013,154095,University of Northern Iowa,12159,17,458,0,21,496
2014,154095,University of Northern Iowa,11928,20,397,0,21,438
2001,260901,Kaplan University-Davenport Campus,745,5,0,0,1,6
2002,260901,Kaplan University-Davenport Campus,3334,4,1,0,1,6
2003,260901,Kaplan University-Davenport Campus,9195,6,0,0,1,7
2004,260901,Kaplan University-Davenport Campus,10881,5,0,0,1,6
2005,260901,Kaplan University-Davenport Campus,20042,3,0,0,1,4
2006,260901,Kaplan University-Davenport Campus,25168,1,0,0,1,2
2007,260901,Kaplan University-Davenport Campus,32734,2,0,0,1,3
2008,260901,Kaplan University-Davenport Campus,45153,0,0,0,1,1
2009,260901,Kaplan University-Davenport Campus,71011,2,0,0,1,3
2010,260901,Kaplan University-Davenport Campus,77966,0,0,0,1,1
2011,260901,Kaplan University-Davenport Campus,56606,0,0,0,1,1
2012,260901,Kaplan University-Davenport Campus,48865,0,0,0,1,1
2013,260901,Kaplan University-Davenport Campus,52407,0,0,0,1,1
2014,260901,Kaplan University-Davenport Campus,52018,0,0,0,1,1
