Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,142115,Boise State University,17100,0,0,4,0,0,0,0,0,0,1,21,3,1
2002,142115,Boise State University,17637,0,0,6,0,0,0,0,0,0,1,36,1,0
2003,142115,Boise State University,18332,1,0,1,0,0,0,0,0,0,0,46,1,1
2004,142115,Boise State University,18332,0,0,5,0,0,0,0,0,0,6,28,0,1
2005,142115,Boise State University,18385,0,0,3,0,0,0,0,0,0,0,24,4,0
2006,142115,Boise State University,18829,0,0,2,0,0,0,0,0,0,0,23,0,1
2007,142115,Boise State University,19540,0,0,7,0,0,0,0,0,0,0,17,3,1
2008,142115,Boise State University,19667,0,0,0,0,0,0,0,0,0,1,14,0,1
2009,142115,Boise State University,18933,0,0,3,0,0,0,0,0,0,0,10,2,1
2010,142115,Boise State University,19992,0,0,2,0,0,0,0,0,2,0,6,0,0
2011,142115,Boise State University,19664,0,0,4,0,0,0,0,0,1,2,6,0,2
2012,142115,Boise State University,22344,0,0,5,0,0,0,0,0,0,3,12,0,10
2013,142115,Boise State University,21981,0,0,8,0,0,0,0,0,0,3,14,1,3
2014,142115,Boise State University,22227,0,0,0,7,0,0,0,0,0,2,5,1,1
2001,142276,Idaho State University,13663,0,0,3,0,0,0,0,0,0,2,8,0,0
2002,142276,Idaho State University,13350,0,0,1,0,0,1,0,0,0,0,2,0,0
2003,142276,Idaho State University,13621,0,0,0,0,0,0,0,0,0,0,3,2,0
2004,142276,Idaho State University,13802,0,0,3,0,0,0,0,0,0,0,2,0,0
2005,142276,Idaho State University,13977,0,0,5,0,0,0,0,0,0,0,3,1,0
2006,142276,Idaho State University,12679,0,0,2,0,0,0,0,0,0,0,4,0,0
2007,142276,Idaho State University,13208,0,0,4,0,0,0,0,0,0,0,1,1,0
2008,142276,Idaho State University,12653,0,0,3,0,0,0,0,0,0,1,2,1,0
2009,142276,Idaho State University,13493,0,0,1,0,0,0,0,0,0,0,3,1,0
2010,142276,Idaho State University,12543,0,0,5,0,0,0,0,0,0,0,5,0,1
2011,142276,Idaho State University,12418,0,0,1,0,0,0,0,0,0,1,11,0,0
2012,142276,Idaho State University,13852,0,0,0,0,0,0,0,0,0,1,3,3,0
2013,142276,Idaho State University,13326,0,0,3,0,0,0,0,0,0,2,5,1,1
2014,142276,Idaho State University,13429,0,0,0,2,1,0,0,0,1,0,0,0,0
2001,142285,University of Idaho,12067,0,0,0,0,0,0,0,0,0,0,15,0,0
2002,142285,University of Idaho,12424,0,0,0,0,0,0,0,0,0,0,4,1,0
2003,142285,University of Idaho,12895,0,0,0,0,0,0,0,0,0,0,3,0,0
2004,142285,University of Idaho,12824,0,0,0,0,0,0,0,0,0,0,7,3,0
2005,142285,University of Idaho,12476,0,0,0,0,0,0,0,0,0,1,7,1,0
2006,142285,University of Idaho,11739,0,0,1,0,0,0,0,0,0,0,8,0,0
2007,142285,University of Idaho,11636,0,0,4,0,0,0,0,0,1,0,11,0,0
2008,142285,University of Idaho,11791,0,0,3,0,0,0,0,0,0,0,3,0,0
2009,142285,University of Idaho,11957,0,0,1,0,0,0,0,0,0,0,8,1,0
2010,142285,University of Idaho,12302,0,0,3,0,0,3,0,0,1,2,13,1,0
2011,142285,University of Idaho,12312,0,0,6,0,0,0,0,0,0,1,24,1,0
2012,142285,University of Idaho,12420,0,0,3,0,0,0,0,0,0,2,11,0,0
2013,142285,University of Idaho,12024,0,0,3,0,0,0,0,0,0,0,10,1,0
2014,142285,University of Idaho,11702,0,0,0,6,0,0,0,0,0,0,3,2,0
2001,142522,Brigham Young University-Idaho,9200,0,0,2,0,0,0,0,0,0,0,2,1,0
2002,142522,Brigham Young University-Idaho,10701,0,0,0,0,0,0,0,0,0,1,2,2,1
2003,142522,Brigham Young University-Idaho,11136,0,0,0,0,0,0,0,0,0,0,2,2,0
2004,142522,Brigham Young University-Idaho,11555,0,0,0,0,0,0,0,0,0,0,5,0,0
2005,142522,Brigham Young University-Idaho,13047,0,0,1,0,0,0,0,0,0,0,6,1,2
2006,142522,Brigham Young University-Idaho,14116,0,0,0,0,0,0,0,0,0,1,2,1,0
2007,142522,Brigham Young University-Idaho,13824,0,0,0,0,0,0,0,0,0,0,3,1,2
2008,142522,Brigham Young University-Idaho,14276,0,0,0,0,0,0,0,0,0,0,3,1,0
2009,142522,Brigham Young University-Idaho,14944,0,0,0,0,0,0,0,0,0,1,1,0,0
2010,142522,Brigham Young University-Idaho,14933,0,0,0,0,0,0,0,0,0,0,2,0,0
2011,142522,Brigham Young University-Idaho,18110,0,0,0,0,0,0,0,0,0,0,3,1,0
2012,142522,Brigham Young University-Idaho,23261,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,142522,Brigham Young University-Idaho,27692,0,0,0,0,0,0,0,0,0,0,13,0,0
2014,142522,Brigham Young University-Idaho,36624,0,0,0,0,2,0,0,0,0,0,0,0,0
2001,178721,Park University,9482,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,178721,Park University,10123,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,178721,Park University,11868,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,178721,Park University,12548,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,178721,Park University,13253,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,178721,Park University,13182,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,178721,Park University,13259,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,178721,Park University,12457,0,0,0,0,0,0,0,0,0,0,0,0,0
