Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,142115,Boise State University,17100,1,18,108
2002,142115,Boise State University,17637,1,20,137
2003,142115,Boise State University,18332,2,7,33
2004,142115,Boise State University,18332,0,2,52
2005,142115,Boise State University,18385,0,0,0
2006,142115,Boise State University,18829,2,20,39
2007,142115,Boise State University,19540,0,11,173
2008,142115,Boise State University,19667,2,4,167
2009,142115,Boise State University,18933,3,44,163
2010,142115,Boise State University,19992,3,31,199
2011,142115,Boise State University,19664,3,67,473
2012,142115,Boise State University,22344,0,82,388
2013,142115,Boise State University,21981,0,80,374
2014,142115,Boise State University,22227,2,114,408
2001,142276,Idaho State University,13663,1,8,22
2002,142276,Idaho State University,13350,0,3,68
2003,142276,Idaho State University,13621,1,2,34
2004,142276,Idaho State University,13802,3,3,30
2005,142276,Idaho State University,13977,1,0,17
2006,142276,Idaho State University,12679,0,0,24
2007,142276,Idaho State University,13208,0,1,41
2008,142276,Idaho State University,12653,0,2,36
2009,142276,Idaho State University,13493,0,2,46
2010,142276,Idaho State University,12543,0,9,56
2011,142276,Idaho State University,12418,0,16,60
2012,142276,Idaho State University,13852,0,14,30
2013,142276,Idaho State University,13326,1,11,33
2014,142276,Idaho State University,13429,1,21,45
2001,142285,University of Idaho,12067,0,0,37
2002,142285,University of Idaho,12424,0,0,26
2003,142285,University of Idaho,12895,0,2,91
2004,142285,University of Idaho,12824,0,14,117
2005,142285,University of Idaho,12476,1,8,69
2006,142285,University of Idaho,11739,5,1,86
2007,142285,University of Idaho,11636,0,4,96
2008,142285,University of Idaho,11791,0,4,56
2009,142285,University of Idaho,11957,1,1,88
2010,142285,University of Idaho,12302,0,1,79
2011,142285,University of Idaho,12312,0,2,164
2012,142285,University of Idaho,12420,1,28,228
2013,142285,University of Idaho,12024,0,2,146
2014,142285,University of Idaho,11702,0,23,148
2001,142522,Brigham Young University-Idaho,9200,2,15,8
2002,142522,Brigham Young University-Idaho,10701,1,9,9
2003,142522,Brigham Young University-Idaho,11136,0,9,4
2004,142522,Brigham Young University-Idaho,11555,0,9,13
2005,142522,Brigham Young University-Idaho,13047,0,0,0
2006,142522,Brigham Young University-Idaho,14116,0,3,0
2007,142522,Brigham Young University-Idaho,13824,0,0,0
2008,142522,Brigham Young University-Idaho,14276,0,0,0
2009,142522,Brigham Young University-Idaho,14944,0,0,0
2010,142522,Brigham Young University-Idaho,14933,0,2,0
2011,142522,Brigham Young University-Idaho,18110,0,0,0
2012,142522,Brigham Young University-Idaho,23261,0,5,2
2013,142522,Brigham Young University-Idaho,27692,0,5,0
2014,142522,Brigham Young University-Idaho,36624,0,20,20
2001,178721,Park University,9482,0,0,0
2002,178721,Park University,10123,0,0,0
2003,178721,Park University,11868,0,0,0
2004,178721,Park University,12548,0,0,0
2005,178721,Park University,13253,0,0,0
2006,178721,Park University,13182,0,0,0
2007,178721,Park University,13259,0,0,0
2008,178721,Park University,12457,0,0,0
2009,178721,Park University,12775,0,0,0
2010,178721,Park University,12022,0,0,0
2011,178721,Park University,11759,0,0,0
2012,178721,Park University,11765,0,0,0
2013,178721,Park University,10978,0,0,0
2014,178721,Park University,10792,0,0,0
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
