Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,142115,Boise State University,22227,7,4,8
2002,142115,Boise State University,22227,7,4,8
2003,142115,Boise State University,22227,7,4,8
2004,142115,Boise State University,22227,7,4,8
2005,142115,Boise State University,22227,7,4,8
2006,142115,Boise State University,22227,7,4,8
2007,142115,Boise State University,22227,7,4,8
2008,142115,Boise State University,22227,7,4,8
2009,142115,Boise State University,22227,7,4,8
2010,142115,Boise State University,22227,7,4,8
2011,142115,Boise State University,22227,7,4,8
2012,142115,Boise State University,22227,7,4,8
2013,142115,Boise State University,22227,7,4,8
2014,142115,Boise State University,22227,7,4,8
2001,142276,Idaho State University,13429,2,2,1
2002,142276,Idaho State University,13429,2,2,1
2003,142276,Idaho State University,13429,2,2,1
2004,142276,Idaho State University,13429,2,2,1
2005,142276,Idaho State University,13429,2,2,1
2006,142276,Idaho State University,13429,2,2,1
2007,142276,Idaho State University,13429,2,2,1
2008,142276,Idaho State University,13429,2,2,1
2009,142276,Idaho State University,13429,2,2,1
2010,142276,Idaho State University,13429,2,2,1
2011,142276,Idaho State University,13429,2,2,1
2012,142276,Idaho State University,13429,2,2,1
2013,142276,Idaho State University,13429,2,2,1
2014,142276,Idaho State University,13429,2,2,1
2001,142285,University of Idaho,11702,1,1,2
2002,142285,University of Idaho,11702,1,1,2
2003,142285,University of Idaho,11702,1,1,2
2004,142285,University of Idaho,11702,1,1,2
2005,142285,University of Idaho,11702,1,1,2
2006,142285,University of Idaho,11702,1,1,2
2007,142285,University of Idaho,11702,1,1,2
2008,142285,University of Idaho,11702,1,1,2
2009,142285,University of Idaho,11702,1,1,2
2010,142285,University of Idaho,11702,1,1,2
2011,142285,University of Idaho,11702,1,1,2
2012,142285,University of Idaho,11702,1,1,2
2013,142285,University of Idaho,11702,1,1,2
2014,142285,University of Idaho,11702,1,1,2
2001,142522,Brigham Young University-Idaho,36624,2,0,0
2002,142522,Brigham Young University-Idaho,36624,2,0,0
2003,142522,Brigham Young University-Idaho,36624,2,0,0
2004,142522,Brigham Young University-Idaho,36624,2,0,0
2005,142522,Brigham Young University-Idaho,36624,2,0,0
2006,142522,Brigham Young University-Idaho,36624,2,0,0
2007,142522,Brigham Young University-Idaho,36624,2,0,0
2008,142522,Brigham Young University-Idaho,36624,2,0,0
2009,142522,Brigham Young University-Idaho,36624,2,0,0
2010,142522,Brigham Young University-Idaho,36624,2,0,0
2011,142522,Brigham Young University-Idaho,36624,2,0,0
2012,142522,Brigham Young University-Idaho,36624,2,0,0
2013,142522,Brigham Young University-Idaho,36624,2,0,0
2014,142522,Brigham Young University-Idaho,36624,2,0,0
2001,178721,Park University,10792,0,0,0
2002,178721,Park University,10792,0,0,0
2003,178721,Park University,10792,0,0,0
2004,178721,Park University,10792,0,0,0
2005,178721,Park University,10792,0,0,0
2006,178721,Park University,10792,0,0,0
2007,178721,Park University,10792,0,0,0
2008,178721,Park University,10792,0,0,0
2009,178721,Park University,10792,0,0,0
2010,178721,Park University,10792,0,0,0
2011,178721,Park University,10792,0,0,0
2012,178721,Park University,10792,0,0,0
2013,178721,Park University,10792,0,0,0
2014,178721,Park University,10792,0,0,0
2001,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2002,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2003,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2004,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2005,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2006,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2007,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2008,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
