Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,144050,University of Chicago,12883,0,0,1,0,0,0,0,0,1,0,62,1,1
2002,144050,University of Chicago,13177,0,0,1,0,0,0,0,0,2,1,40,0,0
2003,144050,University of Chicago,13887,0,0,2,0,0,0,0,0,2,0,41,5,0
2004,144050,University of Chicago,13870,0,0,0,0,0,0,0,0,2,1,39,0,2
2005,144050,University of Chicago,14150,0,0,2,0,0,0,0,0,0,1,58,0,3
2006,144050,University of Chicago,14263,0,0,3,0,0,0,0,0,3,2,64,1,0
2007,144050,University of Chicago,14538,0,0,3,0,0,0,0,0,0,1,69,0,0
2008,144050,University of Chicago,14788,0,0,0,0,0,0,0,0,0,0,28,0,0
2009,144050,University of Chicago,15094,0,0,1,0,0,0,0,0,1,2,27,0,0
2010,144050,University of Chicago,15152,0,0,3,0,0,0,0,0,1,0,20,0,0
2011,144050,University of Chicago,14979,0,0,5,0,0,0,0,0,2,0,7,2,0
2012,144050,University of Chicago,15245,0,0,5,0,0,0,0,0,0,0,12,0,0
2013,144050,University of Chicago,15048,0,0,10,0,0,0,0,0,0,2,13,4,0
2014,144050,University of Chicago,15097,0,0,0,5,5,0,0,0,0,3,14,0,1
2001,144740,DePaul University,21363,0,0,2,0,0,0,0,0,1,0,28,1,0
2002,144740,DePaul University,23227,0,0,5,0,0,0,0,0,3,7,22,1,0
2003,144740,DePaul University,23610,0,0,5,0,0,0,0,0,0,1,38,1,1
2004,144740,DePaul University,23570,0,0,0,0,0,0,0,0,1,1,39,2,0
2005,144740,DePaul University,23145,0,0,5,0,0,0,0,0,1,5,56,3,0
2006,144740,DePaul University,23149,0,0,2,0,0,0,0,0,0,2,26,0,0
2007,144740,DePaul University,23401,0,0,2,0,0,0,0,0,5,0,17,0,0
2008,144740,DePaul University,24352,0,0,0,0,0,0,0,0,1,0,36,0,3
2009,144740,DePaul University,25072,0,0,0,0,0,0,0,0,0,0,41,3,0
2010,144740,DePaul University,25145,0,0,2,0,0,0,0,0,3,3,26,1,0
2011,144740,DePaul University,25398,0,0,1,0,0,0,0,0,0,0,15,0,0
2012,144740,DePaul University,24966,0,0,2,0,0,0,0,0,5,1,36,1,0
2013,144740,DePaul University,24414,0,0,4,0,0,0,0,0,2,2,24,0,0
2014,144740,DePaul University,23799,0,0,0,7,2,0,0,0,0,4,13,0,0
2001,145600,University of Illinois at Chicago,24955,0,0,3,0,0,0,0,0,1,3,38,8,0
2002,145600,University of Illinois at Chicago,26138,0,0,5,0,0,0,0,0,5,7,57,7,1
2003,145600,University of Illinois at Chicago,25764,0,0,2,0,0,0,0,0,2,4,50,7,0
2004,145600,University of Illinois at Chicago,24865,0,0,1,0,0,0,0,0,2,3,52,3,4
2005,145600,University of Illinois at Chicago,24812,0,0,2,0,0,0,0,0,3,1,20,1,1
2006,145600,University of Illinois at Chicago,24644,0,0,5,0,0,0,0,0,4,6,12,3,0
2007,145600,University of Illinois at Chicago,25747,0,0,1,0,0,0,0,0,6,9,22,3,0
2008,145600,University of Illinois at Chicago,25835,0,0,9,0,0,0,0,0,5,35,15,6,0
2009,145600,University of Illinois at Chicago,26840,0,0,4,0,0,0,0,0,7,13,12,5,0
2010,145600,University of Illinois at Chicago,27850,0,0,5,0,0,0,0,0,4,19,9,4,1
2011,145600,University of Illinois at Chicago,28091,1,0,9,0,0,0,0,0,6,9,14,0,0
2012,145600,University of Illinois at Chicago,27875,0,0,7,0,0,0,0,0,3,49,11,1,0
2013,145600,University of Illinois at Chicago,28038,0,0,4,0,0,0,0,0,6,3,18,1,0
2014,145600,University of Illinois at Chicago,27969,0,0,0,5,1,0,0,0,2,9,34,2,0
2001,145637,University of Illinois at Urbana-Champaign,39291,0,0,14,0,0,0,0,0,5,30,54,6,1
2002,145637,University of Illinois at Urbana-Champaign,39999,0,0,9,0,0,0,0,0,9,37,83,3,2
2003,145637,University of Illinois at Urbana-Champaign,40458,0,0,12,0,0,0,0,0,5,19,67,2,1
2004,145637,University of Illinois at Urbana-Champaign,40687,0,0,10,0,0,0,0,0,8,29,69,4,2
2005,145637,University of Illinois at Urbana-Champaign,41938,0,0,8,0,0,0,0,0,7,6,118,7,3
2006,145637,University of Illinois at Urbana-Champaign,42738,0,0,6,0,0,0,0,0,4,8,103,10,0
2007,145637,University of Illinois at Urbana-Champaign,42326,0,0,9,0,0,0,0,0,9,11,83,6,0
2008,145637,University of Illinois at Urbana-Champaign,43246,0,0,7,0,0,0,0,0,7,2,70,11,0
2009,145637,University of Illinois at Urbana-Champaign,43881,0,0,5,0,0,0,0,0,8,5,81,5,0
2010,145637,University of Illinois at Urbana-Champaign,43862,0,0,7,0,0,0,0,0,9,4,63,4,0
2011,145637,University of Illinois at Urbana-Champaign,44407,0,0,5,0,0,0,0,0,4,4,30,5,4
2012,145637,University of Illinois at Urbana-Champaign,44520,0,0,10,0,0,0,0,0,4,6,15,2,1
