Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2014,144050,University of Chicago,15097,15,2,7
2014,144740,DePaul University,23799,8,6,4
2014,145600,University of Illinois at Chicago,27969,17,2,9
2014,145637,University of Illinois at Urbana-Champaign,45140,14,0,3
2014,145813,Illinois State University,20615,2,15,2
2014,146719,Loyola University Chicago,15902,0,1,9
2014,147703,Northern Illinois University,20611,13,4,5
2014,147767,Northwestern University,21554,2,6,20
2014,147776,Northeastern Illinois University,10275,0,8,0
2014,149222,Southern Illinois University-Carbondale,17989,7,15,33
2014,149231,Southern Illinois University-Edwardsville,13972,4,12,5
2014,149772,Western Illinois University,11458,11,21,4
2014,177065,Columbia College,16567,0,0,0
2014,177968,Lindenwood University,12151,0,0,0
2014,178721,Park University,10792,0,0,0
2014,179894,Webster University,16769,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2014,454227,Chamberlain College of Nursing-Illinois,18665,0,0,0
2014,482477,DeVry University-Illinois,24220,0,0,0
