Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,150136,Ball State University,18965,0,0,5,0,0,0,0,0,0,0,39,6,6
2002,150136,Ball State University,19411,0,0,0,0,0,0,0,0,3,0,37,4,2
2003,150136,Ball State University,20490,0,0,4,0,0,0,0,0,0,2,39,3,2
2004,150136,Ball State University,20507,0,0,5,0,0,0,0,0,3,2,31,2,0
2005,150136,Ball State University,20351,0,0,1,0,0,0,0,0,1,1,28,0,0
2006,150136,Ball State University,20030,0,0,11,0,0,0,0,0,1,2,58,1,0
2007,150136,Ball State University,19849,0,0,4,0,0,0,0,0,1,1,33,2,0
2008,150136,Ball State University,20243,0,0,1,0,0,0,0,0,1,0,17,3,0
2009,150136,Ball State University,21401,0,0,1,0,0,0,0,0,4,1,16,1,0
2010,150136,Ball State University,22083,0,0,3,0,0,0,0,0,4,0,18,6,1
2011,150136,Ball State University,22147,0,0,8,0,0,0,0,0,1,0,31,0,0
2012,150136,Ball State University,21053,0,0,8,0,0,0,0,0,0,4,9,0,4
2013,150136,Ball State University,20503,0,0,17,0,0,0,0,0,2,3,13,2,0
2014,150136,Ball State University,20655,0,0,0,14,5,0,0,0,0,3,10,0,0
2001,151102,Indiana University-Purdue University-Fort Wayne,11128,0,0,0,0,0,0,0,0,0,0,4,1,0
2002,151102,Indiana University-Purdue University-Fort Wayne,11755,0,0,0,0,0,0,0,0,0,0,1,1,0
2003,151102,Indiana University-Purdue University-Fort Wayne,11806,0,0,0,0,0,0,0,0,0,0,3,2,0
2004,151102,Indiana University-Purdue University-Fort Wayne,11810,0,0,0,0,0,0,0,0,0,0,5,2,0
2005,151102,Indiana University-Purdue University-Fort Wayne,11795,0,0,0,0,0,0,0,0,0,1,5,2,0
2006,151102,Indiana University-Purdue University-Fort Wayne,11672,0,0,0,0,0,0,0,0,0,0,19,0,0
2007,151102,Indiana University-Purdue University-Fort Wayne,11943,0,0,1,0,0,0,0,0,0,1,11,1,0
2008,151102,Indiana University-Purdue University-Fort Wayne,12338,1,0,1,0,0,0,0,0,0,0,15,1,0
2009,151102,Indiana University-Purdue University-Fort Wayne,13675,0,0,2,0,0,0,0,0,0,0,15,1,0
2010,151102,Indiana University-Purdue University-Fort Wayne,14192,0,0,7,0,0,0,0,0,0,2,4,1,0
2011,151102,Indiana University-Purdue University-Fort Wayne,14326,0,0,4,0,0,0,0,0,0,0,3,0,0
2012,151102,Indiana University-Purdue University-Fort Wayne,13771,0,0,0,0,0,1,0,0,0,0,4,0,0
2013,151102,Indiana University-Purdue University-Fort Wayne,13459,0,0,4,0,0,0,0,0,1,0,5,1,0
2014,151102,Indiana University-Purdue University-Fort Wayne,13214,0,0,0,0,1,0,0,0,0,0,3,0,0
2001,151111,Indiana University-Purdue University-Indianapolis,28339,0,0,1,0,0,0,0,0,4,1,10,5,0
2002,151111,Indiana University-Purdue University-Indianapolis,29025,0,0,1,0,0,0,0,0,4,0,10,9,0
2003,151111,Indiana University-Purdue University-Indianapolis,29860,0,0,0,0,0,0,0,0,0,2,6,19,0
2004,151111,Indiana University-Purdue University-Indianapolis,29953,0,0,0,0,0,0,0,0,1,0,173,10,1
2005,151111,Indiana University-Purdue University-Indianapolis,29933,0,0,4,0,0,0,0,0,5,0,99,6,0
2006,151111,Indiana University-Purdue University-Indianapolis,29764,0,0,1,0,0,0,0,0,1,2,73,24,0
2007,151111,Indiana University-Purdue University-Indianapolis,29854,0,0,1,0,0,0,0,0,0,6,93,11,0
2008,151111,Indiana University-Purdue University-Indianapolis,30300,0,0,1,0,0,0,0,0,3,2,67,17,1
2009,151111,Indiana University-Purdue University-Indianapolis,30383,0,0,1,0,0,0,0,0,3,4,60,13,1
2010,151111,Indiana University-Purdue University-Indianapolis,30566,0,0,2,0,0,0,0,0,2,1,40,9,0
2011,151111,Indiana University-Purdue University-Indianapolis,30530,0,0,2,0,0,0,0,0,3,7,51,10,1
2012,151111,Indiana University-Purdue University-Indianapolis,30451,1,0,62,0,0,1,0,0,10,29,213,32,11
2013,151111,Indiana University-Purdue University-Indianapolis,30488,0,0,68,0,0,1,0,0,10,20,169,32,7
2014,151111,Indiana University-Purdue University-Indianapolis,30690,1,0,0,53,29,0,0,0,12,23,137,35,3
2001,151324,Indiana State University,11321,0,0,5,0,0,0,0,0,0,2,55,5,1
2002,151324,Indiana State University,11714,0,0,6,0,0,0,0,0,0,2,47,4,1
2003,151324,Indiana State University,11360,0,0,7,0,0,0,0,0,2,1,65,7,0
2004,151324,Indiana State University,11200,0,0,3,0,0,0,0,0,0,1,57,6,1
2005,151324,Indiana State University,10679,0,0,1,0,0,0,0,0,0,1,62,4,1
2006,151324,Indiana State University,10568,0,0,3,0,0,0,0,0,1,0,50,4,0
2007,151324,Indiana State University,10543,0,0,3,0,0,0,0,0,0,1,44,1,0
2008,151324,Indiana State University,10457,0,0,7,0,0,0,0,0,2,1,49,0,1
2009,151324,Indiana State University,10534,0,0,1,0,0,0,0,0,1,6,22,0,0
2010,151324,Indiana State University,11494,0,0,2,0,0,0,0,0,0,3,16,2,0
2011,151324,Indiana State University,11528,0,0,0,0,0,0,0,0,1,1,28,1,0
2012,151324,Indiana State University,12114,1,0,10,0,0,0,0,0,0,5,17,1,1
2013,151324,Indiana State University,12448,0,0,6,0,0,0,0,0,3,4,23,3,0
2014,151324,Indiana State University,13183,0,0,0,3,3,0,0,0,2,9,17,0,0
2001,151351,Indiana University-Bloomington,37963,0,0,10,0,0,0,0,0,5,0,68,5,1
2002,151351,Indiana University-Bloomington,38903,0,0,17,0,0,0,0,0,3,3,53,5,1
2003,151351,Indiana University-Bloomington,38589,0,0,6,0,0,0,0,0,1,5,49,1,0
2004,151351,Indiana University-Bloomington,37821,0,0,3,0,0,0,0,0,4,0,56,0,1
2005,151351,Indiana University-Bloomington,37958,0,0,15,0,0,0,0,0,1,1,33,0,0
2006,151351,Indiana University-Bloomington,38247,0,0,9,0,0,0,0,0,1,6,52,6,0
