Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,150136,Ball State University,18965,15,36,370
2002,150136,Ball State University,19411,4,19,480
2003,150136,Ball State University,20490,1,6,545
2004,150136,Ball State University,20507,4,5,463
2005,150136,Ball State University,20351,9,13,500
2006,150136,Ball State University,20030,6,14,429
2007,150136,Ball State University,19849,6,9,728
2008,150136,Ball State University,20243,4,2,514
2009,150136,Ball State University,21401,3,1,450
2010,150136,Ball State University,22083,6,1,403
2011,150136,Ball State University,22147,2,0,587
2012,150136,Ball State University,21053,0,5,573
2013,150136,Ball State University,20503,5,8,485
2014,150136,Ball State University,20655,4,64,531
2001,151102,Indiana University-Purdue University-Fort Wayne,11128,0,0,0
2002,151102,Indiana University-Purdue University-Fort Wayne,11755,0,0,0
2003,151102,Indiana University-Purdue University-Fort Wayne,11806,0,0,0
2004,151102,Indiana University-Purdue University-Fort Wayne,11810,0,12,92
2005,151102,Indiana University-Purdue University-Fort Wayne,11795,0,17,54
2006,151102,Indiana University-Purdue University-Fort Wayne,11672,0,1,99
2007,151102,Indiana University-Purdue University-Fort Wayne,11943,2,8,163
2008,151102,Indiana University-Purdue University-Fort Wayne,12338,0,0,79
2009,151102,Indiana University-Purdue University-Fort Wayne,13675,0,0,54
2010,151102,Indiana University-Purdue University-Fort Wayne,14192,0,5,46
2011,151102,Indiana University-Purdue University-Fort Wayne,14326,0,10,46
2012,151102,Indiana University-Purdue University-Fort Wayne,13771,0,14,57
2013,151102,Indiana University-Purdue University-Fort Wayne,13459,0,2,24
2014,151102,Indiana University-Purdue University-Fort Wayne,13214,2,12,30
2001,151111,Indiana University-Purdue University-Indianapolis,28339,0,0,0
2002,151111,Indiana University-Purdue University-Indianapolis,29025,0,0,0
2003,151111,Indiana University-Purdue University-Indianapolis,29860,2,2,0
2004,151111,Indiana University-Purdue University-Indianapolis,29953,1,3,0
2005,151111,Indiana University-Purdue University-Indianapolis,29933,0,18,33
2006,151111,Indiana University-Purdue University-Indianapolis,29764,0,14,35
2007,151111,Indiana University-Purdue University-Indianapolis,29854,0,38,40
2008,151111,Indiana University-Purdue University-Indianapolis,30300,0,7,80
2009,151111,Indiana University-Purdue University-Indianapolis,30383,1,19,62
2010,151111,Indiana University-Purdue University-Indianapolis,30566,0,27,63
2011,151111,Indiana University-Purdue University-Indianapolis,30530,1,13,71
2012,151111,Indiana University-Purdue University-Indianapolis,30451,3,431,2696
2013,151111,Indiana University-Purdue University-Indianapolis,30488,6,360,2424
2014,151111,Indiana University-Purdue University-Indianapolis,30690,6,549,3635
2001,151324,Indiana State University,11321,12,43,20
2002,151324,Indiana State University,11714,7,39,46
2003,151324,Indiana State University,11360,4,26,17
2004,151324,Indiana State University,11200,7,72,74
2005,151324,Indiana State University,10679,2,56,90
2006,151324,Indiana State University,10568,2,61,167
2007,151324,Indiana State University,10543,0,51,100
2008,151324,Indiana State University,10457,2,72,54
2009,151324,Indiana State University,10534,1,16,19
2010,151324,Indiana State University,11494,0,60,34
2011,151324,Indiana State University,11528,0,60,25
2012,151324,Indiana State University,12114,3,91,193
2013,151324,Indiana State University,12448,1,126,100
2014,151324,Indiana State University,13183,0,55,111
2001,151351,Indiana University-Bloomington,37963,3,85,952
2002,151351,Indiana University-Bloomington,38903,1,94,739
2003,151351,Indiana University-Bloomington,38589,0,18,853
2004,151351,Indiana University-Bloomington,37821,0,95,1272
2005,151351,Indiana University-Bloomington,37958,0,88,828
2006,151351,Indiana University-Bloomington,38247,0,101,999
2007,151351,Indiana University-Bloomington,38990,0,129,1561
2008,151351,Indiana University-Bloomington,40354,0,112,1494
2009,151351,Indiana University-Bloomington,42347,0,153,1050
2010,151351,Indiana University-Bloomington,42464,0,176,1042
2011,151351,Indiana University-Bloomington,42731,1,366,1210
2012,151351,Indiana University-Bloomington,42133,0,202,873
2013,151351,Indiana University-Bloomington,46817,0,123,660
2014,151351,Indiana University-Bloomington,46416,0,239,1215
2001,151801,Indiana Wesleyan University,7929,0,0,0
2002,151801,Indiana Wesleyan University,8765,0,0,0
2003,151801,Indiana Wesleyan University,10149,0,0,9
2004,151801,Indiana Wesleyan University,11412,0,0,0
2005,151801,Indiana Wesleyan University,12632,0,0,0
2006,151801,Indiana Wesleyan University,13917,0,0,0
2007,151801,Indiana Wesleyan University,14756,0,0,0
2008,151801,Indiana Wesleyan University,15442,0,0,1
2009,151801,Indiana Wesleyan University,15345,0,0,1
2010,151801,Indiana Wesleyan University,15953,0,1,0
2011,151801,Indiana Wesleyan University,15872,0,9,1
2012,151801,Indiana Wesleyan University,15580,0,0,2
2013,151801,Indiana Wesleyan University,14959,0,0,0
2014,151801,Indiana Wesleyan University,14943,0,2,15
2001,152080,University of Notre Dame,11054,0,15,208
2002,152080,University of Notre Dame,11311,0,26,168
2003,152080,University of Notre Dame,11415,0,2,105
2004,152080,University of Notre Dame,11479,0,7,183
