Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2014,150136,Ball State University,20655,4,10,8
2014,151102,Indiana University-Purdue University-Fort Wayne,13214,0,2,2
2014,151111,Indiana University-Purdue University-Indianapolis,30690,35,44,79
2014,151324,Indiana State University,13183,1,6,3
2014,151351,Indiana University-Bloomington,46416,5,12,18
2014,151801,Indiana Wesleyan University,14943,2,1,0
2014,152080,University of Notre Dame,12179,1,0,5
2014,152637,Vincennes University,19205,1,0,0
2014,243780,Purdue University-Main Campus,39752,7,15,9
2014,260901,Kaplan University-Davenport Campus,52018,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
