Survey year,Unitid,Institution name,Institution Size,CO,DA,HC,VW,total
2001,150136,Ball State University,18965,56,421,0,22,499
2002,150136,Ball State University,19411,46,503,0,22,571
2003,150136,Ball State University,20490,50,552,0,22,624
2004,150136,Ball State University,20507,43,472,0,22,537
2005,150136,Ball State University,20351,31,522,0,22,575
2006,150136,Ball State University,20030,73,449,0,22,544
2007,150136,Ball State University,19849,41,743,0,22,806
2008,150136,Ball State University,20243,22,520,0,22,564
2009,150136,Ball State University,21401,23,454,0,22,499
2010,150136,Ball State University,22083,32,410,0,22,464
2011,150136,Ball State University,22147,40,589,0,22,651
2012,150136,Ball State University,21053,25,578,0,22,625
2013,150136,Ball State University,20503,37,498,0,22,557
2014,150136,Ball State University,20655,32,599,0,22,653
2001,151102,Indiana University-Purdue University-Fort Wayne,11128,5,0,0,4,9
2002,151102,Indiana University-Purdue University-Fort Wayne,11755,2,0,0,4,6
2003,151102,Indiana University-Purdue University-Fort Wayne,11806,5,0,0,4,9
2004,151102,Indiana University-Purdue University-Fort Wayne,11810,7,104,0,4,115
2005,151102,Indiana University-Purdue University-Fort Wayne,11795,8,71,0,4,83
2006,151102,Indiana University-Purdue University-Fort Wayne,11672,19,100,0,4,123
2007,151102,Indiana University-Purdue University-Fort Wayne,11943,14,173,0,4,191
2008,151102,Indiana University-Purdue University-Fort Wayne,12338,18,79,0,4,101
2009,151102,Indiana University-Purdue University-Fort Wayne,13675,18,54,0,4,76
2010,151102,Indiana University-Purdue University-Fort Wayne,14192,14,51,0,4,69
2011,151102,Indiana University-Purdue University-Fort Wayne,14326,7,56,0,4,67
2012,151102,Indiana University-Purdue University-Fort Wayne,13771,5,71,0,4,80
2013,151102,Indiana University-Purdue University-Fort Wayne,13459,11,26,0,4,41
2014,151102,Indiana University-Purdue University-Fort Wayne,13214,4,44,0,4,52
2001,151111,Indiana University-Purdue University-Indianapolis,28339,21,0,0,158,179
2002,151111,Indiana University-Purdue University-Indianapolis,29025,24,0,0,158,182
2003,151111,Indiana University-Purdue University-Indianapolis,29860,27,4,0,158,189
