Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,155061,Fort Hays State University,5626,0,0,1,0,0,1,0,0,1,0,14,0,0
2002,155061,Fort Hays State University,6392,0,0,3,0,0,0,0,0,0,1,32,0,1
2003,155061,Fort Hays State University,7373,0,0,0,0,0,0,0,0,0,0,9,1,1
2004,155061,Fort Hays State University,8500,0,0,0,0,0,0,0,0,0,0,12,0,0
2005,155061,Fort Hays State University,9019,0,0,0,0,0,0,0,0,0,0,7,0,0
2006,155061,Fort Hays State University,9122,0,0,1,0,0,0,0,0,0,0,22,0,0
2007,155061,Fort Hays State University,9588,0,0,0,0,0,0,0,0,0,1,16,0,0
2008,155061,Fort Hays State University,10107,0,0,2,0,0,0,0,0,0,1,11,1,0
2009,155061,Fort Hays State University,11308,0,0,0,0,0,0,0,0,0,0,9,1,0
2010,155061,Fort Hays State University,11883,0,0,0,0,0,1,0,0,0,0,5,0,0
2011,155061,Fort Hays State University,12802,0,0,2,0,0,0,0,0,0,0,19,0,0
2012,155061,Fort Hays State University,13310,0,0,1,0,0,0,0,0,0,0,7,0,1
2013,155061,Fort Hays State University,13441,0,0,4,0,0,0,0,0,0,2,13,0,0
2014,155061,Fort Hays State University,13825,0,0,0,2,0,0,0,0,0,1,9,0,0
2001,155317,University of Kansas,25782,0,0,4,0,0,0,0,0,0,2,81,6,1
2002,155317,University of Kansas,26458,0,0,6,0,0,0,0,0,0,1,85,3,0
2003,155317,University of Kansas,26814,0,0,6,0,0,0,0,0,0,4,86,5,0
2004,155317,University of Kansas,26980,0,0,6,0,0,0,0,0,1,5,84,7,3
2005,155317,University of Kansas,26934,0,0,4,0,0,0,0,0,0,4,74,8,0
2006,155317,University of Kansas,26773,0,0,6,0,0,0,0,0,3,5,84,11,3
2007,155317,University of Kansas,28569,0,0,8,0,0,0,0,0,2,2,65,12,1
2008,155317,University of Kansas,29365,0,0,7,0,0,0,0,0,2,4,84,8,1
2009,155317,University of Kansas,29242,0,0,8,0,0,0,0,0,9,9,41,15,3
2010,155317,University of Kansas,28697,0,0,7,0,0,0,0,0,0,10,49,5,4
2011,155317,University of Kansas,27939,0,0,4,0,0,0,0,0,1,9,39,7,1
2012,155317,University of Kansas,27135,0,0,8,0,0,0,0,0,2,15,39,12,7
2013,155317,University of Kansas,26968,0,0,18,0,0,0,0,0,2,10,29,11,0
2014,155317,University of Kansas,27180,0,0,0,14,11,0,0,0,2,7,40,6,1
2001,155399,Kansas State University,22396,0,0,3,0,0,4,0,0,1,1,65,0,1
2002,155399,Kansas State University,22762,0,0,9,0,0,0,0,0,0,1,87,3,2
2003,155399,Kansas State University,23050,0,0,5,0,0,0,0,0,1,2,70,2,0
2004,155399,Kansas State University,23151,0,0,5,0,0,0,0,0,1,3,73,2,3
2005,155399,Kansas State University,23182,0,0,4,0,0,0,0,0,0,2,76,1,3
2006,155399,Kansas State University,23141,0,0,6,0,0,0,0,0,0,3,63,0,2
2007,155399,Kansas State University,23332,0,0,8,0,0,0,0,0,1,4,38,0,0
2008,155399,Kansas State University,23520,0,0,1,0,0,0,0,0,1,2,41,2,0
2009,155399,Kansas State University,23581,0,0,3,0,0,1,0,0,0,4,20,0,0
2010,155399,Kansas State University,23588,0,0,6,0,0,0,0,0,0,3,25,2,0
2011,155399,Kansas State University,23863,0,0,7,0,0,0,0,0,0,2,22,2,0
2012,155399,Kansas State University,24378,0,0,1,0,0,0,0,0,2,3,25,4,0
2013,155399,Kansas State University,24581,1,0,5,0,0,0,0,0,1,4,14,1,0
2014,155399,Kansas State University,24766,0,0,0,5,4,0,0,0,0,2,8,1,0
2001,156125,Wichita State University,14854,0,0,1,0,0,0,0,0,1,1,10,6,0
2002,156125,Wichita State University,15437,0,0,1,0,0,0,0,0,0,1,13,1,2
2003,156125,Wichita State University,14570,0,0,3,0,0,0,0,0,4,1,13,5,2
2004,156125,Wichita State University,14039,0,0,0,0,0,0,0,0,2,0,6,5,0
2005,156125,Wichita State University,13812,0,0,0,0,0,1,0,0,3,2,6,5,0
2006,156125,Wichita State University,13964,0,0,1,0,0,0,0,0,2,0,12,2,1
2007,156125,Wichita State University,14226,0,0,1,0,0,0,0,0,2,1,10,5,1
2008,156125,Wichita State University,14405,0,0,2,0,0,0,0,0,3,0,4,4,3
2009,156125,Wichita State University,14601,0,0,3,0,0,0,0,0,1,0,4,1,0
2010,156125,Wichita State University,14577,0,0,3,0,0,0,0,0,1,1,2,3,0
2011,156125,Wichita State University,14909,0,0,1,0,0,0,0,0,2,0,3,5,0
2012,156125,Wichita State University,14716,0,0,2,0,0,0,0,0,0,0,3,15,3
2013,156125,Wichita State University,14386,0,0,1,0,0,0,0,0,0,1,1,2,0
2014,156125,Wichita State University,14995,0,0,0,1,0,0,0,0,0,0,2,4,0
2014,169248,Central Michigan University,26879,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,179894,Webster University,18740,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,179894,Webster University,19038,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,179894,Webster University,18407,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,179894,Webster University,18963,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,179894,Webster University,19398,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,179894,Webster University,19154,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,179894,Webster University,19372,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,179894,Webster University,19342,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,179894,Webster University,19224,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,179894,Webster University,18456,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,179894,Webster University,17904,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,179894,Webster University,16769,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0,0,0,0,0,0,0,0,0,0,0
