Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,155061,Fort Hays State University,5626,1,18,40
2002,155061,Fort Hays State University,6392,0,7,73
2003,155061,Fort Hays State University,7373,0,4,61
2004,155061,Fort Hays State University,8500,0,7,74
2005,155061,Fort Hays State University,9019,0,2,86
2006,155061,Fort Hays State University,9122,0,0,66
2007,155061,Fort Hays State University,9588,0,4,21
2008,155061,Fort Hays State University,10107,0,5,39
2009,155061,Fort Hays State University,11308,3,5,25
2010,155061,Fort Hays State University,11883,0,0,55
2011,155061,Fort Hays State University,12802,0,0,80
2012,155061,Fort Hays State University,13310,1,10,83
2013,155061,Fort Hays State University,13441,0,1,82
2014,155061,Fort Hays State University,13825,6,6,141
2001,155317,University of Kansas,25782,0,116,663
2002,155317,University of Kansas,26458,0,109,615
2003,155317,University of Kansas,26814,0,107,873
2004,155317,University of Kansas,26980,0,69,982
2005,155317,University of Kansas,26934,0,78,891
2006,155317,University of Kansas,26773,0,115,1051
2007,155317,University of Kansas,28569,0,115,996
2008,155317,University of Kansas,29365,2,244,982
2009,155317,University of Kansas,29242,0,238,912
2010,155317,University of Kansas,28697,3,165,752
2011,155317,University of Kansas,27939,0,167,870
2012,155317,University of Kansas,27135,2,152,728
2013,155317,University of Kansas,26968,1,95,911
2014,155317,University of Kansas,27180,2,102,841
2001,155399,Kansas State University,22396,0,8,80
2002,155399,Kansas State University,22762,0,9,40
2003,155399,Kansas State University,23050,0,5,104
2004,155399,Kansas State University,23151,0,5,94
2005,155399,Kansas State University,23182,0,3,219
2006,155399,Kansas State University,23141,0,3,163
2007,155399,Kansas State University,23332,0,2,99
2008,155399,Kansas State University,23520,0,0,100
2009,155399,Kansas State University,23581,0,1,152
2010,155399,Kansas State University,23588,0,11,364
2011,155399,Kansas State University,23863,0,44,475
2012,155399,Kansas State University,24378,11,64,610
2013,155399,Kansas State University,24581,0,77,569
2014,155399,Kansas State University,24766,2,66,378
2001,156125,Wichita State University,14854,0,0,16
2002,156125,Wichita State University,15437,0,6,30
2003,156125,Wichita State University,14570,2,3,40
2004,156125,Wichita State University,14039,0,2,30
2005,156125,Wichita State University,13812,0,7,39
2006,156125,Wichita State University,13964,2,4,75
2007,156125,Wichita State University,14226,0,2,83
2008,156125,Wichita State University,14405,6,4,67
2009,156125,Wichita State University,14601,12,7,59
2010,156125,Wichita State University,14577,0,3,29
2011,156125,Wichita State University,14909,4,5,87
2012,156125,Wichita State University,14716,1,16,57
2013,156125,Wichita State University,14386,3,2,18
2014,156125,Wichita State University,14995,0,13,19
2014,169248,Central Michigan University,26879,0,0,0
2003,179894,Webster University,18740,0,0,0
2004,179894,Webster University,19038,0,0,0
2005,179894,Webster University,18407,0,0,0
2006,179894,Webster University,18963,0,0,0
2007,179894,Webster University,19398,0,0,0
2008,179894,Webster University,19154,0,0,0
2009,179894,Webster University,19372,0,0,0
2010,179894,Webster University,19342,0,0,0
2011,179894,Webster University,19224,0,0,0
2012,179894,Webster University,18456,0,0,0
2013,179894,Webster University,17904,0,0,0
2014,179894,Webster University,16769,0,0,0
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
