Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,155061,Fort Hays State University,13825,3,0,3
2002,155061,Fort Hays State University,13825,3,0,3
2003,155061,Fort Hays State University,13825,3,0,3
2004,155061,Fort Hays State University,13825,3,0,3
2005,155061,Fort Hays State University,13825,3,0,3
2006,155061,Fort Hays State University,13825,3,0,3
2007,155061,Fort Hays State University,13825,3,0,3
2008,155061,Fort Hays State University,13825,3,0,3
2009,155061,Fort Hays State University,13825,3,0,3
2010,155061,Fort Hays State University,13825,3,0,3
2011,155061,Fort Hays State University,13825,3,0,3
2012,155061,Fort Hays State University,13825,3,0,3
2013,155061,Fort Hays State University,13825,3,0,3
2014,155061,Fort Hays State University,13825,3,0,3
2001,155317,University of Kansas,27180,14,12,13
2002,155317,University of Kansas,27180,14,12,13
2003,155317,University of Kansas,27180,14,12,13
2004,155317,University of Kansas,27180,14,12,13
2005,155317,University of Kansas,27180,14,12,13
2006,155317,University of Kansas,27180,14,12,13
2007,155317,University of Kansas,27180,14,12,13
2008,155317,University of Kansas,27180,14,12,13
2009,155317,University of Kansas,27180,14,12,13
2010,155317,University of Kansas,27180,14,12,13
2011,155317,University of Kansas,27180,14,12,13
2012,155317,University of Kansas,27180,14,12,13
2013,155317,University of Kansas,27180,14,12,13
2014,155317,University of Kansas,27180,14,12,13
2001,155399,Kansas State University,24766,7,2,5
2002,155399,Kansas State University,24766,7,2,5
2003,155399,Kansas State University,24766,7,2,5
2004,155399,Kansas State University,24766,7,2,5
2005,155399,Kansas State University,24766,7,2,5
2006,155399,Kansas State University,24766,7,2,5
2007,155399,Kansas State University,24766,7,2,5
2008,155399,Kansas State University,24766,7,2,5
2009,155399,Kansas State University,24766,7,2,5
2010,155399,Kansas State University,24766,7,2,5
2011,155399,Kansas State University,24766,7,2,5
2012,155399,Kansas State University,24766,7,2,5
2013,155399,Kansas State University,24766,7,2,5
2014,155399,Kansas State University,24766,7,2,5
2001,156125,Wichita State University,14995,3,1,3
2002,156125,Wichita State University,14995,3,1,3
2003,156125,Wichita State University,14995,3,1,3
2004,156125,Wichita State University,14995,3,1,3
2005,156125,Wichita State University,14995,3,1,3
2006,156125,Wichita State University,14995,3,1,3
2007,156125,Wichita State University,14995,3,1,3
2008,156125,Wichita State University,14995,3,1,3
2009,156125,Wichita State University,14995,3,1,3
2010,156125,Wichita State University,14995,3,1,3
2011,156125,Wichita State University,14995,3,1,3
2012,156125,Wichita State University,14995,3,1,3
2013,156125,Wichita State University,14995,3,1,3
2014,156125,Wichita State University,14995,3,1,3
2001,169248,Central Michigan University,26879,0,0,0
2002,169248,Central Michigan University,26879,0,0,0
2003,169248,Central Michigan University,26879,0,0,0
2004,169248,Central Michigan University,26879,0,0,0
2005,169248,Central Michigan University,26879,0,0,0
2006,169248,Central Michigan University,26879,0,0,0
2007,169248,Central Michigan University,26879,0,0,0
2008,169248,Central Michigan University,26879,0,0,0
2009,169248,Central Michigan University,26879,0,0,0
2010,169248,Central Michigan University,26879,0,0,0
2011,169248,Central Michigan University,26879,0,0,0
2012,169248,Central Michigan University,26879,0,0,0
2013,169248,Central Michigan University,26879,0,0,0
2014,169248,Central Michigan University,26879,0,0,0
2001,179894,Webster University,16769,0,0,0
2002,179894,Webster University,16769,0,0,0
2003,179894,Webster University,16769,0,0,0
2004,179894,Webster University,16769,0,0,0
2005,179894,Webster University,16769,0,0,0
2006,179894,Webster University,16769,0,0,0
2007,179894,Webster University,16769,0,0,0
2008,179894,Webster University,16769,0,0,0
2009,179894,Webster University,16769,0,0,0
2010,179894,Webster University,16769,0,0,0
2011,179894,Webster University,16769,0,0,0
2012,179894,Webster University,16769,0,0,0
2013,179894,Webster University,16769,0,0,0
2014,179894,Webster University,16769,0,0,0
2001,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2002,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2003,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2004,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2005,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2006,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2007,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2008,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
