Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2007,151801,Indiana Wesleyan University,14756,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,151801,Indiana Wesleyan University,15442,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,151801,Indiana Wesleyan University,15345,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,151801,Indiana Wesleyan University,15953,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,151801,Indiana Wesleyan University,15872,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,151801,Indiana Wesleyan University,15580,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,151801,Indiana Wesleyan University,14959,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,151801,Indiana Wesleyan University,14943,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,156620,Eastern Kentucky University,14945,0,0,3,0,0,0,0,0,0,0,4,2,2
2002,156620,Eastern Kentucky University,14695,0,0,7,0,0,0,0,0,2,1,3,1,0
2003,156620,Eastern Kentucky University,15951,0,0,2,0,0,0,0,0,0,2,6,1,8
2004,156620,Eastern Kentucky University,16183,0,0,4,0,0,0,0,0,0,1,13,3,7
2005,156620,Eastern Kentucky University,16219,0,0,1,0,0,0,0,0,0,0,21,1,16
2006,156620,Eastern Kentucky University,15763,0,0,3,0,0,0,0,0,1,2,49,2,7
2007,156620,Eastern Kentucky University,15839,0,0,4,0,0,0,0,0,2,3,46,0,2
2008,156620,Eastern Kentucky University,16031,0,0,3,0,0,0,0,0,1,6,69,1,7
2009,156620,Eastern Kentucky University,16268,0,0,3,0,0,0,0,0,1,1,63,0,1
2010,156620,Eastern Kentucky University,16567,0,0,10,0,0,0,0,0,2,2,58,0,0
2011,156620,Eastern Kentucky University,16062,0,0,9,0,0,0,0,0,2,1,40,0,2
2012,156620,Eastern Kentucky University,15968,0,0,10,0,0,0,0,0,1,7,25,3,1
2013,156620,Eastern Kentucky University,16111,0,0,5,0,0,0,0,0,0,0,25,2,2
2014,156620,Eastern Kentucky University,16305,0,0,0,5,2,0,0,0,3,0,30,0,0
2001,157085,University of Kentucky,23901,0,0,4,0,0,3,0,0,3,33,76,17,3
2002,157085,University of Kentucky,24985,0,0,3,0,0,1,0,0,6,41,83,16,5
2003,157085,University of Kentucky,25397,0,0,0,0,0,0,0,0,3,33,90,21,13
2004,157085,University of Kentucky,25686,0,0,4,0,0,0,0,0,3,42,42,14,6
2005,157085,University of Kentucky,25672,0,0,7,0,0,0,0,0,8,34,43,5,9
2006,157085,University of Kentucky,26382,0,0,10,0,0,0,0,0,1,40,59,3,6
2007,157085,University of Kentucky,25856,0,0,18,0,0,0,0,0,5,0,32,8,4
2008,157085,University of Kentucky,26054,0,0,8,0,0,0,0,0,4,0,22,20,2
