Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2007,151801,Indiana Wesleyan University,14756,0,0,0
2008,151801,Indiana Wesleyan University,15442,0,0,0
2009,151801,Indiana Wesleyan University,15345,0,0,0
2010,151801,Indiana Wesleyan University,15953,0,0,0
2011,151801,Indiana Wesleyan University,15872,0,0,0
2012,151801,Indiana Wesleyan University,15580,0,0,0
2013,151801,Indiana Wesleyan University,14959,0,0,0
2014,151801,Indiana Wesleyan University,14943,0,0,0
2001,156620,Eastern Kentucky University,14945,0,0,148
2002,156620,Eastern Kentucky University,14695,0,2,250
2003,156620,Eastern Kentucky University,15951,0,0,245
2004,156620,Eastern Kentucky University,16183,0,0,122
2005,156620,Eastern Kentucky University,16219,0,0,279
2006,156620,Eastern Kentucky University,15763,0,0,319
2007,156620,Eastern Kentucky University,15839,0,0,511
2008,156620,Eastern Kentucky University,16031,0,0,511
2009,156620,Eastern Kentucky University,16268,0,0,218
2010,156620,Eastern Kentucky University,16567,0,0,279
2011,156620,Eastern Kentucky University,16062,0,0,220
2012,156620,Eastern Kentucky University,15968,0,0,239
2013,156620,Eastern Kentucky University,16111,0,1,309
2014,156620,Eastern Kentucky University,16305,0,9,423
2001,157085,University of Kentucky,23901,1,73,386
2002,157085,University of Kentucky,24985,0,66,115
2003,157085,University of Kentucky,25397,7,83,123
2004,157085,University of Kentucky,25686,0,59,0
2005,157085,University of Kentucky,25672,3,35,0
2006,157085,University of Kentucky,26382,3,0,0
2007,157085,University of Kentucky,25856,1,2,0
2008,157085,University of Kentucky,26054,2,20,2
2009,157085,University of Kentucky,26295,2,75,70
2010,157085,University of Kentucky,27108,0,55,246
2011,157085,University of Kentucky,27226,3,74,396
2012,157085,University of Kentucky,28034,0,40,276
2013,157085,University of Kentucky,28435,0,29,381
2014,157085,University of Kentucky,29203,1,71,731
2001,157289,University of Louisville,19682,0,3,13
2002,157289,University of Louisville,20416,0,3,3
2003,157289,University of Louisville,20605,1,3,3
2004,157289,University of Louisville,20729,2,1,4
2005,157289,University of Louisville,20726,0,0,0
2006,157289,University of Louisville,20785,0,10,72
2007,157289,University of Louisville,20592,4,0,18
2008,157289,University of Louisville,20834,5,9,16
2009,157289,University of Louisville,21016,2,18,24
2010,157289,University of Louisville,21234,4,15,16
2011,157289,University of Louisville,21152,10,28,132
2012,157289,University of Louisville,21239,9,31,131
2013,157289,University of Louisville,21444,0,26,130
2014,157289,University of Louisville,21561,0,38,189
2001,157386,Morehead State University,9008,0,39,20
2002,157386,Morehead State University,9378,0,17,47
2003,157386,Morehead State University,9492,0,5,5
2004,157386,Morehead State University,9278,0,17,7
2005,157386,Morehead State University,9003,0,3,6
2006,157386,Morehead State University,8958,0,2,4
2007,157386,Morehead State University,8897,1,6,14
2008,157386,Morehead State University,8832,0,2,23
2009,157386,Morehead State University,8822,0,1,0
2010,157386,Morehead State University,8541,0,0,0
2011,157386,Morehead State University,10968,0,0,0
2012,157386,Morehead State University,11169,0,0,0
2013,157386,Morehead State University,11358,0,0,0
2014,157386,Morehead State University,11052,0,7,132
2001,157401,Murray State University,9635,0,3,17
2002,157401,Murray State University,9915,0,2,32
2003,157401,Murray State University,10093,0,0,22
2004,157401,Murray State University,10120,0,10,4
2005,157401,Murray State University,10266,0,2,1
2006,157401,Murray State University,10298,0,1,2
2007,157401,Murray State University,10778,0,1,6
2008,157401,Murray State University,10014,0,0,2
2009,157401,Murray State University,10071,0,0,3
2010,157401,Murray State University,10412,0,0,6
2011,157401,Murray State University,10623,0,4,7
2012,157401,Murray State University,10832,0,7,31
2013,157401,Murray State University,10943,1,12,70
2014,157401,Murray State University,11207,0,9,67
