Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2014,151801,Indiana Wesleyan University,14943,0,0,0
2014,156620,Eastern Kentucky University,16305,1,8,8
2014,157085,University of Kentucky,29203,15,6,5
2014,157289,University of Louisville,21561,0,0,1
2014,157386,Morehead State University,11052,1,3,0
2014,157401,Murray State University,11207,4,2,5
2014,157447,Northern Kentucky University,15090,0,1,0
2014,157951,Western Kentucky University,20171,3,3,0
2014,179894,Webster University,16769,0,0,0
2014,219602,Austin Peay State University,10111,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
