Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,159391,Louisiana State University and Agricultural & Mechanical College,32059,0,0,1,0,0,0,0,0,5,43,123,9,0
2002,159391,Louisiana State University and Agricultural & Mechanical College,32228,0,0,1,0,0,0,0,0,11,8,97,19,0
2003,159391,Louisiana State University and Agricultural & Mechanical College,31934,0,0,2,0,0,0,0,0,1,11,85,22,0
2004,159391,Louisiana State University and Agricultural & Mechanical College,32241,0,0,4,0,0,0,0,0,9,10,31,23,2
2005,159391,Louisiana State University and Agricultural & Mechanical College,34128,0,0,3,0,0,0,0,0,3,6,126,21,0
2006,159391,Louisiana State University and Agricultural & Mechanical College,29925,0,0,2,0,0,0,0,0,13,10,127,19,2
2007,159391,Louisiana State University and Agricultural & Mechanical College,28628,2,0,1,0,0,0,0,0,9,6,119,23,2
2008,159391,Louisiana State University and Agricultural & Mechanical College,28810,0,0,6,0,0,0,0,0,4,4,99,22,4
2009,159391,Louisiana State University and Agricultural & Mechanical College,28643,0,0,3,0,0,1,0,0,12,17,31,12,3
2010,159391,Louisiana State University and Agricultural & Mechanical College,29451,0,0,5,0,0,0,0,0,5,10,13,13,3
2011,159391,Louisiana State University and Agricultural & Mechanical College,29718,0,0,2,0,0,0,0,0,9,9,47,10,3
2012,159391,Louisiana State University and Agricultural & Mechanical College,30225,0,0,3,0,0,0,0,0,13,11,49,0,0
2013,159391,Louisiana State University and Agricultural & Mechanical College,30478,0,0,10,0,0,1,0,0,13,7,51,6,0
2014,159391,Louisiana State University and Agricultural & Mechanical College,31044,0,0,0,8,1,0,0,1,7,5,53,6,1
2001,159647,Louisiana Tech University,10694,0,0,0,0,0,0,0,0,1,1,29,1,9
2002,159647,Louisiana Tech University,11257,0,0,0,0,0,0,0,0,3,0,39,7,2
2003,159647,Louisiana Tech University,11960,0,0,0,0,0,0,0,0,2,2,16,3,1
2004,159647,Louisiana Tech University,11691,0,0,3,0,0,0,0,0,3,3,55,5,3
2005,159647,Louisiana Tech University,11593,0,0,0,0,0,0,0,0,0,2,43,8,2
2006,159647,Louisiana Tech University,11203,0,0,1,0,0,0,0,0,0,3,26,11,1
2007,159647,Louisiana Tech University,10564,0,0,0,0,0,0,0,0,2,1,20,4,2
2008,159647,Louisiana Tech University,10917,0,0,0,0,0,0,0,0,2,3,37,1,1
2009,159647,Louisiana Tech University,11264,0,0,0,0,0,0,0,0,1,3,17,3,1
2010,159647,Louisiana Tech University,11743,0,0,0,0,0,0,0,0,1,4,21,6,2
2011,159647,Louisiana Tech University,11518,0,0,0,0,0,0,0,0,1,0,30,0,0
2012,159647,Louisiana Tech University,11304,0,0,1,0,0,0,0,0,1,0,10,3,0
2013,159647,Louisiana Tech University,11015,0,0,0,0,0,0,0,0,1,0,11,0,0
2014,159647,Louisiana Tech University,11225,0,0,0,0,0,0,0,0,1,2,12,0,0
2001,160612,Southeastern Louisiana University,14506,0,0,0,0,0,0,0,0,2,3,36,3,1
2002,160612,Southeastern Louisiana University,15175,0,0,4,0,0,1,0,0,1,2,19,7,0
2003,160612,Southeastern Louisiana University,15656,0,0,4,0,0,1,0,0,2,5,59,5,0
2004,160612,Southeastern Louisiana University,15465,0,0,1,0,0,0,0,0,0,5,67,6,0
2005,160612,Southeastern Louisiana University,16054,0,0,0,0,0,0,0,0,0,5,84,0,3
2006,160612,Southeastern Louisiana University,15106,0,0,1,0,0,0,0,0,3,4,49,0,1
2007,160612,Southeastern Louisiana University,14744,0,0,4,0,0,0,0,0,2,3,45,13,1
2008,160612,Southeastern Louisiana University,15215,0,0,2,0,0,0,0,0,4,4,30,3,1
2009,160612,Southeastern Louisiana University,15151,0,0,1,0,0,0,0,0,2,2,13,0,1
2010,160612,Southeastern Louisiana University,15338,0,0,2,0,0,0,0,0,1,1,20,0,0
2011,160612,Southeastern Louisiana University,15403,0,0,2,0,0,0,0,0,2,1,33,4,0
2012,160612,Southeastern Louisiana University,15591,0,0,2,0,0,0,0,0,2,2,19,3,1
2013,160612,Southeastern Louisiana University,14934,0,0,3,0,0,0,0,0,4,1,11,2,0
2014,160612,Southeastern Louisiana University,14487,0,0,0,0,0,0,0,0,3,2,19,1,0
