Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,159391,Louisiana State University and Agricultural & Mechanical College,32059,0,12,83
2002,159391,Louisiana State University and Agricultural & Mechanical College,32228,0,11,95
2003,159391,Louisiana State University and Agricultural & Mechanical College,31934,0,0,183
2004,159391,Louisiana State University and Agricultural & Mechanical College,32241,0,4,314
2005,159391,Louisiana State University and Agricultural & Mechanical College,34128,0,28,5
2006,159391,Louisiana State University and Agricultural & Mechanical College,29925,0,2,15
2007,159391,Louisiana State University and Agricultural & Mechanical College,28628,0,5,8
2008,159391,Louisiana State University and Agricultural & Mechanical College,28810,4,2,19
2009,159391,Louisiana State University and Agricultural & Mechanical College,28643,0,8,26
2010,159391,Louisiana State University and Agricultural & Mechanical College,29451,0,1,0
2011,159391,Louisiana State University and Agricultural & Mechanical College,29718,0,25,7
2012,159391,Louisiana State University and Agricultural & Mechanical College,30225,0,15,0
2013,159391,Louisiana State University and Agricultural & Mechanical College,30478,0,24,0
2014,159391,Louisiana State University and Agricultural & Mechanical College,31044,0,32,15
2001,159647,Louisiana Tech University,10694,0,6,16
2002,159647,Louisiana Tech University,11257,0,0,20
2003,159647,Louisiana Tech University,11960,0,2,19
2004,159647,Louisiana Tech University,11691,0,10,7
2005,159647,Louisiana Tech University,11593,0,5,16
2006,159647,Louisiana Tech University,11203,0,11,9
2007,159647,Louisiana Tech University,10564,0,5,10
2008,159647,Louisiana Tech University,10917,0,8,0
2009,159647,Louisiana Tech University,11264,0,9,0
2010,159647,Louisiana Tech University,11743,0,15,0
2011,159647,Louisiana Tech University,11518,0,9,0
2012,159647,Louisiana Tech University,11304,0,8,0
2013,159647,Louisiana Tech University,11015,1,7,0
2014,159647,Louisiana Tech University,11225,0,1,0
2001,160612,Southeastern Louisiana University,14506,0,1,1
2002,160612,Southeastern Louisiana University,15175,0,21,3
2003,160612,Southeastern Louisiana University,15656,1,11,5
2004,160612,Southeastern Louisiana University,15465,0,8,2
2005,160612,Southeastern Louisiana University,16054,0,3,8
2006,160612,Southeastern Louisiana University,15106,0,4,2
2007,160612,Southeastern Louisiana University,14744,0,21,7
2008,160612,Southeastern Louisiana University,15215,0,11,6
2009,160612,Southeastern Louisiana University,15151,0,6,0
2010,160612,Southeastern Louisiana University,15338,1,9,7
2011,160612,Southeastern Louisiana University,15403,1,20,18
2012,160612,Southeastern Louisiana University,15591,0,7,6
2013,160612,Southeastern Louisiana University,14934,0,12,0
2014,160612,Southeastern Louisiana University,14487,0,16,8
2001,160658,University of Louisiana at Lafayette,15489,3,7,23
2002,160658,University of Louisiana at Lafayette,16006,2,18,5
2003,160658,University of Louisiana at Lafayette,16208,0,18,20
2004,160658,University of Louisiana at Lafayette,16561,0,31,18
2005,160658,University of Louisiana at Lafayette,17075,0,44,21
2006,160658,University of Louisiana at Lafayette,16302,0,9,7
2007,160658,University of Louisiana at Lafayette,16345,0,4,5
2008,160658,University of Louisiana at Lafayette,16320,0,4,5
2009,160658,University of Louisiana at Lafayette,16361,0,8,17
2010,160658,University of Louisiana at Lafayette,16763,0,18,34
2011,160658,University of Louisiana at Lafayette,16885,6,39,67
2012,160658,University of Louisiana at Lafayette,16688,6,40,39
2013,160658,University of Louisiana at Lafayette,16646,0,29,75
2014,160658,University of Louisiana at Lafayette,17195,0,24,67
2001,160755,Tulane University of Louisiana,11825,2,38,25
2002,160755,Tulane University of Louisiana,12206,0,34,46
2003,160755,Tulane University of Louisiana,12411,0,50,67
2004,160755,Tulane University of Louisiana,12667,3,50,67
2005,160755,Tulane University of Louisiana,11452,1,14,0
2006,160755,Tulane University of Louisiana,10237,0,2,3
2007,160755,Tulane University of Louisiana,10125,2,9,70
2008,160755,Tulane University of Louisiana,10737,0,21,350
2009,160755,Tulane University of Louisiana,11464,0,19,359
2010,160755,Tulane University of Louisiana,12144,0,19,286
2011,160755,Tulane University of Louisiana,12845,1,43,485
2012,160755,Tulane University of Louisiana,12958,3,64,416
2013,160755,Tulane University of Louisiana,12938,10,77,7
2014,160755,Tulane University of Louisiana,12603,3,81,11
2014,169248,Central Michigan University,26879,0,0,0
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
