Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,159391,Louisiana State University and Agricultural & Mechanical College,31044,7,8,9
2002,159391,Louisiana State University and Agricultural & Mechanical College,31044,7,8,9
2003,159391,Louisiana State University and Agricultural & Mechanical College,31044,7,8,9
2004,159391,Louisiana State University and Agricultural & Mechanical College,31044,7,8,9
2005,159391,Louisiana State University and Agricultural & Mechanical College,31044,7,8,9
2006,159391,Louisiana State University and Agricultural & Mechanical College,31044,7,8,9
2007,159391,Louisiana State University and Agricultural & Mechanical College,31044,7,8,9
2008,159391,Louisiana State University and Agricultural & Mechanical College,31044,7,8,9
2009,159391,Louisiana State University and Agricultural & Mechanical College,31044,7,8,9
2010,159391,Louisiana State University and Agricultural & Mechanical College,31044,7,8,9
2011,159391,Louisiana State University and Agricultural & Mechanical College,31044,7,8,9
2012,159391,Louisiana State University and Agricultural & Mechanical College,31044,7,8,9
2013,159391,Louisiana State University and Agricultural & Mechanical College,31044,7,8,9
2014,159391,Louisiana State University and Agricultural & Mechanical College,31044,7,8,9
2001,159647,Louisiana Tech University,11225,0,1,2
2002,159647,Louisiana Tech University,11225,0,1,2
2003,159647,Louisiana Tech University,11225,0,1,2
2004,159647,Louisiana Tech University,11225,0,1,2
2005,159647,Louisiana Tech University,11225,0,1,2
2006,159647,Louisiana Tech University,11225,0,1,2
2007,159647,Louisiana Tech University,11225,0,1,2
2008,159647,Louisiana Tech University,11225,0,1,2
2009,159647,Louisiana Tech University,11225,0,1,2
2010,159647,Louisiana Tech University,11225,0,1,2
2011,159647,Louisiana Tech University,11225,0,1,2
2012,159647,Louisiana Tech University,11225,0,1,2
2013,159647,Louisiana Tech University,11225,0,1,2
2014,159647,Louisiana Tech University,11225,0,1,2
2001,160612,Southeastern Louisiana University,14487,1,5,9
2002,160612,Southeastern Louisiana University,14487,1,5,9
2003,160612,Southeastern Louisiana University,14487,1,5,9
2004,160612,Southeastern Louisiana University,14487,1,5,9
2005,160612,Southeastern Louisiana University,14487,1,5,9
2006,160612,Southeastern Louisiana University,14487,1,5,9
2007,160612,Southeastern Louisiana University,14487,1,5,9
2008,160612,Southeastern Louisiana University,14487,1,5,9
2009,160612,Southeastern Louisiana University,14487,1,5,9
2010,160612,Southeastern Louisiana University,14487,1,5,9
2011,160612,Southeastern Louisiana University,14487,1,5,9
2012,160612,Southeastern Louisiana University,14487,1,5,9
2013,160612,Southeastern Louisiana University,14487,1,5,9
2014,160612,Southeastern Louisiana University,14487,1,5,9
2001,160658,University of Louisiana at Lafayette,17195,1,0,1
2002,160658,University of Louisiana at Lafayette,17195,1,0,1
2003,160658,University of Louisiana at Lafayette,17195,1,0,1
2004,160658,University of Louisiana at Lafayette,17195,1,0,1
2005,160658,University of Louisiana at Lafayette,17195,1,0,1
2006,160658,University of Louisiana at Lafayette,17195,1,0,1
2007,160658,University of Louisiana at Lafayette,17195,1,0,1
2008,160658,University of Louisiana at Lafayette,17195,1,0,1
2009,160658,University of Louisiana at Lafayette,17195,1,0,1
2010,160658,University of Louisiana at Lafayette,17195,1,0,1
2011,160658,University of Louisiana at Lafayette,17195,1,0,1
2012,160658,University of Louisiana at Lafayette,17195,1,0,1
2013,160658,University of Louisiana at Lafayette,17195,1,0,1
2014,160658,University of Louisiana at Lafayette,17195,1,0,1
2001,160755,Tulane University of Louisiana,12603,2,4,6
2002,160755,Tulane University of Louisiana,12603,2,4,6
2003,160755,Tulane University of Louisiana,12603,2,4,6
