Survey year,Unitid,Institution name,Institution Size,CO,DA,HC,VW,total
2001,159391,Louisiana State University and Agricultural & Mechanical College,32059,181,95,0,24,300
2002,159391,Louisiana State University and Agricultural & Mechanical College,32228,136,106,0,24,266
2003,159391,Louisiana State University and Agricultural & Mechanical College,31934,121,183,0,24,328
2004,159391,Louisiana State University and Agricultural & Mechanical College,32241,79,318,0,24,421
2005,159391,Louisiana State University and Agricultural & Mechanical College,34128,159,33,0,24,216
2006,159391,Louisiana State University and Agricultural & Mechanical College,29925,173,17,0,24,214
2007,159391,Louisiana State University and Agricultural & Mechanical College,28628,162,13,0,24,199
2008,159391,Louisiana State University and Agricultural & Mechanical College,28810,139,25,0,24,188
2009,159391,Louisiana State University and Agricultural & Mechanical College,28643,79,34,0,24,137
2010,159391,Louisiana State University and Agricultural & Mechanical College,29451,49,1,2,24,76
2011,159391,Louisiana State University and Agricultural & Mechanical College,29718,80,32,0,24,136
2012,159391,Louisiana State University and Agricultural & Mechanical College,30225,76,15,6,24,121
2013,159391,Louisiana State University and Agricultural & Mechanical College,30478,88,24,2,24,138
2014,159391,Louisiana State University and Agricultural & Mechanical College,31044,82,47,2,24,155
2001,159647,Louisiana Tech University,10694,41,22,0,3,66
2002,159647,Louisiana Tech University,11257,51,20,0,3,74
2003,159647,Louisiana Tech University,11960,24,21,0,3,48
2004,159647,Louisiana Tech University,11691,72,17,0,3,92
2005,159647,Louisiana Tech University,11593,55,21,0,3,79
2006,159647,Louisiana Tech University,11203,42,20,1,3,66
2007,159647,Louisiana Tech University,10564,29,15,0,3,47
2008,159647,Louisiana Tech University,10917,44,8,0,3,55
2009,159647,Louisiana Tech University,11264,25,9,0,3,37
2010,159647,Louisiana Tech University,11743,34,15,0,3,52
2011,159647,Louisiana Tech University,11518,31,9,2,3,45
2012,159647,Louisiana Tech University,11304,15,8,0,3,26
2013,159647,Louisiana Tech University,11015,12,8,0,3,23
2014,159647,Louisiana Tech University,11225,15,1,2,3,21
2001,160612,Southeastern Louisiana University,14506,45,2,0,15,62
2002,160612,Southeastern Louisiana University,15175,34,24,0,15,73
2003,160612,Southeastern Louisiana University,15656,76,17,0,15,108
2004,160612,Southeastern Louisiana University,15465,79,10,0,15,104
2005,160612,Southeastern Louisiana University,16054,92,11,0,15,118
2006,160612,Southeastern Louisiana University,15106,58,6,0,15,79
2007,160612,Southeastern Louisiana University,14744,68,28,0,15,111
2008,160612,Southeastern Louisiana University,15215,44,17,0,15,76
2009,160612,Southeastern Louisiana University,15151,19,6,2,15,42
2010,160612,Southeastern Louisiana University,15338,24,17,2,15,58
2011,160612,Southeastern Louisiana University,15403,42,39,0,15,96
2012,160612,Southeastern Louisiana University,15591,29,13,8,15,65
2013,160612,Southeastern Louisiana University,14934,21,12,4,15,52
2014,160612,Southeastern Louisiana University,14487,25,24,0,15,64
2001,160658,University of Louisiana at Lafayette,15489,62,33,0,2,97
2002,160658,University of Louisiana at Lafayette,16006,50,25,0,2,77
2003,160658,University of Louisiana at Lafayette,16208,57,38,0,2,97
2004,160658,University of Louisiana at Lafayette,16561,41,49,0,2,92
2005,160658,University of Louisiana at Lafayette,17075,27,65,0,2,94
2006,160658,University of Louisiana at Lafayette,16302,29,16,0,2,47
2007,160658,University of Louisiana at Lafayette,16345,8,9,0,2,19
2008,160658,University of Louisiana at Lafayette,16320,36,9,0,2,47
2009,160658,University of Louisiana at Lafayette,16361,30,25,0,2,57
2010,160658,University of Louisiana at Lafayette,16763,18,52,0,2,72
2011,160658,University of Louisiana at Lafayette,16885,25,112,0,2,139
2012,160658,University of Louisiana at Lafayette,16688,43,85,0,2,130
2013,160658,University of Louisiana at Lafayette,16646,33,104,0,2,139
2014,160658,University of Louisiana at Lafayette,17195,40,91,0,2,133
2001,160755,Tulane University of Louisiana,11825,119,65,0,12,196
2002,160755,Tulane University of Louisiana,12206,111,80,0,12,203
2003,160755,Tulane University of Louisiana,12411,83,117,0,12,212
2004,160755,Tulane University of Louisiana,12667,81,120,0,12,213
2005,160755,Tulane University of Louisiana,11452,59,15,0,12,86
2006,160755,Tulane University of Louisiana,10237,82,5,0,12,99
2007,160755,Tulane University of Louisiana,10125,119,81,0,12,212
2008,160755,Tulane University of Louisiana,10737,76,371,0,12,459
2009,160755,Tulane University of Louisiana,11464,87,378,0,12,477
2010,160755,Tulane University of Louisiana,12144,44,305,0,12,361
2011,160755,Tulane University of Louisiana,12845,28,529,0,12,569
2012,160755,Tulane University of Louisiana,12958,17,483,0,12,512
2013,160755,Tulane University of Louisiana,12938,25,94,2,12,133
2014,160755,Tulane University of Louisiana,12603,46,95,0,12,153
2014,169248,Central Michigan University,26879,0,0,0,0,0
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0,0,0
